Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa
04446,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4285,10/2018,BAHIA/BA,IBOPE
04447,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4286,08/2018,BRASIL,IBOPE
04448,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4287,08/2018,BRASIL,IBOPE
04449,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4288,09/2018,BRASIL,IBOPE
04450,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4289,09/2018,BRASIL,IBOPE
04451,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4290,09/2018,BRASIL,IBOPE
04452,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4291,09/2018,BRASIL,IBOPE
04453,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4292,10/2018,BRASIL,IBOPE
04454,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4293,10/2018,BRASIL,IBOPE
04455,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4294,10/2018,BRASIL,IBOPE
04456,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4295,10/2018,BRASIL,IBOPE
04457,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4296,09/2018,BRASIL,IBOPE
04458,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ CEARÁ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4297,08/2018,CEARÁ/CE,IBOPE
04459,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ CEARÁ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4298,09/2018,CEARÁ/CE,IBOPE
04460,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ CEARÁ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4299,10/2018,CEARÁ/CE,IBOPE
04461,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DISTRITO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4300,08/2018,DISTRITO FEDERAL,IBOPE
04462,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DISTRITO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4301,09/2018,DISTRITO FEDERAL,IBOPE
04463,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DISTRITO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4302,09/2018,DISTRITO FEDERAL,IBOPE
04464,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DISTRITO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4303,09/2018,DISTRITO FEDERAL,IBOPE
04465,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DISTRITO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4304,09/2018,DISTRITO FEDERAL,IBOPE
04466,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DISTRITO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4305,10/2018,DISTRITO FEDERAL,IBOPE
04467,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DISTRITO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4306,10/2018,DISTRITO FEDERAL,IBOPE
04468,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DISTRITO FEDERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/4307,10/2018,DISTRITO FEDERAL,IBOPE
04469,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ DF,https://www.cesop.unicamp.br/por/banco_de_dados/v/4308,10/2018,DISTRITO FEDERAL,IBOPE
04470,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ ES,https://www.cesop.unicamp.br/por/banco_de_dados/v/4310,08/2018,ESPÍRITO SANTO,IBOPE
04471,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ ES,https://www.cesop.unicamp.br/por/banco_de_dados/v/4311,09/2018,ESPÍRITO SANTO,IBOPE
04472,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ ES,https://www.cesop.unicamp.br/por/banco_de_dados/v/4312,10/2018,ESPÍRITO SANTO,IBOPE
04473,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ Goiás,https://www.cesop.unicamp.br/por/banco_de_dados/v/4313,08/2018,GOIÁS,IBOPE
04474,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ Goiás,https://www.cesop.unicamp.br/por/banco_de_dados/v/4314,09/2018,GOIÁS,IBOPE
04475,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ Goiás,https://www.cesop.unicamp.br/por/banco_de_dados/v/4315,10/2018,GOIÁS,IBOPE
04476,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MARANHÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4316,08/2018,MARANHÃO,IBOPE
04477,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MARANHÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4317,09/2018,MARANHÃO,IBOPE
