Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa,contém_religião,método
130,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/331,12/1988,CURITIBA/PR,DATAFOLHA,,
131,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/333,12/1988,PORTO ALEGRE/RS,DATAFOLHA,,
132,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/334,12/1988,SALVADOR/BA,DATAFOLHA,,
133,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/336,12/1988,RECIFE/PE,DATAFOLHA,,
134,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/338,12/1988,FORTALEZA/CE,DATAFOLHA,,
135,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/340,12/1988,BELÉM/PA,DATAFOLHA,,
136,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/342,12/1988,GOIÂNIA/GO,DATAFOLHA,,
137,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/344,12/1988,SÃO JOSÉ DO RIO PRETO/SP,DATAFOLHA,,
138,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/345,12/1988,SANTOS/SP,DATAFOLHA,,
140,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/349,12/1988,SANTO ANDRÉ/SP,DATAFOLHA,,
141,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/351,12/1988,SÃO CAETANO DO SUL/SP,DATAFOLHA,,
142,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/352,12/1988,DIADEMA/SP,DATAFOLHA,,
144,DESARMAMENTO NUCLEAR,https://www.cesop.unicamp.br/por/banco_de_dados/v/356,12/1988,SOROCABA/SP,DATAFOLHA,,
145,DESARMAMENTO NUCLEAR,https://www.cesop.unicamp.br/por/banco_de_dados/v/364,12/1988,ANGRA DOS REIS/RJ,DATAFOLHA,,
146,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/365,12/1988,ANGRA DOS REIS/RJ,DATAFOLHA,,
147,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/366,12/1988,CAMPINAS/SP,DATAFOLHA,,
148,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/367,12/1988,SÃO JOSÉ DOS CAMPOS/SP,DATAFOLHA,,
149,EXPECTATIVA PARA 89 COM NOVOS PREFEITOS/ AVALIAÇÃO DAS PREFEITURAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/368,12/1988,OSASCO/SP,DATAFOLHA,,
