Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa,contém_religião,método
1171,INTENÇÃO DE VOTO PARA PREFEITO DE SÃO LUÍS,https://www.cesop.unicamp.br/por/banco_de_dados/v/293,09/2000,SÃO LUÍS/MA,DATAFOLHA,,
1172,INTENÇÃO DE VOTO PARA PREFEITO DE FORTALEZA,https://www.cesop.unicamp.br/por/banco_de_dados/v/294,09/2000,FORTALEZA/CE,DATAFOLHA,,
1173,INTENÇÃO DE VOTO PARA PREFEITO DE RIBEIRÃO PRETO,https://www.cesop.unicamp.br/por/banco_de_dados/v/295,09/2000,RIBEIRÃO PRETO/SP,DATAFOLHA,,
1174,INTENÇÃO DE VOTO PARA PREFEITO DE SÃO JOSÉ DO RIO PRETO,https://www.cesop.unicamp.br/por/banco_de_dados/v/296,09/2000,SÃO JOSÉ DO RIO PRETO/SP,DATAFOLHA,,
1175,INTENÇÃO DE VOTO PARA PREFEITO DE SALVADOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/297,09/2000,SALVADOR/BA,DATAFOLHA,,
1176,INTENÇÃO DE VOTO PARA PREFEITO DE RECIFE,https://www.cesop.unicamp.br/por/banco_de_dados/v/298,09/2000,RECIFE/PE,DATAFOLHA,,
1177,INTENÇÃO DE VOTO PARA PREFEITO DE MACEIÓ,https://www.cesop.unicamp.br/por/banco_de_dados/v/299,09/2000,MACEIÓ/AL,DATAFOLHA,,
1178,INTENÇÃO DE VOTO PARA PREFEITO DE SANTOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/300,09/2000,SANTOS/SP,DATAFOLHA,,
1179,INTENÇÃO DE VOTO PARA PREFEITO DE GUARULHOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/301,09/2000,GUARULHOS/SP,DATAFOLHA,,
1180,BOCA DE URNA PREFEITO DE SÃO PAULO,https://www.cesop.unicamp.br/por/banco_de_dados/v/302,10/2000,SÃO PAULO/CAP,DATAFOLHA,,
1181,BOCA DE URNA PREFEITO DO RIO DE JANEIRO,https://www.cesop.unicamp.br/por/banco_de_dados/v/303,10/2000,RIO DE JANEIRO/CAP,DATAFOLHA,,
1182,BOCA DE URNA PREFEITO DE SÃO BERNARDO DO CAMPO,https://www.cesop.unicamp.br/por/banco_de_dados/v/304,10/2000,SÃO BERNARDO DO CAMPO/SP,DATAFOLHA,,
1183,BOCA DE URNA PREFEITO DE DIADEMA,https://www.cesop.unicamp.br/por/banco_de_dados/v/305,10/2000,DIADEMA/SP,DATAFOLHA,,
1184,BOCA DE URNA PREFEITO DE BELO HORIZONTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/307,10/2000,BELO HORIZONTE/MG,DATAFOLHA,,
1185,BOCA DE URNA PREFEITO DE PORTO ALEGRE,https://www.cesop.unicamp.br/por/banco_de_dados/v/308,10/2000,PORTO ALEGRE/RS,DATAFOLHA,,
1186,BOCA DE URNA PREFEITO DE SÃO JOSÉ DOS CAMPOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/309,10/2000,SÃO JOSÉ DOS CAMPOS/SP,DATAFOLHA,,
1187,BOCA DE URNA PREFEITO DE CAMPINAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/310,10/2000,CAMPINAS/SP,DATAFOLHA,,
1188,BOCA DE URNA PREFEITO DE CURITIBA,https://www.cesop.unicamp.br/por/banco_de_dados/v/311,10/2000,CURITIBA/PR,DATAFOLHA,,
1189,POLITICA E CENARIO ECONOMICO DO BRASIL / DIRETOS TRABALHISTAS / MULHERES NA POLITICA,https://www.cesop.unicamp.br/por/banco_de_dados/v/312,02/1996,BRASIL,IBOPE,,
1190,POLITICA E CENARIO ECONOMICO DO BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/313,11/1996,BRASIL,IBOPE,,
1191,POLITICA E QUALIDADE DE VIDA / CENARIO ECONOMICO NO BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/314,05/1996,BRASIL,IBOPE,,
1192,POLITICA E CENARIO ECONOMICO DO BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/316,08/1996,BRASIL,IBOPE,,
1193,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/318,01/1997,BRASIL,IBOPE,,
1194,POLITICA E QUALIDADE DE VIDA / CENARIO ECONOMICO DO BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/1213,01/1997,BRASIL,IBOPE,,
1195,POLITICA E QUALIDADE DE VIDA / CENARIO ECONOMICO NO BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/322,10/1997,BRASIL,IBOPE,,
1196,PESQUISA COM POPULAÇÃO ELEITORA,https://www.cesop.unicamp.br/por/banco_de_dados/v/329,12/1997,BRASIL,IBOPE,,
1197,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/330,01/1998,BRASIL,IBOPE,,
1198,PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/332,03/1998,BRASIL,IBOPE,,
1200,QUALIDADE DE VIDA E EMPREGO COMPORTAMENTO E VALORES/ ASSOCIATIVISMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/335,05/1998,BRASIL,IBOPE,,
1201,AVALIAÇÃO DO PRESIDENTE FERNANDO HENRIQUE CARDOSO / AVALIAÇÃO DO LEGISLATIVO / INTENÇÃO DE VOTO PRESIDENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/337,05/1998,BRASIL,IBOPE,,
1202,AVALIAÇÃO DO PRESIDENTE FERNANDO HENRIQUE CARDOSO / AVALIAÇÃO DO LEGISLATIVO / INTENÇÃO DE VOTO PRESIDENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/339,06/1998,BRASIL,IBOPE,,
1203,PROJETO GLOBO 98 - 1ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/341,06/1998,MATO GROSSO DO SUL/MS,IBOPE,,
1204,PROJETO GLOBO 98 - 1ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/343,06/1998,MATO GROSSO/MT,IBOPE,,
1205,PROJETO VERDES MARES 98 - 1º RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/346,07/1998,CEARÁ/CE,IBOPE,,
1206,AVALIAÇÃO GOVERNO FEDERAL / AVALIAÇÃO LEGISLATIVO / INTENÇÃO DE VOTO PRESIDENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/348,06/1998,BRASIL,IBOPE,,
1207,1ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/350,07/1998,SANTA CATARINA/SC,IBOPE,,
1208,INTENÇÃO DE VOTO PRESIDENTE / INTERESSE PARTICIPAÇÃO POLÍTICA E FORMAS DE MOBILIZAÇÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/353,07/1998,BRASIL,IBOPE,,
1209,PROJETO GLOBO 98 - 2ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/354,07/1998,MATO GROSSO DO SUL/MS,IBOPE,,
1210,PROJETO GLOBO 98 - 2ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/355,07/1998,MATO GROSSO/MT,IBOPE,,
1211,1ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/357,07/1998,RIO DE JANEIRO/RJ,IBOPE,,
1212,PROJETO GLOBO 98 - 1ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/358,07/1998,SÃO PAULO/SP,IBOPE,,
1213,PROJETO GLOBO 98 - 1ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/359,07/1998,PERNAMBUCO/PE,IBOPE,,
1215,PROJETO GLOBO 98 - 1ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/360,07/1998,MINAS GERAIS/MG,IBOPE,,
1216,PROJETO GLOBO 98 - 4ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/361,07/1998,BRASIL,IBOPE,,
1217,PROJETO VERDES MARES 98 - 2º RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/1215,07/1998,CEARÁ/CE,IBOPE,,
1218,PESQUISAS COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/362,07/1998,AMAZONAS/AM,IBOPE,,
1219,PROJETO GLOBO 98 - 2ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/363,07/1998,MARANHÃO/MA,IBOPE,,
1220,PROJETO GLOBO 98 - 2ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/394,07/1998,RIO GRANDE DO SUL/RS,IBOPE,,
1221,PROJETO GLOBO 98 - 8ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/395,08/1998,BRASIL,IBOPE,,
1222,INTENÇÃO DE VOTO PRESIDENTE / INTENÇAÕ DE VOTO GOVERNADOR / AVALIAÇÃO DO GOVERNO ESTADUAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/397,08/1998,SÃO PAULO/SP,IBOPE,,
1224,PROJETO GLOBO 98 - 2ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/399,09/1998,GOIÁS,IBOPE,,
1225,PROJETO GLOBO 98 - 4ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/400,09/1998,MATO GROSSO/MT,IBOPE,,
1226,PROJETO GLOBO 98 - 4ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/403,09/1998,MATO GROSSO DO SUL/MS,IBOPE,,
1228,PROJETO GLOBO 98 - 9ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/404,09/1998,BRASIL,IBOPE,,
1229,PROJETO GLOBO 98 - 10ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/405,09/1998,BRASIL,IBOPE,,
1230,PROJETO GLOBO 98 - 5ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/406,09/1998,RIO DE JANEIRO/RJ,IBOPE,,
1231,PROJETO GLOBO 98 - 3ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/407,09/1998,PERNAMBUCO/PE,IBOPE,,
1232,PROJETO GLOBO 98 - 1ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/408,09/1998,ALAGOAS/AL,IBOPE,,
1233,PROJETO GLOBO 98 - 3ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/410,09/1998,DISTRITO FEDERAL/DF,IBOPE,,
1234,PROJETO GLOBO 98 - 5ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/413,09/1998,RIO GRANDE DO SUL/RS,IBOPE,,
1235,PROJETO GLOBO 98 - 5ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/415,09/1998,SANTA CATARINA/SC,IBOPE,,
1236,PROJETO GLOBO 98 - 11ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/417,09/1998,BRASIL,IBOPE,,
1238,PROJETO GLOBO 98 - 3ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/419,09/1998,PIAUÍ/PI,IBOPE,,
1239,PROJETO GLOBO 98 - 3ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/422,09/1998,BAHIA/BA,IBOPE,,
1240,PROJETO GLOBO 98 - 6ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/423,09/1998,RIO DE JANEIRO/RJ,IBOPE,,
1241,PROJETO GLOBO 98 - 3ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/424,09/1998,TOCANTINS/TO,IBOPE,,
1242,PROJETO GLOBO 98 - 3ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/426,09/1998,GOIÁS/GO,IBOPE,,
1243,PROJETO GLOBO 98 - 5ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/430,09/1998,MATO GROSSO DO SUL/MS,IBOPE,,
1244,PROJETO GLOBO 98 - 9ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/432,09/1998,MATO GROSSO/MT,IBOPE,,
1245,PROJETO GLOBO 98 - 2ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/434,09/1998,RONDÔNIA/RO,IBOPE,,
1246,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/554,09/1998,BRASIL,IBOPE,,
1247,AVALIAÇÃO GOVERNO ESTADUAL / INTENÇÃO DE VOTO GOVERNADOR / INTENÇÃO DE VOTO PRESIDENTE / QUALIDADE DE VIDA,https://www.cesop.unicamp.br/por/banco_de_dados/v/555,09/1998,MINAS GERAIS/MG,IBOPE,,
1248,PROJETO GLOBO 98 - 6ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/556,09/1998,RIO GRANDE DO SUL/RS,IBOPE,,
1249,PROJETO GLOBO 98 - 6ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/557,09/1998,SANTA CATARINA/SC,IBOPE,,
1250,PROJETO GLOBO 98 - 7ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/558,09/1998,RIO GRANDE DO SUL/RS,IBOPE,,
1251,PROJETO GLOBO 98 - 4ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/476,09/1998,MARANHÃO/MA,IBOPE,,
1252,PROJETO GLOBO 98 - 7ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/477,09/1998,SANTA CATARINA/SC,IBOPE,,
1253,PROJETO GLOBO 98 - 4ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/478,09/1998,CEARÁ/CE,IBOPE,,
1254,PROJETO GLOBO 98 - 4ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/479,09/1998,ESPÍRITO SANTO/ES,IBOPE,,
1255,PROJETO GLOBO 98 - 4ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/480,09/1998,DISTRITO FEDERAL/DF,IBOPE,,
1256,PROJETO GLOBO 98 - 7ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/6,09/1998,RIO DE JANEIRO/RJ,IBOPE,,
1257,PROJETO GLOBO 98 - 7ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/481,09/1998,SÃO PAULO/SP,IBOPE,,
1258,PROJETO GLOBO 98 - 4ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/482,09/1998,RIO GRANDE DO NORTE/RN,IBOPE,,
1259,PROJETO GLOBO 98 - 12ª RODADA - PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/484,09/1998,BRASIL,IBOPE,,
1260,AVALIAÇÃO GOVERNO FEDERAL / SOCIEDADE E QUALIDADE DE VIDA,https://www.cesop.unicamp.br/por/banco_de_dados/v/485,11/1998,BRASIL,IBOPE,,
1261,AVALIAÇÃO GOVERNO FEDERAL / SOCIEDADE E QUALIDADE DE VIDA,https://www.cesop.unicamp.br/por/banco_de_dados/v/486,03/1999,BRASIL,IBOPE,,
1262,AVALIAÇÃO GOVERNO FEDERAL / SOCIEDADE E QUALIDADE DE VIDA,https://www.cesop.unicamp.br/por/banco_de_dados/v/487,05/1999,BRASIL,IBOPE,,
1263,AVALIAÇÃO GOVERNO FEDERAL / SOCIEDADE E QUALIDADE DE VIDA,https://www.cesop.unicamp.br/por/banco_de_dados/v/488,07/1999,BRASIL,IBOPE,,
1264,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/489,09/1999,BRASIL,IBOPE,,
1265,AVALIAÇÃO GOVERNO FEDERAL / SOCIEDADE E QUALIDADE DE VIDA,https://www.cesop.unicamp.br/por/banco_de_dados/v/490,11/1999,BRASIL,IBOPE,,
1266,RAÇA E VALORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/491,02/2000,BRASIL,IBOPE,,
1267,CONSUMO E SOCIEDADE,https://www.cesop.unicamp.br/por/banco_de_dados/v/493,03/2000,BRASIL,IBOPE,,
1268,AVALIAÇÃO PRESIDENTE FERNANDO HENRIQUE CARDOSO / POLITICA E SOCIEDADE,https://www.cesop.unicamp.br/por/banco_de_dados/v/483,09/2000,BRASIL,IBOPE,,
1269,PESQUISA COM ELEITORES DO MUNICÍPIO - PROJETO RBS - 1º RODADA,https://www.cesop.unicamp.br/por/banco_de_dados/v/492,06/2000,PORTO ALEGRE/RS,IBOPE,,
1270,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/494,07/2000,FLORIANÓPOLIS/SC,IBOPE,,
1271,PESQUISA COM ELEITORES - 2º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/495,07/2000,PORTO ALEGRE/RS,IBOPE,,
1272,PESQUISA COM ELEITORES - 1º RODADA GLOBO/ VERDES MARES,https://www.cesop.unicamp.br/por/banco_de_dados/v/496,07/2000,FORTALEZA/CE,IBOPE,,
1273,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/497,07/2000,SANTOS/SP,IBOPE,,
1274,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/498,07/2000,RECIFE/PE,IBOPE,,
1275,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/499,07/2000,RIO DE JANEIRO/CAP,IBOPE,,
1276,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/500,07/2000,SÃO PAULO/CAP,IBOPE,,
1277,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/501,07/2000,RIBEIRÃO PRETO/SP,IBOPE,,
1278,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/502,07/2000,CAMPINAS/SP,IBOPE,,
1279,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/503,07/2000,BELO HORIZONTE/MG,IBOPE,,
1280,PESQUISA COM ELEITORES - 2º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/504,07/2000,FORTALEZA/CE,IBOPE,,
1281,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/505,07/2000,SALVADOR/BA,IBOPE,,
1282,PESQUISA COM ELEITORES - 2º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/506,07/2000,SÃO PAULO/CAP,IBOPE,,
1283,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/508,08/2000,REGISTRO/SP,IBOPE,,
1284,PESQUISA COM ELEITORES - 2º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/509,08/2000,RECIFE/PE,IBOPE,,
1285,PESQUISA COM ELEITORES - 2º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/510,08/2000,RIO DE JANEIRO/CAP,IBOPE,,
1286,PESQUISA COM ELEITORES - 3º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/511,08/2000,PORTO ALEGRE/RS,IBOPE,,
1287,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/512,08/2000,PRAIA GRANDE/SP,IBOPE,,
1288,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/513,08/2000,SÃO VICENTE/SP,IBOPE,,
1289,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/514,08/2000,GUARUJÁ/SP,IBOPE,,
1290,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/515,08/2000,CUBATÃO/SP,IBOPE,,
1291,PESQUISA COM ELEITORES - 2º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/516,08/2000,SANTOS/SP,IBOPE,,
1292,PESQUISA COM ELEITORES - 2º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/517,08/2000,FLORIANÓPOLIS/SC,IBOPE,,
1293,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/518,08/2000,VITÓRIA/ES,IBOPE,,
1294,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/519,08/2000,SÃO LUÍS/MA,IBOPE,,
1295,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/520,08/2000,CRICIÚMA/SC,IBOPE,,
1296,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/521,08/2000,BELÉM/PA,IBOPE,,
1297,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/522,08/2000,JUIZ DE FORA/MG,IBOPE,,
1298,PESQUISA COM ELEITORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/523,08/2000,BRASIL,IBOPE,,
1299,PESQUISA COM ELEITORES - 3º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/524,08/2000,RECIFE/PE,IBOPE,,
1300,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/525,08/2000,TERESINA/PI,IBOPE,,
1301,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/526,08/2000,ARACAJU/SE,IBOPE,,
1302,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/527,08/2000,CURITIBA/PR,IBOPE,,
1303,PESQUISA COM ELEITORES - 3º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/528,08/2000,RIO DE JANEIRO/CAP,IBOPE,,
1304,PESQUISA COM ELEITORES - 3º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/529,08/2000,SÃO PAULO/CAP,IBOPE,,
1305,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/530,08/2000,MACAPÁ/AP,IBOPE,,
1306,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/531,08/2000,PORTO VELHO/RO,IBOPE,,
1307,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/532,08/2000,CASCAVEL/PR,IBOPE,,
1308,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/533,08/2000,MARINGÁ/PR,IBOPE,,
1309,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/534,08/2000,GUARAPUAVA/PR,IBOPE,,
1310,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/535,08/2000,FOZ DO IGUAÇU/PR,IBOPE,,
1311,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/536,08/2000,PARANAVAÍ/PR,IBOPE,,
1312,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/537,08/2000,SÃO JOSÉ DO RIO PRETO/SP,IBOPE,,
1313,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/538,08/2000,LONDRINA/PR,IBOPE,,
1314,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/539,08/2000,PONTA GROSSA/PR,IBOPE,,
1316,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/540,08/2000,GOVERNADOR VALADARES/MG,IBOPE,,
1317,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/541,08/2000,SÃO JOSÉ DOS CAMPOS/SP,IBOPE,,
1318,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/542,08/2000,SOROCABA/SP,IBOPE,,
1319,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/543,08/2000,ARARAQUARA/SP,IBOPE,,
1320,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/544,08/2000,BOA VISTA/RR,IBOPE,,
1321,PESQUISA COM ELEITORES - 1º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/545,08/2000,FEIRA DE SANTANA/BA,IBOPE,,
1322,PESQUISA COM ELEITORES - 2º RODADA GLOBO/AFILIADAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/546,08/2000,RIBEIRÃO PRETO/SP,IBOPE,,
