IDADE,FX_ID,SEXO,p1,p2a,p2b,p2c,p3anos,p3meses,t3,p4,p5anos,p5meses,t5,p6,idaa,idab,idac,idad,idae,idaf,idag,idah,idai,idaj,idak,idal,idam,idan,idao,p6a,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,religiao,cor,escola,rendaf,tipo,pa1,pa2,pa45_2a,pa45_2b,pa45_2c,pa45_2d,pa3,pa4,pa5,pa6,pa7,pa8,pa9,pa10,pa11,pa12,pa13,pa14,pa15,pa16,pa17,pa18,pa19,pa20,pa21,pa22,pa23,pa24,pa25,pa26,pa27,pa28,pa29a,pa29b,pa29c,pa29d,pa29e,pa29f,pa29g,pa29h,pa29i,pa29j,pa29k,pa30a,pa30b,pa30c,pa30d,pa30e,pa30f,pa30g,pa30h,pa31a,pa31b,pa31c,pa31d,pa31e,pa31f,pa31g,pa31h,pa31i,pa31j,pa31k,pa31aa,pa31ab,pa31ac,pa31ad,pa31ae,pa32,pa33,pa34,pa35a,pa35b,pa35c,pa35d,pa35e,pa35f,pa35g,pa35h,pa35i,pa36,pa37,pa38a,pa38b,pa39,pa40,pa41,pa42a,pa42b,pa43,pa44,pa45_1,pa46a,pa46b,regiao,metrop,meso,pesoe,nquest
31.0,2.0,1.0,1.0,,,,7.0,4.0,3.0,,,,,96.0,,,,,,,,,,,,,,,,,95.0,,,2.0,2.0,2.0,1.0,3.0,1.0,2.0,9.0,2.0,7.0,3.0,1.0,3.0,2.0,,,,,4.0,2.0,1.0,1.0,3.0,6.0,1.0,3.0,2.0,96.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,96.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,2.0,3.0,7.0,8.0,,,,,1.0,2.0,996.0,,2.0,222.0,,,,,,,,,3.0,1.0,5.0,0.9950845795544949,347.0
25.0,2.0,1.0,2.0,1.0,,,,,,1.0,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,2.0,,,96.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,3.0,1.0,1.0,1.0,3.0,,,,,97.0,1.0,1.0,3.0,96.0,10.0,1.0,97.0,97.0,97.0,3.0,2.0,2.0,2.0,97.0,97.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,97.0,97.0,97.0,4.0,4.0,4.0,4.0,3.0,97.0,97.0,4.0,4.0,4.0,4.0,3.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,2.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,,,2.0,97.0,97.0,97.0,97.0,2.0,1.0,3.0,1.0,,,,,,,,,97.0,5.0,996.0,,95.0,222.0,,,,,,,,,3.0,1.0,5.0,0.9950845795544949,348.0
38.0,3.0,1.0,1.0,,,,12.0,,4.0,,,,,2.0,11.0,9.0,,,,,,,,,,,,,,1.0,95.0,,,3.0,3.0,1.0,1.0,1.0,3.0,2.0,6.0,2.0,5.0,1.0,1.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,6.0,2.0,97.0,1.0,96.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,3.0,96.0,2.0,96.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,97.0,2.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,2.0,97.0,97.0,97.0,97.0,97.0,97.0,,,2.0,1.0,1.0,1.0,97.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,2.0,3.0,996.0,,2.0,222.0,,,,,,,,,3.0,1.0,5.0,0.9615211625867197,349.0
55.0,4.0,1.0,1.0,,,,10.0,,3.0,,,,,4.0,21.0,22.0,23.0,24.0,32.0,,,,,,,,,,,2.0,97.0,,,3.0,3.0,3.0,1.0,1.0,3.0,98.0,1.0,3.0,5.0,3.0,1.0,4.0,1.0,,,,,3.0,1.0,1.0,1.0,1.0,8.0,2.0,3.0,1.0,96.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,1.0,2.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,97.0,97.0,1.0,97.0,1.0,97.0,1.0,1.0,97.0,,,1.0,1.0,97.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,8.0,9.0,,,,,,3.0,5.0,996.0,,1.0,222.0,,,,,,,,,3.0,1.0,5.0,0.935043469246646,350.0
19.0,1.0,2.0,2.0,2.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,96.0,3.0,2.0,1.0,2.0,,,1.0,1.0,3.0,6.0,2.0,2.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,96.0,1.0,,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,3.0,8.0,9.0,,,,,,,99.0,,,,,,,,,,,,,3.0,1.0,5.0,1.1624934053171643,351.0
36.0,3.0,2.0,2.0,3.0,,,,,,1.0,2.0,,3.0,96.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,5.0,2.0,1.0,1.0,2.0,,,,,3.0,3.0,1.0,1.0,1.0,10.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,96.0,96.0,96.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,,,,,,,,3.0,3.0,996.0,,,,,,,1.0,222.0,,,,3.0,1.0,5.0,1.0328190901768173,352.0
29.0,2.0,2.0,2.0,3.0,,,,,,1.0,,5.0,1.0,96.0,,,,,,,,,,,,,,,,,,,96.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,9.0,2.0,5.0,1.0,1.0,2.0,1.0,,,,,3.0,4.0,1.0,3.0,1.0,10.0,2.0,97.0,2.0,97.0,97.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,97.0,,97.0,,,,,,,,,2.0,99.0,97.0,,,,,,,1.0,0.5,97.0,97.0,,3.0,1.0,5.0,1.0580513973747017,353.0
30.0,2.0,2.0,1.0,,,,,7.0,1.0,,,,,3.0,14.0,12.0,3.0,,,,,,,,,,,,,1.0,3.0,,,3.0,2.0,1.0,1.0,2.0,1.0,99.0,9.0,2.0,2.0,1.0,1.0,3.0,1.0,,,,,3.0,2.0,4.0,1.0,96.0,97.0,96.0,1.0,96.0,96.0,6.0,3.0,2.0,97.0,2.0,2.0,1.0,5.0,5.0,5.0,97.0,4.0,96.0,96.0,96.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,97.0,,,,,,,,,2.0,99.0,996.0,,,,,,,96.0,222.0,,,,3.0,1.0,5.0,1.0580513973747017,354.0
46.0,4.0,2.0,3.0,5.0,,,,,,2.0,,,,3.0,10.0,19.0,18.0,,,,,,,,,,,,,1.0,,1.0,,4.0,1.0,1.0,1.0,1.0,3.0,99.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,3.0,2.0,1.0,1.0,1.0,9.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,8.0,,,,,,,2.0,99.0,996.0,,,,,,,1.0,222.0,,,,3.0,1.0,5.0,1.0407566231481482,355.0
26.0,2.0,2.0,1.0,,,,4.0,,2.0,,,,,1.0,10.0,,,,,,,,,,,,,,,1.0,2.0,,,2.0,1.0,1.0,1.0,1.0,3.0,2.0,9.0,3.0,4.0,2.0,1.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,10.0,2.0,3.0,1.0,97.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,2.0,1.0,996.0,,,,,,,1.0,222.0,,,,3.0,1.0,5.0,1.0580513973747017,356.0
26.0,2.0,2.0,2.0,5.0,,,,,,2.0,,,,2.0,4.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,9.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,,4.0,4.0,2.0,3.0,96.0,96.0,2.0,4.0,1.0,97.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,96.0,96.0,96.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,7.0,8.0,,,,,2.0,3.0,996.0,,,,,,,96.0,222.0,,,,3.0,1.0,5.0,1.0580513973747017,357.0
35.0,3.0,2.0,2.0,2.0,,,,,,1.0,6.0,,5.0,3.0,13.0,11.0,9.0,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0,97.0,7.0,2.0,1.0,2.0,2.0,,,,,2.0,5.0,1.0,1.0,1.0,9.0,2.0,5.0,1.0,96.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,96.0,96.0,96.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,97.0,97.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,8.0,,,,,,,97.0,1.0,996.0,,,,,,,1.0,222.0,,,,3.0,1.0,5.0,1.0328190901768173,358.0
20.0,1.0,2.0,2.0,2.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,3.0,3.0,1.0,1.0,3.0,5.0,1.0,4.0,2.0,97.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,96.0,96.0,96.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,97.0,97.0,1.0,97.0,97.0,97.0,97.0,97.0,97.0,1.0,97.0,97.0,97.0,97.0,,,,97.0,97.0,2.0,97.0,97.0,97.0,97.0,1.0,3.0,,4.0,,,,,,,,,1.0,1.0,996.0,,,,,,,1.0,222.0,,,,3.0,1.0,5.0,1.1624934053171643,359.0
45.0,4.0,2.0,3.0,5.0,,,,,,2.0,,,,4.0,24.0,19.0,15.0,4.0,,,,,,,,,,,,1.0,,1.0,,4.0,4.0,1.0,1.0,4.0,1.0,99.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,4.0,1.0,4.0,2.0,96.0,96.0,96.0,3.0,96.0,96.0,6.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,96.0,96.0,96.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,7.0,,,,,,,,,2.0,99.0,996.0,,,,,,,96.0,222.0,,,,3.0,1.0,5.0,1.0407566231481482,360.0
35.0,3.0,1.0,1.0,,,,7.0,1.0,3.0,,,,,96.0,,,,,,,,,,,,,,,,,95.0,,,1.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,2.0,2.0,1.0,1.0,4.0,1.0,,,,,2.0,2.0,2.0,1.0,1.0,9.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,96.0,96.0,96.0,1.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,2.0,4.0,6.0,,,,,,1.0,97.0,97.0,,97.0,997.0,,,,,,,,,3.0,1.0,5.0,0.9615211625867197,361.0
58.0,4.0,1.0,4.0,1.0,,,,,,2.0,,,,4.0,30.0,27.0,22.0,17.0,,,,,,,,,,,,2.0,,2.0,,3.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,2.0,6.0,1.0,1.0,3.0,2.0,,,,,3.0,3.0,1.0,1.0,1.0,8.0,2.0,5.0,1.0,96.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,96.0,96.0,96.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,97.0,,,,,,,,,97.0,2.0,98.0,,1.0,222.0,,,,,,,,,3.0,1.0,5.0,0.935043469246646,362.0
31.0,2.0,1.0,1.0,,,,14.0,3.0,4.0,,,,,1.0,10.0,,,,,,,,,,,,,,,1.0,95.0,,,3.0,2.0,2.0,1.0,3.0,3.0,2.0,6.0,3.0,5.0,3.0,1.0,2.0,2.0,,,,,3.0,2.0,2.0,1.0,2.0,8.0,1.0,5.0,2.0,96.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,7.0,8.0,,,,,,2.0,2.0,996.0,,2.0,222.0,,,,,,,,,3.0,1.0,5.0,0.9950845795544949,363.0
47.0,4.0,1.0,1.0,,,,13.0,9.0,4.0,,,,,4.0,3.0,15.0,16.0,22.0,19.0,15.0,10.0,13.0,6.0,8.0,,,,,,1.0,4.0,,,2.0,1.0,1.0,1.0,1.0,3.0,2.0,6.0,3.0,5.0,4.0,1.0,2.0,1.0,,,,,1.0,1.0,98.0,1.0,1.0,8.0,2.0,99.0,96.0,96.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,7.0,8.0,,,,,,2.0,1.0,996.0,,1.0,222.0,,,,,,,,,3.0,1.0,5.0,0.935043469246646,364.0
39.0,3.0,1.0,2.0,1.0,,,,,,2.0,,,,1.0,9.0,,,,,,,,,,,,,,,2.0,,,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,2.0,2.0,,,,,3.0,3.0,1.0,1.0,96.0,96.0,96.0,5.0,5.0,97.0,2.0,97.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,97.0,2.0,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,7.0,,,,,,,2.0,3.0,996.0,,1.0,222.0,,,,,,,,,3.0,1.0,5.0,0.9615211625867197,366.0
46.0,4.0,1.0,1.0,,,,17.0,,5.0,,,,,1.0,16.0,,,,,,,,,,,,,,,1.0,95.0,,,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,,,,,4.0,3.0,2.0,1.0,1.0,8.0,2.0,5.0,96.0,96.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,96.0,96.0,96.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,7.0,8.0,,,,,2.0,99.0,996.0,,1.0,0.5,2.0,3.0,,,,,,,3.0,1.0,5.0,0.935043469246646,367.0
21.0,1.0,1.0,2.0,2.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,3.0,5.0,3.0,1.0,2.0,1.0,,,,,2.0,4.0,2.0,1.0,4.0,5.0,2.0,2.0,99.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,96.0,96.0,96.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,4.0,996.0,,1.0,222.0,,,,,,,,,3.0,1.0,5.0,1.1088841458333336,368.0
33.0,2.0,1.0,1.0,,,,3.0,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,95.0,,,3.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,3.0,5.0,1.0,1.0,1.0,2.0,,,,,2.0,2.0,2.0,1.0,1.0,8.0,2.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,96.0,96.0,2.0,2.0,3.0,97.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,97.0,97.0,2.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,1.0,97.0,97.0,97.0,,,1.0,97.0,97.0,97.0,97.0,2.0,2.0,2.0,1.0,,,,,,,,,3.0,97.0,996.0,,97.0,997.0,,,,,,,,,3.0,1.0,5.0,0.9950845795544949,369.0
20.0,1.0,1.0,2.0,2.0,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,96.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,6.0,1.0,1.0,2.0,1.0,,,,,2.0,2.0,1.0,3.0,96.0,96.0,2.0,4.0,1.0,1.0,2.0,97.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,7.0,8.0,,,,,3.0,1.0,996.0,,1.0,222.0,,,,,,,,,3.0,1.0,5.0,1.1088841458333336,370.0
53.0,4.0,2.0,1.0,,,,32.0,,6.0,,,,,4.0,30.0,27.0,25.0,16.0,,,,,,,,,,,,1.0,95.0,,,3.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,4.0,3.0,4.0,2.0,1.0,7.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,96.0,96.0,96.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,97.0,,,,,,,,,2.0,99.0,996.0,,,,,,,1.0,222.0,,,,3.0,1.0,5.0,1.0407566231481482,371.0
25.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,96.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,9.0,2.0,6.0,1.0,1.0,2.0,2.0,,,,,3.0,4.0,1.0,3.0,96.0,96.0,96.0,3.0,1.0,96.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,96.0,96.0,96.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,7.0,,,,,,,3.0,1.0,996.0,,,,,,,96.0,222.0,,,,3.0,1.0,5.0,1.0580513973747017,372.0
23.0,1.0,2.0,2.0,1.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,5.0,1.0,1.0,3.0,1.0,,,,,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,96.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,96.0,96.0,96.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,97.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,7.0,9.0,,,,,,2.0,3.0,996.0,,,,,,,95.0,222.0,,,,3.0,1.0,5.0,1.1624934053171643,373.0
35.0,3.0,2.0,2.0,2.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,96.0,5.0,1.0,3.0,2.0,,,1.0,1.0,3.0,5.0,97.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,96.0,96.0,,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,97.0,,,,,,,,,,99.0,,,,,,,,,,,,,3.0,1.0,5.0,1.0328190901768173,374.0
20.0,1.0,2.0,2.0,97.0,,,,,,1.0,,6.0,1.0,96.0,,,,,,,,,,,,,,,,,,,96.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,2.0,4.0,2.0,1.0,2.0,1.0,,,,,3.0,2.0,1.0,3.0,1.0,10.0,2.0,2.0,2.0,96.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,97.0,,,,,,,,,3.0,99.0,996.0,,,,,,,1.0,222.0,,,,3.0,1.0,5.0,1.1624934053171643,375.0
48.0,4.0,2.0,4.0,5.0,,,,,,2.0,,,,4.0,31.0,29.0,27.0,25.0,22.0,,,,,,,,,,,1.0,,1.0,,3.0,2.0,1.0,1.0,4.0,3.0,99.0,8.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,,2.0,4.0,98.0,1.0,96.0,96.0,96.0,2.0,96.0,96.0,6.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,9.0,,,,,,,,2.0,99.0,996.0,,,,,,,96.0,222.0,,,,3.0,1.0,5.0,1.0407566231481482,376.0
30.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,96.0,,,,,,,,,,,,,,,,,,,96.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,9.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,2.0,2.0,1.0,3.0,96.0,96.0,96.0,3.0,96.0,96.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,96.0,96.0,96.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,97.0,,,,,,,,,3.0,99.0,98.0,,,,,,,96.0,222.0,,,,3.0,1.0,5.0,1.0580513973747017,377.0
