IDADE,FX_ID,SEXO,EL01,VP01,VP02,VP03,VP04,VP05,CONF01A,CONF01B,CONF01C,CONF01D,CONF01E,STF01,CN01,CC01A,CC01B,CC01C,CC01D,CC01E,CC01F,TE01,VA01_1,VA01_2,VA01_3,RACA,RELIGIAO,CLASSE,REND1,REND2,ALFABETIZACAO,ESCOLARIDADE,OCUPACAO,REGIAO,TIPO_COLETA,FATOR_POND,DATA_ENTREVISTA,TELEFONE_FIXO,FILTRO1,FILTRO2,ID,Nquest
25.0,3.0,1.0,2.0,2.0,,2.0,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,,5.0,10.0,11.0,1.0,1.0,5.0,4.0,4.0,1.0,10.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157249095.0,18.0
26.0,3.0,1.0,1.0,2.0,,2.0,,,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,,12.0,5.0,2.0,3.0,10.0,3.0,4.0,4.0,1.0,16.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157249114.0,19.0
19.0,2.0,2.0,4.0,4.0,4.0,,,,2.0,2.0,99.0,99.0,2.0,4.0,4.0,1.0,99.0,3.0,3.0,1.0,3.0,,2.0,7.0,1.0,1.0,5.0,4.0,6.0,5.0,1.0,14.0,1.0,3.0,1.0,1.216129,2021-09-18,2.0,2.0,,157249115.0,20.0
31.0,3.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,,1.0,2.0,4.0,3.0,1.0,6.0,5.0,5.0,1.0,9.0,1.0,4.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157249898.0,21.0
18.0,2.0,1.0,2.0,4.0,4.0,,,,99.0,99.0,99.0,99.0,2.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,3.0,99.0,,,3.0,2.0,5.0,98.0,99.0,1.0,3.0,2.0,2.0,1.0,1.216129,2021-09-18,2.0,2.0,,157250753.0,22.0
16.0,1.0,1.0,99.0,4.0,4.0,,,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,11.0,5.0,3.0,20.0,2.0,99.0,99.0,1.0,13.0,2.0,3.0,1.0,0.412,2021-09-18,1.0,2.0,,157250868.0,23.0
25.0,3.0,1.0,99.0,3.0,,,,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,10.0,11.0,1.0,1.0,3.0,6.0,3.0,1.0,15.0,2.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157251270.0,24.0
23.0,2.0,2.0,4.0,2.0,,2.0,,,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,,15.0,9.0,10.0,1.0,19.0,3.0,6.0,3.0,1.0,15.0,1.0,3.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157251339.0,25.0
18.0,2.0,1.0,4.0,4.0,4.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,3.0,1.0,4.0,98.0,99.0,1.0,14.0,2.0,3.0,1.0,1.216129,2021-09-18,2.0,2.0,,157251340.0,26.0
24.0,2.0,1.0,4.0,3.0,,,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,9.0,10.0,11.0,3.0,10.0,4.0,6.0,6.0,1.0,10.0,1.0,3.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157251592.0,27.0
25.0,3.0,1.0,1.0,2.0,,2.0,,,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,,15.0,10.0,11.0,3.0,10.0,5.0,6.0,5.0,1.0,13.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157251815.0,28.0
18.0,2.0,1.0,4.0,4.0,4.0,,,,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,13.0,2.0,1.0,6.0,98.0,6.0,1.0,14.0,2.0,3.0,1.0,1.216129,2021-09-18,2.0,2.0,,157251999.0,29.0
19.0,2.0,1.0,4.0,4.0,4.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,,15.0,10.0,11.0,3.0,10.0,4.0,5.0,5.0,1.0,14.0,1.0,2.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157252136.0,30.0
18.0,2.0,1.0,2.0,4.0,4.0,,,,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,,2.0,4.0,13.0,3.0,10.0,4.0,5.0,5.0,1.0,13.0,1.0,3.0,1.0,1.216129,2021-09-18,1.0,1.0,1.0,157252649.0,31.0
