IDADE,FX_ID,SEXO,p1,p2,p3m,p3h,p4a_p,p4a_f,p4b_p,p4b_f,p4c_p,p4c_f,p5a_p,p5a_f,p5b_p,p5b_f,p5c_p,p5c_f,p6a,p6b,p6c,p7,p8,p9,p10a,p10b,p10c,p10d,p10e,p10f,p11,p12a,p12b,p12c,p13,p14,p15a,p15b,p16a,p16b,p16c,p17a,p17b,p18,p19,p20a,p20b,p21,p22,p23,p24a,p24b,p24c,p25,p26,COR,ESCOLA,RENDA,nquest
19.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,0.0,1.0,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,870.0
19.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,9.0,21.0,,1.0,1.0,2.0,2.0,4.0,5.0,5.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,890.0
19.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,1.0,1.0,1.0,1.0,4.0,6.0,6.0,2.0,,14.0,1.0,2.0,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,919.0
19.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,23.0,6.0,5.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,,1.0,1.0,2.0,,2.0,4.0,1.0,1.0,1.0,1.0,9.0,4.0,1.0,2.0,2.0,948.0
19.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,5.0,23.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,3.0,14.0,1.0,2.0,,4.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,5.0,34.0
19.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,,10.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,48.0
19.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,9.0,5.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0,2.0,0.0,14.0,1.0,2.0,,2.0,1.0,2.0,,,,1.0,1.0,1.0,4.0,3.0,76.0
19.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,17.0,5.0,23.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,14.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,80.0
19.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,6.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,23.0,2.0,2.0,1.0,2.0,6.0,5.0,5.0,1.0,1.0,1.0,2.0,0.0,,4.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,114.0
19.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,16.0,,1.0,2.0,1.0,1.0,4.0,6.0,4.0,2.0,,1.0,2.0,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,133.0
19.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,14.0,10.0,23.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,10.0,2.0,1.0,2.0,,2.0,2.0,2.0,,,,4.0,4.0,5.0,6.0,4.0,192.0
19.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,,,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,10.0,14.0,2.0,,,2.0,1.0,2.0,,,,1.0,1.0,5.0,4.0,1.0,257.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,,,2.0,1.0,1.0,1.0,7.0,7.0,5.0,2.0,,14.0,1.0,2.0,,3.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,5.0,2.0,6.0,269.0
19.0,1.0,1.0,1.0,6.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,,,1.0,4.0,1.0,2.0,6.0,5.0,5.0,1.0,1.0,14.0,1.0,2.0,,2.0,1.0,2.0,,,,1.0,1.0,5.0,5.0,2.0,270.0
19.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,14.0,,,2.0,1.0,1.0,2.0,6.0,5.0,5.0,2.0,,4.0,2.0,,,4.0,2.0,2.0,,,,1.0,1.0,2.0,2.0,1.0,284.0
19.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,13.0,17.0,,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,,1.0,1.0,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,291.0
19.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,4.0,2.0,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,300.0
19.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,,14.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,327.0
19.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,15.0,,,1.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0,,1.0,2.0,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,345.0
19.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,9.0,,1.0,1.0,1.0,2.0,2.0,5.0,5.0,2.0,,11.0,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,394.0
19.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,7.0,,1.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,50.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,9.0,4.0,5.0,4.0,4.0,410.0
19.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,9.0,12.0,,1.0,2.0,1.0,2.0,7.0,5.0,7.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0,4.0,2.0,4.0,3.0,18.0
19.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,,,1.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,32.0
19.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,9.0,23.0,,1.0,1.0,1.0,2.0,4.0,5.0,5.0,2.0,0.0,11.0,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,36.0
19.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,,1.0,1.0,2.0,2.0,7.0,5.0,5.0,1.0,4.0,1.0,2.0,,,4.0,1.0,2.0,,,,8.0,1.0,5.0,3.0,1.0,58.0
19.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,,,1.0,2.0,1.0,2.0,1.0,7.0,1.0,1.0,2.0,14.0,2.0,,,4.0,1.0,2.0,,,,1.0,2.0,2.0,5.0,1.0,224.0
19.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,9.0,,,1.0,1.0,1.0,1.0,7.0,5.0,7.0,1.0,4.0,14.0,1.0,2.0,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,267.0
19.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,9.0,10.0,23.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0,2.0,,14.0,2.0,,,1.0,1.0,2.0,,,,1.0,1.0,5.0,1.0,2.0,273.0
19.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,23.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,5.0,2.0,,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,288.0
19.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,,1.0,2.0,,,2.0,1.0,2.0,,,,1.0,1.0,2.0,5.0,4.0,355.0
19.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,,2.0,1.0,1.0,2.0,6.0,5.0,5.0,1.0,8.0,16.0,1.0,3.0,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,376.0
19.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,,,1.0,1.0,1.0,2.0,7.0,5.0,5.0,2.0,,1.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,391.0
19.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,16.0,,,1.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,12.0,1.0,1.0,2.0,0.0,4.0,2.0,2.0,,,,4.0,1.0,1.0,5.0,2.0,36.0
19.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,14.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,1.0,42.0
19.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,,,2.0,2.0,1.0,1.0,2.0,7.0,2.0,1.0,5.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,52.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,0.0,15.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,54.0
19.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,,,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,15.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,1.0,59.0
19.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,,,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,10.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,85.0
19.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,14.0,1.0,2.0,0.0,4.0,1.0,2.0,,,,1.0,1.0,5.0,2.0,1.0,94.0
19.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,23.0,4.0,,1.0,1.0,1.0,2.0,2.0,5.0,7.0,2.0,0.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,172.0
19.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,9.0,,1.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,3.0,14.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,204.0
19.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,,,2.0,1.0,1.0,2.0,4.0,5.0,5.0,2.0,0.0,1.0,2.0,,,4.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,218.0
19.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,,1.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0,,13.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,250.0
19.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,,,1.0,2.0,1.0,2.0,7.0,5.0,5.0,2.0,,1.0,1.0,2.0,,4.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,5.0,5.0,2.0,324.0
19.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,,1.0,1.0,1.0,2.0,2.0,5.0,5.0,2.0,,1.0,2.0,,,2.0,1.0,2.0,,,,1.0,1.0,5.0,5.0,1.0,379.0
19.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,9.0,,,1.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,,1.0,2.0,,,3.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,406.0
19.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,23.0,,,2.0,1.0,2.0,2.0,5.0,5.0,5.0,1.0,3.0,1.0,2.0,,,2.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,1040.0
20.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,9.0,1.0,2.0,1.0,1.0,7.0,7.0,7.0,2.0,0.0,1.0,2.0,,,1.0,1.0,2.0,,,,10.0,1.0,1.0,6.0,4.0,61.0
20.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,9.0,4.0,,1.0,2.0,1.0,1.0,6.0,5.0,5.0,2.0,,14.0,1.0,2.0,,2.0,1.0,2.0,,,,1.0,1.0,5.0,1.0,3.0,118.0
20.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,,,1.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,,,2.0,4.0,2.0,,,,7.0,1.0,1.0,2.0,1.0,159.0
20.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,1.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,,,,1.0,1.0,5.0,5.0,2.0,269.0
20.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,15.0,7.0,13.0,1.0,2.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,14.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,5.0,271.0
20.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,23.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,7.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,391.0
20.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,,,2.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,6.0,409.0
20.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,462.0
20.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,,,1.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,529.0
20.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,10.0,2.0,0.0,0.0,1.0,1.0,2.0,,,,9.0,1.0,1.0,2.0,1.0,549.0
20.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,17.0,,,1.0,1.0,1.0,1.0,1.0,7.0,7.0,2.0,,1.0,1.0,2.0,,2.0,1.0,2.0,0.0,0.0,0.0,9.0,3.0,5.0,2.0,3.0,559.0
20.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,,1.0,3.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,,,,8.0,1.0,1.0,2.0,2.0,587.0
