IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE_SOCIAL,P1A,P1B,P1C,P1D,P1E,P1F,P1G,P1H,P2_1,P2_2,p2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P4_1,P4_2,p4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,RACA,RELIGIAO,RENDA1,RENDA2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND,ID
24.0,1.0,2.0,16.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,99.0,5.0,,,1.0,6.0,,,,,,3.0,6.0,4.0,2.0,2.0,99.0,1.0,99.0,2.0,99.0,2.0,2.0,4.0,5.0,3.0,3.0,1.0,99.0,1.0,3.0,3.0,4.0,3.0,6.0,4.0,2.0,0.794655138043643,155653746.0
51.0,4.0,1.0,16.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,97.0,,,,,,,2.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,15.0,3.0,3.0,5.0,4.0,2.0,1.4622658771142742,155653844.0
32.0,2.0,1.0,14.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,6.0,,,,,,4.0,6.0,,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,3.0,19.0,5.0,5.0,2.0,4.0,2.0,1.4487496670064708,155654272.0
43.0,3.0,1.0,11.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,2.0,3.0,5.0,6.0,,,,,5.0,,,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,1.2700245226127562,155655576.0
21.0,1.0,1.0,15.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,9.0,4.0,6.0,3.0,4.0,7.0,,,,,4.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,6.0,1.0,2.0,2.0,1.0,3.0,16.0,6.0,5.0,2.0,4.0,1.0,0.7279190396346811,155655763.0
38.0,3.0,2.0,14.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,,99.0,,,,,,,99.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,2.0,2.0,2.0,2.0,3.0,10.0,6.0,6.0,3.0,4.0,2.0,0.5313869108638523,155657621.0
78.0,5.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,3.0,4.0,,,,,,2.0,6.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,6.0,6.0,8.0,4.0,2.0,0.7426093563649253,155658230.0
72.0,5.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,9.0,1.0,6.0,7.0,,,,,4.0,2.0,6.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,99.0,99.0,5.0,4.0,2.0,1.064685558061053,155658486.0
17.0,1.0,2.0,13.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,9.0,5.0,1.0,2.0,5.0,7.0,,,,,2.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,1.0,1.0,1.0,99.0,3.0,20.0,98.0,5.0,6.0,4.0,2.0,0.9188297111979539,155659045.0
49.0,4.0,1.0,11.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,4.0,1.0,2.0,6.0,,,,,2.0,6.0,,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,11.0,6.0,6.0,5.0,4.0,2.0,0.548238834624492,155659530.0
23.0,1.0,1.0,13.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,6.0,,,,,,,2.0,3.0,,1.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,5.0,99.0,,2.0,2.0,2.0,2.0,3.0,20.0,6.0,6.0,7.0,4.0,1.0,2.7742112891788637,155659532.0
73.0,5.0,2.0,9.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,99.0,,,99.0,,,,,,,4.0,,,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,99.0,,3.0,3.0,99.0,2.0,3.0,6.0,6.0,6.0,7.0,4.0,1.0,2.440151771061528,155659533.0
41.0,3.0,2.0,12.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,1.0,,,,,,,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,98.0,6.0,7.0,4.0,1.0,0.5421168642398062,155659534.0
74.0,5.0,2.0,5.0,2.0,5.0,1.0,99.0,1.0,1.0,1.0,99.0,1.0,99.0,99.0,,,99.0,,,,,,,99.0,,,2.0,99.0,99.0,2.0,99.0,99.0,2.0,2.0,99.0,99.0,,,3.0,2.0,2.0,99.0,1.0,1.0,6.0,5.0,7.0,4.0,1.0,2.733059289074644,155659535.0
25.0,2.0,2.0,13.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,,,3.0,,,,,,,97.0,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,3.0,2.0,2.0,4.0,20.0,98.0,6.0,7.0,4.0,1.0,0.641515777683853,155659536.0
35.0,3.0,2.0,11.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,,,5.0,,,,,,,99.0,,,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,5.0,7.0,4.0,2.0,1.1121369561731256,155659537.0
25.0,2.0,2.0,14.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,,6.0,,,,,,,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,99.0,,1.0,1.0,1.0,1.0,4.0,20.0,6.0,6.0,7.0,4.0,2.0,0.8698712981072632,155659538.0
65.0,5.0,1.0,14.0,2.0,4.0,99.0,99.0,99.0,2.0,99.0,2.0,99.0,2.0,5.0,2.0,8.0,99.0,,,,,,,99.0,,,3.0,3.0,4.0,4.0,99.0,3.0,99.0,3.0,3.0,97.0,,,99.0,99.0,99.0,99.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.322422817733766,155659943.0
61.0,5.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,2.0,3.0,5.0,7.0,,,,2.0,3.0,5.0,99.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,6.0,8.0,4.0,2.0,0.7426093563649253,155661008.0
57.0,5.0,1.0,10.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,8.0,1.0,2.0,3.0,6.0,,,,6.0,1.0,2.0,99.0,2.0,1.0,1.0,2.0,2.0,99.0,2.0,1.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,20.0,6.0,6.0,5.0,4.0,2.0,1.1023255240496204,155661252.0
54.0,4.0,2.0,11.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,7.0,2.0,1.0,2.0,3.0,4.0,,,,5.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,99.0,,,99.0,99.0,99.0,99.0,1.0,1.0,5.0,4.0,3.0,4.0,2.0,0.7389935861438548,155661319.0
29.0,2.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,99.0,9.0,2.0,6.0,4.0,,,,,,,3.0,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,7.0,99.0,99.0,99.0,99.0,1.0,3.0,4.0,4.0,5.0,4.0,2.0,0.9428315319119869,155661474.0
19.0,1.0,2.0,13.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,,5.0,6.0,,,,,,6.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,5.0,7.0,2.0,99.0,2.0,99.0,1.0,1.0,98.0,6.0,7.0,4.0,2.0,0.4649097682603525,155662267.0
55.0,5.0,1.0,10.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,7.0,5.0,2.0,4.0,5.0,,,,,4.0,5.0,6.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,4.0,2.0,0.9623935681806925,155662572.0
19.0,1.0,1.0,15.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,8.0,2.0,4.0,6.0,7.0,,,,4.0,2.0,6.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,6.0,7.0,3.0,1.0,2.0,1.0,1.0,10.0,98.0,5.0,2.0,4.0,2.0,0.3646843930701267,155662824.0
60.0,5.0,2.0,11.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,1.0,2.0,5.0,7.0,,,,,5.0,6.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,15.0,98.0,5.0,2.0,4.0,2.0,1.042462655058821,155662825.0
54.0,4.0,1.0,11.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,7.0,6.0,2.0,6.0,7.0,,,,,1.0,2.0,5.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,19.0,5.0,5.0,2.0,4.0,2.0,0.8101644311545318,155662826.0
55.0,5.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,,,4.0,,,,,,,6.0,,,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,99.0,4.0,4.0,8.0,4.0,2.0,0.5555230899030785,155664547.0
35.0,3.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,,5.0,6.0,,,,,,3.0,,,1.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,6.0,8.0,4.0,2.0,0.367287812610732,155665465.0
46.0,4.0,2.0,15.0,1.0,4.0,99.0,1.0,99.0,1.0,99.0,99.0,1.0,1.0,5.0,,,1.0,2.0,5.0,,,,,2.0,6.0,,1.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,19.0,5.0,99.0,3.0,4.0,2.0,0.6574143096603869,155665469.0
60.0,5.0,2.0,8.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,8.0,5.0,,,,,,,5.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,98.0,6.0,7.0,4.0,2.0,2.440151771061528,155669126.0
25.0,2.0,1.0,14.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,99.0,1.0,1.0,2.0,7.0,,1.0,,,,,,,4.0,,,2.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,5.0,6.0,2.0,2.0,2.0,2.0,1.0,11.0,6.0,6.0,5.0,4.0,2.0,1.5092011652983708,155670146.0
26.0,2.0,1.0,15.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,5.0,,,,,,,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,6.0,7.0,4.0,2.0,1.101302637679878,155670156.0
41.0,3.0,1.0,12.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,9.0,1.0,3.0,,,,,,97.0,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,6.0,6.0,7.0,4.0,2.0,1.2149571822531244,155671122.0
16.0,1.0,2.0,12.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,6.0,7.0,,,,,2.0,,,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,7.0,4.0,5.0,2.0,2.0,1.0,99.0,3.0,20.0,98.0,6.0,7.0,4.0,2.0,0.7145965231176946,155672746.0
46.0,4.0,2.0,14.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,1.0,,,,,,,3.0,4.0,6.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,2.0,1.0,3.0,2.0,6.0,6.0,7.0,4.0,2.0,1.1101974444692708,155673462.0
27.0,2.0,1.0,14.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,99.0,8.0,7.0,9.0,3.0,4.0,7.0,,,,,2.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,99.0,1.0,4.0,3.0,5.0,1.0,1.0,2.0,2.0,3.0,19.0,5.0,5.0,7.0,4.0,2.0,1.372665878596383,155674290.0
31.0,2.0,2.0,14.0,2.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,99.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,99.0,99.0,3.0,18.0,98.0,99.0,8.0,4.0,2.0,0.687723126729326,155674519.0
24.0,1.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,2.0,5.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,11.0,98.0,6.0,2.0,4.0,2.0,0.507614801046393,155675946.0
62.0,5.0,1.0,11.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,7.0,,,,,,,5.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,6.0,1.0,4.0,1.0,0.16599444945675704,155689105.0
44.0,3.0,1.0,14.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,3.0,7.0,6.0,3.0,4.0,6.0,,,,,4.0,,,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,99.0,99.0,7.0,4.0,1.0,1.9887144799377956,155689555.0
23.0,1.0,2.0,14.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,7.0,6.0,5.0,2.0,2.0,2.0,2.0,4.0,11.0,6.0,6.0,4.0,4.0,2.0,3.7062044556409846,155689616.0
31.0,2.0,2.0,16.0,2.0,4.0,1.0,1.0,1.0,99.0,1.0,99.0,1.0,99.0,2.0,7.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,4.0,6.0,4.0,2.0,1.5241439289961762,155689656.0
49.0,4.0,2.0,13.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,,5.0,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,1.0,13.0,99.0,99.0,5.0,4.0,2.0,2.711215092573167,155690288.0
25.0,2.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,5.0,2.0,4.0,6.0,7.0,,,,5.0,6.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,16.0,4.0,4.0,5.0,4.0,2.0,0.9428315319119869,155690544.0
29.0,2.0,2.0,14.0,1.0,4.0,1.0,1.0,99.0,99.0,1.0,2.0,1.0,99.0,8.0,7.0,1.0,4.0,5.0,6.0,,,,,2.0,1.0,,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,5.0,7.0,4.0,2.0,1.193754481252722,155690862.0
29.0,2.0,1.0,16.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,7.0,2.0,4.0,7.0,,,,,,,2.0,4.0,,2.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,6.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,0.4481765841288459,155691145.0
23.0,1.0,2.0,16.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,5.0,2.0,3.0,4.0,,,,,2.0,4.0,,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,6.0,7.0,2.0,1.0,1.0,2.0,2.0,2.0,12.0,98.0,5.0,4.0,4.0,1.0,1.3364913430073107,155691347.0
24.0,1.0,2.0,11.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,2.0,6.0,4.0,5.0,,,,,,4.0,2.0,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,2.0,2.0,2.0,2.0,3.0,11.0,6.0,5.0,6.0,4.0,2.0,1.0959355985583394,155692903.0
26.0,2.0,1.0,15.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,4.0,6.0,7.0,,,2.0,5.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,19.0,4.0,3.0,6.0,4.0,2.0,0.5000329237409386,155693007.0
24.0,1.0,1.0,16.0,2.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,99.0,,,99.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,2.0,2.0,2.0,2.0,1.0,99.0,1.0,1.0,8.0,4.0,1.0,0.4024627615138918,155693070.0
46.0,4.0,2.0,14.0,1.0,4.0,1.0,1.0,1.0,99.0,1.0,99.0,1.0,1.0,8.0,2.0,,6.0,7.0,,,,,,2.0,,,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,3.0,3.0,2.0,3.0,1.0,1.0,6.0,4.0,4.0,4.0,2.0,1.2076422674015839,155693196.0
55.0,5.0,2.0,14.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,7.0,2.0,,5.0,7.0,,,,,,4.0,,,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,1.1248311162606845,155693332.0
26.0,2.0,2.0,16.0,2.0,4.0,99.0,2.0,1.0,2.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,99.0,,,99.0,2.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,99.0,99.0,3.0,19.0,99.0,99.0,1.0,4.0,1.0,0.08892275450796688,155693586.0
36.0,3.0,2.0,14.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,6.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,7.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,4.0,2.0,2.2816555846156157,155694297.0
48.0,4.0,2.0,7.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,,1.0,,,,,,,2.0,6.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,4.0,2.0,1.0783480578361848,155694728.0
57.0,5.0,1.0,14.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,99.0,1.0,1.0,2.0,7.0,6.0,2.0,5.0,6.0,7.0,,,,4.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,4.0,4.0,4.0,2.0,1.0734599766771369,155695051.0
22.0,1.0,2.0,15.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,5.0,6.0,,,,,4.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,1.0,3.0,99.0,99.0,99.0,2.0,4.0,2.0,1.145369437056936,155695305.0
65.0,5.0,2.0,14.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,97.0,,,97.0,,,,,,,4.0,,,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,7.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,16.0,5.0,4.0,7.0,4.0,2.0,2.479084733738892,155695368.0
24.0,1.0,2.0,16.0,2.0,4.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,5.0,1.0,,1.0,3.0,,,,,,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,98.0,5.0,3.0,4.0,2.0,0.6176461620258906,155695529.0
22.0,1.0,2.0,11.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,8.0,4.0,2.0,5.0,7.0,,,,,,3.0,,,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,5.0,99.0,,2.0,2.0,2.0,2.0,2.0,1.0,98.0,6.0,3.0,4.0,2.0,0.5059193026659979,155695731.0
62.0,5.0,2.0,14.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,,,,,,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,15.0,6.0,5.0,4.0,4.0,2.0,0.8196478577624541,155696763.0
24.0,1.0,1.0,14.0,1.0,4.0,1.0,1.0,1.0,99.0,99.0,1.0,1.0,2.0,7.0,2.0,5.0,2.0,5.0,6.0,7.0,,,,4.0,2.0,,2.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,6.0,5.0,1.0,1.0,1.0,2.0,1.0,19.0,5.0,4.0,7.0,4.0,2.0,2.7742112891788637,155697364.0
36.0,3.0,1.0,15.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,3.0,1.0,2.0,5.0,7.0,,,,2.0,6.0,,99.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0,1.0,7.0,3.0,6.0,1.0,1.0,99.0,1.0,5.0,1.0,5.0,2.0,6.0,4.0,2.0,1.8086963292050053,155697648.0
32.0,2.0,2.0,15.0,1.0,4.0,1.0,99.0,1.0,2.0,99.0,2.0,99.0,99.0,99.0,,,99.0,,,,,,,4.0,,,1.0,1.0,99.0,2.0,3.0,99.0,99.0,1.0,1.0,99.0,,,99.0,99.0,99.0,99.0,1.0,12.0,4.0,4.0,2.0,4.0,2.0,0.6842498923410397,155697969.0
43.0,3.0,2.0,9.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,,1.0,,,,,,,99.0,,,2.0,2.0,99.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,3.0,4.0,2.0,0.6178356047799723,155698921.0
37.0,3.0,1.0,11.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,99.0,,,,,,,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,6.0,4.0,4.0,1.0,2.1106427176293265,155699037.0
26.0,2.0,1.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,2.0,4.0,6.0,,,,,6.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,18.0,4.0,4.0,8.0,4.0,2.0,0.7947940090671234,155700963.0
62.0,5.0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,2.0,99.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0,,,,,,99.0,,,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,99.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0287512353012749,155701960.0
58.0,5.0,1.0,14.0,2.0,4.0,1.0,1.0,99.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,7.0,1.0,5.0,6.0,,,,,4.0,3.0,6.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,6.0,7.0,3.0,2.0,1.0,99.0,1.0,1.0,5.0,4.0,7.0,4.0,2.0,1.1875129420845079,155701999.0
