IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE_SOCIAL,P1A,P1B,P1C,P1D,P1E,P1F,P1G,P1H,P2_1,P2_2,p2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P4_1,P4_2,p4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,RACA,RELIGIAO,RENDA1,RENDA2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND,ID
23.0,1.0,2.0,15.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,9.0,2.0,5.0,1.0,2.0,5.0,,,,,6.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,6.0,3.0,7.0,1.0,1.0,1.0,2.0,3.0,19.0,4.0,4.0,6.0,4.0,2.0,1.3049459878689842,155622717.0
41.0,3.0,2.0,14.0,2.0,4.0,99.0,99.0,99.0,99.0,2.0,2.0,99.0,2.0,99.0,,,99.0,,,,,,,99.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,2.0,1.0,1.0,1.0,1.0,13.0,99.0,99.0,6.0,4.0,2.0,0.6604309691383674,155625059.0
34.0,2.0,2.0,16.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,4.0,2.0,6.0,,,,,,4.0,,,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,5.0,7.0,4.0,2.0,0.8764279396914728,155626394.0
33.0,2.0,2.0,14.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,5.0,,,,,,4.0,,,4.0,4.0,4.0,2.0,99.0,4.0,4.0,4.0,2.0,3.0,99.0,,2.0,2.0,2.0,2.0,1.0,19.0,98.0,5.0,8.0,4.0,2.0,0.687723126729326,155626428.0
29.0,2.0,2.0,16.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,9.0,7.0,2.0,3.0,,,,,,97.0,,,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,6.0,7.0,2.0,1.0,1.0,99.0,99.0,1.0,1.0,6.0,5.0,2.0,4.0,2.0,0.6842498923410397,155626824.0
67.0,5.0,2.0,16.0,1.0,4.0,2.0,2.0,99.0,2.0,2.0,2.0,1.0,2.0,4.0,9.0,5.0,1.0,2.0,4.0,5.0,6.0,,,97.0,,,4.0,3.0,4.0,3.0,99.0,4.0,4.0,2.0,2.0,5.0,6.0,4.0,99.0,99.0,99.0,99.0,1.0,15.0,6.0,99.0,1.0,4.0,2.0,0.5496465572963846,155626898.0
25.0,2.0,2.0,14.0,1.0,4.0,1.0,1.0,1.0,1.0,99.0,99.0,1.0,99.0,1.0,5.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,2.0,4.0,6.0,2.0,2.0,3.0,2.0,4.0,99.0,99.0,1.0,2.0,6.0,7.0,5.0,1.0,1.0,1.0,1.0,4.0,19.0,6.0,3.0,4.0,4.0,2.0,0.9317782316837062,155626910.0
63.0,5.0,2.0,14.0,1.0,4.0,99.0,2.0,99.0,2.0,99.0,99.0,99.0,99.0,4.0,7.0,2.0,3.0,5.0,7.0,,,,,2.0,6.0,,99.0,2.0,3.0,3.0,99.0,99.0,99.0,3.0,3.0,3.0,99.0,,99.0,99.0,2.0,2.0,1.0,16.0,4.0,4.0,8.0,4.0,2.0,0.4687584575483842,155626912.0
29.0,2.0,2.0,13.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,99.0,1.0,8.0,2.0,6.0,1.0,4.0,5.0,,,,,2.0,1.0,,1.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,99.0,7.0,4.0,2.0,1.193754481252722,155626939.0
30.0,2.0,1.0,15.0,1.0,4.0,1.0,99.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,9.0,3.0,3.0,4.0,7.0,,,,,4.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,16.0,6.0,5.0,6.0,4.0,2.0,0.5000329237409386,155626972.0
34.0,2.0,1.0,15.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,2.0,2.0,4.0,5.0,6.0,7.0,,,4.0,,,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,99.0,2.0,2.0,1.0,2.0,1.0,19.0,5.0,4.0,3.0,4.0,2.0,0.6945486610746655,155627336.0
40.0,3.0,2.0,14.0,1.0,4.0,99.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,4.0,6.0,7.0,,,,,4.0,,,2.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,7.0,5.0,4.0,1.0,1.0,1.0,99.0,1.0,20.0,5.0,4.0,7.0,4.0,2.0,1.0087895864158616,155627357.0
54.0,4.0,1.0,13.0,1.0,4.0,99.0,99.0,2.0,2.0,99.0,99.0,99.0,2.0,4.0,,,6.0,,,,,,,4.0,,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,6.0,7.0,3.0,2.0,2.0,99.0,99.0,1.0,15.0,6.0,6.0,7.0,4.0,2.0,1.2087688712386222,155627722.0
41.0,3.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,7.0,4.0,5.0,6.0,,,,,6.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,6.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,0.7094509341590959,155627806.0
47.0,4.0,1.0,15.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,9.0,5.0,8.0,2.0,5.0,7.0,,,,,2.0,,,1.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,99.0,,,1.0,99.0,1.0,99.0,1.0,15.0,5.0,3.0,6.0,4.0,2.0,0.7718323226028829,155627957.0
