IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P4,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P6_1,P6_2,P6_3,RACA_COR,RELIGIAO,RENDA1,RENDA2,REGIAO,FATOR_POND,ID,TIPO_COLETA,AMOSTRA
67.0,5.0,2.0,15.0,1.0,4.0,3.0,2.0,3.0,,8.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,9.0,7.0,3.0,15.0,99.0,99.0,8.0,0.73,178052307.0,4.0,2.0
33.0,2.0,1.0,16.0,1.0,4.0,3.0,7.0,13.0,2.0,13.0,7.0,3.0,,,,,,,,2.0,10.0,9.0,1.0,19.0,6.0,4.0,1.0,0.5,178052749.0,4.0,1.0
34.0,2.0,1.0,14.0,1.0,4.0,4.0,3.0,5.0,11.0,10.0,12.0,6.0,,,,,,,,3.0,7.0,2.0,2.0,99.0,1.0,99.0,8.0,0.95,178053482.0,4.0,1.0
65.0,5.0,2.0,14.0,2.0,4.0,5.0,9.0,7.0,2.0,8.0,4.0,3.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,7.0,6.0,1.0,19.0,4.0,3.0,2.0,0.64,178053543.0,4.0,2.0
81.0,5.0,1.0,16.0,2.0,2.0,5.0,2.0,7.0,11.0,3.0,7.0,8.0,,,,,,,,2.0,1.0,7.0,4.0,1.0,4.0,3.0,6.0,6.15,178054288.0,4.0,2.0
41.0,3.0,1.0,16.0,1.0,4.0,5.0,2.0,7.0,3.0,12.0,1.0,3.0,,,,,,,,7.0,6.0,2.0,1.0,20.0,4.0,3.0,4.0,1.02,178054365.0,4.0,2.0
41.0,3.0,2.0,13.0,2.0,4.0,5.0,9.0,10.0,4.0,8.0,6.0,12.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,0.52,178054475.0,4.0,2.0
23.0,1.0,2.0,15.0,1.0,4.0,3.0,2.0,1.0,7.0,3.0,12.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,7.0,2.0,1.0,1.0,5.0,4.0,4.0,1.98,178054735.0,4.0,2.0
52.0,4.0,1.0,15.0,1.0,4.0,4.0,6.0,2.0,3.0,13.0,12.0,11.0,,,,,,,,5.0,6.0,9.0,3.0,11.0,4.0,3.0,2.0,0.39,178054782.0,4.0,2.0
25.0,2.0,1.0,16.0,1.0,4.0,3.0,12.0,1.0,8.0,11.0,2.0,9.0,,,,,,,,9.0,2.0,7.0,1.0,20.0,4.0,1.0,1.0,0.5,178055862.0,4.0,2.0
45.0,4.0,1.0,16.0,1.0,4.0,3.0,12.0,6.0,7.0,4.0,10.0,6.0,,,,,,,,6.0,1.0,4.0,3.0,1.0,4.0,4.0,7.0,0.91,178056437.0,4.0,2.0
32.0,2.0,2.0,16.0,1.0,4.0,5.0,7.0,9.0,1.0,13.0,12.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,2.0,5.0,3.0,8.0,99.0,99.0,8.0,0.67,178056495.0,4.0,1.0
43.0,3.0,1.0,16.0,1.0,4.0,5.0,99.0,,,99.0,,,,,,,,,,99.0,,,2.0,99.0,4.0,3.0,5.0,0.59,178056734.0,4.0,1.0
29.0,2.0,1.0,16.0,1.0,4.0,5.0,13.0,8.0,12.0,7.0,2.0,5.0,,,,,,,,9.0,2.0,3.0,3.0,19.0,4.0,2.0,8.0,0.63,178058075.0,4.0,2.0
24.0,1.0,1.0,14.0,2.0,4.0,5.0,7.0,2.0,1.0,12.0,8.0,3.0,,,,,,,,97.0,,,1.0,3.0,98.0,6.0,7.0,2.11,178058666.0,4.0,2.0
44.0,3.0,1.0,14.0,1.0,4.0,5.0,1.0,7.0,,2.0,12.0,3.0,,,,,,,,6.0,7.0,1.0,1.0,1.0,4.0,3.0,1.0,0.25,178064333.0,4.0,2.0
22.0,1.0,2.0,13.0,2.0,4.0,5.0,99.0,,,99.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,3.0,99.0,99.0,99.0,8.0,0.53,178066513.0,4.0,1.0
62.0,5.0,2.0,16.0,1.0,4.0,5.0,2.0,9.0,7.0,8.0,12.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,9.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,1.51,178066852.0,4.0,2.0
33.0,2.0,1.0,16.0,1.0,4.0,97.0,,,,,,,,,,,,,,4.0,10.0,2.0,1.0,16.0,3.0,3.0,6.0,0.98,178066855.0,4.0,2.0
22.0,1.0,2.0,16.0,2.0,4.0,5.0,7.0,11.0,9.0,8.0,5.0,12.0,3.0,2.0,2.0,97.0,1.0,2.0,2.0,10.0,6.0,1.0,1.0,13.0,98.0,4.0,4.0,1.89,178067320.0,4.0,2.0
62.0,5.0,2.0,15.0,1.0,4.0,97.0,,,,,,,1.0,99.0,99.0,97.0,97.0,2.0,99.0,6.0,2.0,5.0,4.0,11.0,5.0,4.0,6.0,1.02,178067345.0,4.0,2.0
63.0,5.0,1.0,16.0,1.0,4.0,3.0,4.0,11.0,6.0,12.0,11.0,3.0,,,,,,,,7.0,2.0,8.0,1.0,1.0,98.0,6.0,1.0,0.03,178067605.0,4.0,2.0
34.0,2.0,1.0,16.0,1.0,4.0,5.0,2.0,4.0,13.0,12.0,7.0,9.0,,,,,,,,99.0,,,1.0,1.0,5.0,4.0,1.0,0.5,178067725.0,4.0,1.0
77.0,5.0,1.0,16.0,2.0,4.0,97.0,,,,,,,,,,,,,,2.0,6.0,3.0,1.0,20.0,6.0,99.0,8.0,0.61,178068353.0,4.0,2.0
42.0,3.0,2.0,14.0,1.0,4.0,5.0,7.0,9.0,2.0,8.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,5.0,6.0,3.0,1.0,5.0,5.0,8.0,0.69,178068750.0,4.0,2.0
23.0,1.0,1.0,15.0,1.0,4.0,5.0,7.0,2.0,1.0,12.0,5.0,3.0,,,,,,,,2.0,6.0,5.0,2.0,20.0,4.0,3.0,4.0,1.92,178068902.0,4.0,2.0
61.0,5.0,1.0,14.0,1.0,3.0,4.0,2.0,3.0,13.0,12.0,7.0,8.0,,,,,,,,6.0,7.0,3.0,1.0,19.0,5.0,4.0,6.0,0.78,178069223.0,4.0,2.0
70.0,5.0,1.0,16.0,2.0,3.0,5.0,99.0,,,99.0,,,,,,,,,,7.0,10.0,4.0,1.0,1.0,3.0,3.0,4.0,1.8,178069857.0,4.0,2.0
63.0,5.0,1.0,16.0,2.0,3.0,97.0,,,,,,,,,,,,,,3.0,2.0,10.0,1.0,99.0,99.0,99.0,1.0,0.48,178072788.0,4.0,2.0
70.0,5.0,2.0,16.0,2.0,4.0,97.0,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,1.0,4.0,1.0,1.0,4.0,99.0,6.0,0.65,178072931.0,4.0,2.0
71.0,5.0,1.0,14.0,1.0,4.0,3.0,7.0,5.0,,3.0,12.0,1.0,,,,,,,,1.0,7.0,2.0,2.0,16.0,3.0,3.0,6.0,0.52,178073218.0,4.0,2.0
23.0,1.0,2.0,16.0,1.0,3.0,3.0,7.0,2.0,12.0,5.0,8.0,,4.0,2.0,2.0,2.0,1.0,2.0,2.0,7.0,2.0,3.0,1.0,19.0,6.0,4.0,2.0,1.24,178073501.0,4.0,2.0
37.0,3.0,1.0,15.0,1.0,4.0,3.0,7.0,1.0,11.0,8.0,13.0,5.0,,,,,,,,5.0,10.0,4.0,1.0,1.0,4.0,3.0,1.0,0.2,178078828.0,4.0,2.0
61.0,5.0,2.0,15.0,1.0,4.0,3.0,12.0,13.0,11.0,8.0,5.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,9.0,6.0,10.0,1.0,1.0,6.0,5.0,6.0,1.02,178080749.0,4.0,2.0
25.0,2.0,1.0,16.0,1.0,4.0,97.0,,,,,,,,,,,,,,1.0,2.0,7.0,1.0,20.0,2.0,2.0,8.0,0.63,178082452.0,4.0,2.0
59.0,4.0,2.0,13.0,2.0,5.0,1.0,7.0,8.0,11.0,99.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,20.0,98.0,4.0,5.0,0.9,178083799.0,4.0,2.0
42.0,3.0,2.0,14.0,1.0,5.0,1.0,1.0,2.0,4.0,5.0,8.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,1.0,1.0,5.0,5.0,5.0,1.05,178084328.0,4.0,2.0
23.0,1.0,2.0,12.0,2.0,6.0,1.0,2.0,4.0,1.0,8.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,3.0,1.0,1.0,98.0,6.0,5.0,0.62,178085168.0,4.0,2.0
57.0,4.0,2.0,7.0,2.0,5.0,5.0,1.0,7.0,2.0,99.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,5.0,2.0,3.0,1.0,6.0,6.0,4.0,1.38,178085391.0,4.0,1.0
37.0,3.0,2.0,14.0,1.0,4.0,3.0,1.0,4.0,2.0,8.0,5.0,13.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,7.0,8.0,3.0,16.0,3.0,3.0,5.0,1.42,178086131.0,4.0,2.0
46.0,4.0,1.0,16.0,2.0,6.0,1.0,1.0,4.0,5.0,5.0,2.0,7.0,,,,,,,,1.0,5.0,6.0,3.0,2.0,98.0,6.0,5.0,0.7,178087134.0,4.0,2.0
68.0,5.0,1.0,15.0,2.0,4.0,5.0,11.0,6.0,8.0,1.0,3.0,4.0,,,,,,,,1.0,2.0,4.0,1.0,10.0,4.0,4.0,4.0,1.2,178087171.0,4.0,1.0
35.0,3.0,2.0,14.0,1.0,4.0,3.0,7.0,2.0,10.0,5.0,3.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,5.0,1.0,19.0,5.0,4.0,3.0,0.75,178087389.0,4.0,2.0
27.0,2.0,2.0,14.0,1.0,4.0,3.0,12.0,10.0,7.0,4.0,8.0,13.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,7.0,1.0,10.0,4.0,4.0,3.0,0.4,178087391.0,4.0,2.0
70.0,5.0,1.0,16.0,1.0,3.0,5.0,2.0,9.0,3.0,12.0,6.0,10.0,,,,,,,,1.0,2.0,4.0,1.0,15.0,4.0,4.0,1.0,0.05,178088073.0,4.0,2.0
42.0,3.0,1.0,14.0,1.0,4.0,5.0,2.0,7.0,9.0,8.0,3.0,5.0,,,,,,,,6.0,1.0,7.0,1.0,1.0,4.0,4.0,3.0,0.88,178088513.0,4.0,2.0
55.0,4.0,1.0,15.0,1.0,4.0,1.0,9.0,7.0,2.0,12.0,8.0,5.0,,,,,,,,4.0,6.0,7.0,1.0,3.0,6.0,5.0,1.0,0.12,178088589.0,4.0,2.0
68.0,5.0,2.0,7.0,2.0,5.0,5.0,7.0,11.0,13.0,1.0,2.0,3.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,9.0,1.0,6.0,4.0,4.0,4.0,0.7,178088646.0,4.0,2.0
48.0,4.0,2.0,16.0,1.0,5.0,96.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,6.0,5.0,1.0,1.0,5.0,5.0,4.0,2.18,178088647.0,4.0,2.0
31.0,2.0,1.0,16.0,1.0,4.0,5.0,2.0,7.0,9.0,3.0,1.0,4.0,,,,,,,,6.0,2.0,7.0,3.0,19.0,4.0,4.0,4.0,0.48,178088648.0,4.0,2.0
38.0,3.0,1.0,14.0,1.0,4.0,5.0,2.0,3.0,6.0,1.0,5.0,8.0,,,,,,,,4.0,6.0,7.0,1.0,1.0,6.0,5.0,4.0,1.79,178088649.0,4.0,2.0
63.0,5.0,1.0,8.0,1.0,5.0,1.0,1.0,2.0,4.0,8.0,5.0,12.0,,,,,,,,99.0,,,3.0,1.0,5.0,5.0,5.0,1.06,178093635.0,4.0,2.0
38.0,3.0,1.0,13.0,1.0,4.0,3.0,7.0,1.0,2.0,8.0,12.0,3.0,,,,,,,,6.0,2.0,10.0,1.0,6.0,5.0,4.0,5.0,1.08,178093706.0,4.0,2.0
68.0,5.0,1.0,7.0,1.0,5.0,5.0,1.0,2.0,3.0,3.0,12.0,13.0,,,,,,,,99.0,,,3.0,2.0,5.0,5.0,5.0,1.06,178094161.0,4.0,2.0
58.0,4.0,2.0,14.0,1.0,4.0,97.0,,,,,,,99.0,97.0,97.0,2.0,97.0,2.0,2.0,1.0,7.0,2.0,1.0,1.0,6.0,99.0,3.0,0.58,178094905.0,4.0,2.0
54.0,4.0,1.0,8.0,1.0,5.0,1.0,1.0,2.0,3.0,5.0,8.0,9.0,,,,,,,,6.0,8.0,5.0,1.0,11.0,4.0,99.0,5.0,1.81,178095461.0,4.0,2.0
35.0,3.0,1.0,14.0,1.0,5.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,,,,,,,,3.0,4.0,2.0,1.0,1.0,99.0,99.0,5.0,0.79,178095462.0,4.0,2.0
50.0,4.0,2.0,10.0,2.0,5.0,3.0,4.0,1.0,2.0,8.0,13.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,1.0,2.0,11.0,6.0,6.0,5.0,0.86,178095463.0,4.0,1.0
53.0,4.0,1.0,8.0,1.0,5.0,3.0,1.0,2.0,3.0,8.0,5.0,7.0,,,,,,,,5.0,6.0,1.0,3.0,1.0,5.0,5.0,5.0,1.81,178095464.0,4.0,1.0
65.0,5.0,2.0,11.0,2.0,5.0,1.0,1.0,2.0,9.0,12.0,5.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,2.0,1.0,98.0,5.0,5.0,1.48,178095465.0,4.0,2.0
60.0,5.0,2.0,8.0,1.0,5.0,1.0,4.0,1.0,2.0,99.0,,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,8.0,3.0,11.0,6.0,6.0,5.0,2.61,178095466.0,4.0,2.0
60.0,5.0,2.0,9.0,2.0,6.0,3.0,1.0,2.0,7.0,99.0,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,9.0,1.0,1.0,6.0,6.0,1.0,0.45,178096033.0,4.0,1.0
24.0,1.0,2.0,16.0,1.0,4.0,5.0,99.0,,,99.0,,,99.0,97.0,97.0,97.0,97.0,97.0,97.0,99.0,,,1.0,20.0,99.0,99.0,3.0,0.82,178096456.0,4.0,1.0
46.0,4.0,2.0,11.0,1.0,5.0,1.0,3.0,4.0,2.0,99.0,,,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,7.0,2.0,19.0,6.0,6.0,5.0,1.51,178097161.0,4.0,1.0
61.0,5.0,2.0,16.0,2.0,4.0,96.0,,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,7.0,4.0,10.0,1.0,15.0,99.0,99.0,1.0,0.41,178097232.0,4.0,2.0
62.0,5.0,1.0,11.0,1.0,5.0,1.0,2.0,1.0,7.0,12.0,8.0,5.0,,,,,,,,3.0,10.0,9.0,3.0,1.0,5.0,5.0,5.0,1.06,178097640.0,4.0,2.0
64.0,5.0,1.0,6.0,1.0,5.0,99.0,,,,,,,,,,,,,,3.0,5.0,10.0,2.0,15.0,5.0,5.0,5.0,1.06,178097937.0,4.0,1.0
40.0,3.0,2.0,8.0,1.0,5.0,1.0,12.0,2.0,7.0,99.0,,,99.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,178098198.0,4.0,2.0
19.0,1.0,2.0,14.0,2.0,4.0,5.0,7.0,2.0,12.0,99.0,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,3.0,2.0,99.0,99.0,5.0,0.75,178100985.0,4.0,1.0
20.0,1.0,1.0,13.0,1.0,3.0,3.0,11.0,7.0,3.0,13.0,3.0,8.0,,,,,,,,2.0,5.0,7.0,1.0,20.0,6.0,4.0,1.0,0.87,178101473.0,4.0,2.0
26.0,2.0,1.0,16.0,1.0,4.0,3.0,7.0,1.0,2.0,12.0,8.0,5.0,,,,,,,,6.0,2.0,3.0,3.0,12.0,3.0,2.0,6.0,0.98,178108814.0,4.0,2.0
26.0,2.0,2.0,9.0,1.0,4.0,5.0,2.0,3.0,10.0,12.0,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,9.0,10.0,2.0,19.0,5.0,4.0,6.0,2.72,178111166.0,4.0,2.0
43.0,3.0,1.0,14.0,1.0,4.0,97.0,,,,,,,,,,,,,,99.0,,,1.0,1.0,99.0,99.0,7.0,0.86,178111612.0,4.0,2.0
47.0,4.0,1.0,16.0,1.0,4.0,5.0,2.0,4.0,3.0,8.0,5.0,11.0,,,,,,,,6.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,0.39,178113928.0,4.0,1.0
56.0,4.0,1.0,11.0,1.0,5.0,4.0,7.0,12.0,8.0,8.0,12.0,5.0,,,,,,,,2.0,6.0,4.0,3.0,1.0,4.0,4.0,2.0,0.45,178113929.0,4.0,1.0
30.0,2.0,1.0,14.0,1.0,4.0,3.0,99.0,,,12.0,2.0,8.0,,,,,,,,6.0,7.0,5.0,1.0,20.0,5.0,5.0,6.0,0.66,178115085.0,4.0,2.0
60.0,5.0,1.0,16.0,2.0,3.0,3.0,12.0,6.0,7.0,8.0,13.0,4.0,,,,,,,,6.0,7.0,10.0,1.0,13.0,4.0,3.0,2.0,0.69,178115155.0,4.0,2.0
37.0,3.0,2.0,14.0,2.0,5.0,3.0,1.0,2.0,7.0,99.0,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,7.0,3.0,2.0,5.0,5.0,2.0,0.38,178115214.0,4.0,2.0
45.0,4.0,2.0,16.0,2.0,4.0,5.0,2.0,11.0,12.0,3.0,1.0,13.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,6.0,7.0,3.0,2.0,5.0,4.0,2.0,1.29,178115363.0,4.0,2.0
23.0,1.0,2.0,15.0,1.0,4.0,3.0,2.0,1.0,7.0,5.0,,,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,8.0,3.0,1.0,1.0,5.0,4.0,4.0,1.98,178115629.0,4.0,2.0
47.0,4.0,2.0,8.0,1.0,5.0,1.0,3.0,1.0,2.0,5.0,12.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,8.0,3.0,19.0,98.0,6.0,5.0,1.51,178115635.0,4.0,2.0
45.0,4.0,1.0,16.0,1.0,4.0,3.0,8.0,12.0,9.0,3.0,8.0,13.0,,,,,,,,4.0,10.0,1.0,4.0,1.0,99.0,99.0,6.0,0.88,178115835.0,4.0,1.0
25.0,2.0,2.0,14.0,1.0,5.0,96.0,,,,,,,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,6.0,1.0,1.0,6.0,5.0,2.0,0.17,178116178.0,4.0,1.0
27.0,2.0,1.0,12.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,5.0,8.0,,,,,,,,2.0,5.0,7.0,2.0,1.0,4.0,4.0,2.0,1.61,178116736.0,4.0,2.0
65.0,5.0,2.0,16.0,2.0,2.0,3.0,11.0,7.0,13.0,8.0,,,4.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.0,6.0,1.0,1.0,99.0,99.0,1.0,0.61,178117203.0,4.0,1.0
34.0,2.0,2.0,14.0,2.0,5.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,97.0,97.0,97.0,97.0,97.0,97.0,3.0,5.0,6.0,1.0,2.0,6.0,6.0,2.0,0.25,178117837.0,4.0,2.0
53.0,4.0,1.0,11.0,1.0,5.0,1.0,1.0,3.0,2.0,12.0,8.0,5.0,,,,,,,,5.0,6.0,7.0,2.0,1.0,5.0,5.0,5.0,1.81,178117911.0,4.0,2.0
38.0,3.0,1.0,16.0,1.0,4.0,97.0,,,,,,,,,,,,,,7.0,1.0,3.0,3.0,20.0,99.0,99.0,7.0,1.14,178118602.0,4.0,2.0
42.0,3.0,1.0,14.0,1.0,4.0,3.0,2.0,4.0,6.0,8.0,12.0,13.0,,,,,,,,2.0,3.0,5.0,2.0,10.0,6.0,2.0,6.0,0.29,178118997.0,4.0,1.0
44.0,3.0,2.0,14.0,1.0,5.0,3.0,4.0,7.0,9.0,12.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,3.0,2.0,98.0,4.0,6.0,1.83,178118998.0,4.0,1.0
47.0,4.0,2.0,13.0,2.0,5.0,5.0,6.0,7.0,5.0,12.0,9.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,6.0,3.0,10.0,6.0,5.0,6.0,0.81,178118999.0,4.0,1.0
59.0,4.0,2.0,14.0,2.0,5.0,5.0,2.0,1.0,3.0,5.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,,1.0,7.0,98.0,5.0,2.0,0.46,178119057.0,4.0,1.0
18.0,1.0,2.0,14.0,1.0,4.0,5.0,1.0,2.0,5.0,8.0,12.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,10.0,1.0,10.0,6.0,4.0,2.0,0.4,178119058.0,4.0,2.0
23.0,1.0,2.0,14.0,1.0,4.0,5.0,12.0,9.0,7.0,8.0,12.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,2.0,1.0,2.0,6.0,5.0,2.0,0.4,178119059.0,4.0,2.0
44.0,3.0,2.0,14.0,2.0,5.0,3.0,2.0,1.0,10.0,5.0,,,3.0,2.0,2.0,97.0,2.0,2.0,2.0,1.0,5.0,7.0,2.0,1.0,6.0,6.0,2.0,0.38,178119292.0,4.0,2.0
38.0,3.0,1.0,14.0,1.0,4.0,96.0,,,,,,,,,,,,,,10.0,8.0,5.0,3.0,1.0,6.0,6.0,2.0,1.23,178119893.0,4.0,2.0
22.0,1.0,1.0,15.0,2.0,2.0,5.0,7.0,3.0,13.0,8.0,12.0,11.0,,,,,,,,2.0,4.0,9.0,1.0,15.0,5.0,5.0,2.0,1.18,178120939.0,4.0,2.0
38.0,3.0,1.0,14.0,1.0,5.0,3.0,1.0,2.0,4.0,5.0,12.0,7.0,,,,,,,,5.0,7.0,8.0,3.0,1.0,5.0,5.0,5.0,0.79,178123219.0,4.0,2.0
51.0,4.0,1.0,11.0,1.0,5.0,5.0,3.0,1.0,7.0,2.0,8.0,9.0,,,,,,,,1.0,3.0,5.0,1.0,1.0,5.0,5.0,2.0,0.45,178123359.0,4.0,1.0
26.0,2.0,2.0,11.0,2.0,5.0,3.0,1.0,2.0,7.0,1.0,5.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,9.0,1.0,99.0,98.0,99.0,2.0,0.67,178123423.0,4.0,1.0
60.0,5.0,1.0,11.0,2.0,6.0,5.0,9.0,12.0,1.0,8.0,1.0,11.0,,,,,,,,5.0,6.0,2.0,2.0,1.0,6.0,6.0,2.0,0.6,178124508.0,4.0,2.0
49.0,4.0,1.0,15.0,1.0,4.0,3.0,7.0,9.0,2.0,8.0,12.0,5.0,,,,,,,,1.0,2.0,5.0,1.0,1.0,4.0,4.0,4.0,0.71,178125101.0,4.0,2.0
25.0,2.0,1.0,11.0,1.0,4.0,5.0,1.0,7.0,3.0,5.0,8.0,12.0,,,,,,,,2.0,5.0,6.0,3.0,2.0,5.0,4.0,6.0,0.46,178125529.0,4.0,2.0
64.0,5.0,1.0,7.0,2.0,5.0,3.0,2.0,7.0,4.0,12.0,5.0,3.0,,,,,,,,5.0,6.0,8.0,5.0,1.0,5.0,5.0,5.0,1.16,178125742.0,4.0,2.0
39.0,3.0,1.0,11.0,2.0,6.0,3.0,1.0,3.0,7.0,8.0,10.0,13.0,,,,,,,,6.0,8.0,1.0,1.0,19.0,4.0,4.0,6.0,0.9,178126894.0,4.0,2.0
60.0,5.0,1.0,11.0,2.0,5.0,3.0,7.0,6.0,4.0,1.0,3.0,13.0,,,,,,,,5.0,7.0,10.0,2.0,1.0,5.0,4.0,2.0,0.53,178127447.0,4.0,1.0
62.0,5.0,1.0,8.0,2.0,6.0,97.0,,,,,,,,,,,,,,1.0,5.0,7.0,3.0,20.0,5.0,5.0,2.0,0.6,178127448.0,4.0,1.0
24.0,1.0,1.0,11.0,1.0,6.0,3.0,2.0,6.0,7.0,8.0,12.0,13.0,,,,,,,,2.0,7.0,8.0,2.0,1.0,6.0,5.0,2.0,1.19,178127449.0,4.0,1.0
41.0,3.0,1.0,11.0,2.0,6.0,4.0,4.0,10.0,12.0,1.0,5.0,13.0,,,,,,,,1.0,5.0,7.0,3.0,2.0,6.0,5.0,2.0,0.36,178127450.0,4.0,1.0
50.0,4.0,2.0,7.0,2.0,5.0,3.0,4.0,6.0,5.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,98.0,6.0,6.0,0.75,178127977.0,4.0,2.0
64.0,5.0,1.0,7.0,2.0,6.0,5.0,2.0,1.0,7.0,12.0,9.0,5.0,,,,,,,,3.0,4.0,2.0,2.0,11.0,6.0,6.0,2.0,0.6,178128174.0,4.0,1.0
45.0,4.0,2.0,10.0,2.0,5.0,1.0,1.0,4.0,2.0,12.0,8.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,0.86,178128336.0,4.0,2.0
61.0,5.0,2.0,10.0,2.0,5.0,1.0,1.0,4.0,2.0,12.0,8.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,1.48,178128341.0,4.0,2.0
21.0,1.0,1.0,11.0,1.0,5.0,5.0,1.0,9.0,10.0,5.0,6.0,7.0,,,,,,,,6.0,3.0,9.0,1.0,1.0,5.0,4.0,2.0,1.06,178128661.0,4.0,2.0
61.0,5.0,1.0,8.0,2.0,4.0,5.0,3.0,4.0,1.0,8.0,,,,,,,,,,1.0,5.0,8.0,3.0,1.0,5.0,4.0,2.0,0.72,178128662.0,4.0,2.0
45.0,4.0,1.0,11.0,2.0,6.0,5.0,1.0,2.0,7.0,5.0,4.0,6.0,,,,,,,,4.0,6.0,2.0,1.0,99.0,6.0,5.0,2.0,0.44,178128663.0,4.0,2.0
68.0,5.0,2.0,7.0,2.0,6.0,97.0,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,6.0,6.0,2.0,1.43,178128664.0,4.0,1.0
62.0,5.0,2.0,16.0,1.0,3.0,3.0,12.0,7.0,13.0,8.0,13.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,4.0,1.0,19.0,4.0,4.0,8.0,1.1,178129011.0,4.0,2.0
21.0,1.0,2.0,11.0,2.0,6.0,3.0,1.0,2.0,6.0,5.0,9.0,12.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,7.0,8.0,3.0,19.0,6.0,6.0,6.0,0.34,178129104.0,4.0,2.0
49.0,4.0,2.0,11.0,1.0,4.0,1.0,2.0,4.0,7.0,99.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,3.0,13.0,6.0,5.0,5.0,2.06,178129841.0,4.0,2.0
