IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P4F,P4G,P4H,P5_1,P5_2,P5_3,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P6_11,P6_12,P6_13,P6_98,P7,P8_1,P8_2,P8_3,P_ORIENT,P_IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND
42.0,2.0,10.0,2.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,2.0,20.0,6.0,6.0,7.0,4.0,1.0,1.0916545997961615
45.0,1.0,3.0,1.0,5.0,99.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,8.0,9.0,1.0,4.0,7.0,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,2.0,20.0,6.0,6.0,5.0,4.0,1.0,0.7876312221474708
45.0,2.0,11.0,2.0,5.0,9.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,9.0,6.0,7.0,2.0,5.0,10.0,96.0,,,,,,,,,,,3.0,4.0,6.0,2.0,1.0,1.0,2.0,20.0,98.0,6.0,2.0,4.0,1.0,0.3651448229572713
31.0,1.0,16.0,1.0,4.0,7.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,9.0,11.0,6.0,1.0,2.0,3.0,5.0,10.0,11.0,,,,,,,,,3.0,1.0,3.0,2.0,2.0,2.0,1.0,20.0,99.0,5.0,1.0,4.0,2.0,0.4381159899515668
56.0,1.0,11.0,1.0,5.0,7.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,7.0,2.0,10.0,1.0,2.0,4.0,5.0,10.0,11.0,,,,,,,,,3.0,6.0,2.0,5.0,2.0,2.0,1.0,20.0,6.0,6.0,2.0,4.0,1.0,0.6999818045057722
27.0,1.0,16.0,1.0,2.0,7.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,6.0,97.0,,,,,,,,,,,,,,3.0,97.0,,,1.0,2.0,1.0,20.0,3.0,3.0,6.0,4.0,2.0,0.8567807037176491
39.0,1.0,14.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,11.0,8.0,2.0,1.0,2.0,3.0,7.0,11.0,,,,,,,,,,3.0,1.0,2.0,4.0,1.0,2.0,1.0,20.0,4.0,2.0,6.0,4.0,2.0,2.1667566486365595
41.0,1.0,14.0,1.0,5.0,5.0,99.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,1.0,20.0,6.0,6.0,2.0,4.0,2.0,0.5880310038190665
42.0,2.0,16.0,1.0,4.0,7.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,99.0,,,,,,,,,,,,,,99.0,3.0,1.0,,1.0,1.0,1.0,20.0,5.0,5.0,1.0,4.0,2.0,0.22581175556024197
68.0,1.0,16.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,99.0,6.0,2.0,3.0,1.0,9.0,10.0,,,,,,,,,,,,3.0,2.0,1.0,6.0,1.0,2.0,1.0,20.0,3.0,3.0,7.0,4.0,2.0,1.2091122562210765
55.0,2.0,15.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,6.0,2.0,1.0,2.0,3.0,4.0,8.0,9.0,10.0,,,,,,,,1.0,4.0,1.0,2.0,1.0,1.0,1.0,20.0,6.0,6.0,5.0,4.0,2.0,1.3935525747359856
31.0,1.0,16.0,1.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,3.0,6.0,1.0,4.0,1.0,2.0,1.0,20.0,4.0,4.0,6.0,4.0,2.0,0.8932191292350172
65.0,1.0,15.0,1.0,3.0,8.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,11.0,1.0,5.0,5.0,7.0,,,,,,,,,,,,,99.0,5.0,1.0,2.0,1.0,2.0,1.0,20.0,4.0,4.0,8.0,4.0,2.0,0.8609419020027168
36.0,1.0,16.0,1.0,2.0,6.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,3.0,2.0,1.0,5.0,1.0,2.0,1.0,20.0,4.0,4.0,1.0,4.0,2.0,0.15763563951035328
