IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4_1,P4_2,P4_3,P5,P6A,P6B,P6C,P6D,P6E,P6F,P6G,P7_1,P7_2,P7_3,P8A,P8B,P8C,P8D,P8E,P8F,P8G,P9_1,P9_2,P9_3,P10,P11A,P11B,P11C,P11D,P11E,RAÇA_COR,RELIGIAO,REND1,REND2,TIPO_COLETA,AMOSTRA,REGIAO,FATOR_POND,ID
46.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,1.125312923482465,150232786.0
34.0,1.0,15.0,1.0,4.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,7.0,1.0,6.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,2.0,3.0,0.953781266702386,150233941.0
71.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,9.0,5.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,99.0,99.0,4.0,2.0,2.0,0.5830546249120124,150234371.0
39.0,2.0,16.0,2.0,4.0,2.0,1.0,1.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,8.0,7.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,15.0,4.0,4.0,4.0,2.0,4.0,1.011821227257599,150234903.0
60.0,1.0,15.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,7.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,18.0,2.0,2.0,4.0,2.0,8.0,1.0030687900697501,150235158.0
66.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,8.0,0.9492194674063523,150235272.0
59.0,1.0,15.0,2.0,3.0,2.0,1.0,1.0,7.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,98.0,99.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,4.0,2.0,6.0,1.2726284003768837,150236423.0
40.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,1.0,9.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,16.0,6.0,5.0,4.0,2.0,3.0,0.5747505582050653,150238914.0
68.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,8.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,8.0,1.0030687900697501,150377551.0
48.0,1.0,16.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,1.6357868926939643,150378645.0
30.0,1.0,15.0,2.0,4.0,2.0,1.0,2.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,19.0,98.0,6.0,4.0,2.0,4.0,2.1247235228091785,150379140.0
27.0,2.0,15.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,5.0,1.0,1.0,99.0,4.0,2.0,1.0,3.0,1.0,99.0,99.0,4.0,2.0,2.0,0.5998939517896767,150379191.0
65.0,1.0,16.0,1.0,3.0,2.0,1.0,2.0,5.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,2.0,98.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,2.0,8.0,0.8609419020027168,150379247.0
63.0,1.0,16.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,7.0,5.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,15.0,99.0,99.0,4.0,2.0,3.0,0.303432146628623,150379302.0
22.0,2.0,11.0,2.0,5.0,3.0,98.0,98.0,99.0,,,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,98.0,99.0,99.0,99.0,99.0,99.0,1.0,99.0,5.0,99.0,4.0,2.0,3.0,0.4267315581777851,150379629.0
64.0,2.0,14.0,1.0,3.0,2.0,1.0,2.0,5.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,99.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,15.0,5.0,5.0,4.0,2.0,3.0,0.8828374382401056,150379807.0
50.0,1.0,14.0,1.0,3.0,2.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,12.0,99.0,4.0,4.0,2.0,7.0,1.1287953202922736,150380660.0
65.0,2.0,16.0,2.0,3.0,2.0,1.0,2.0,6.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,98.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,7.0,1.5946045080964444,150381470.0
25.0,1.0,14.0,1.0,5.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,15.0,6.0,6.0,4.0,2.0,5.0,1.3877373124971448,150382305.0
20.0,2.0,15.0,1.0,5.0,1.0,1.0,1.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,98.0,6.0,4.0,2.0,5.0,0.9130969205942387,150382403.0
25.0,2.0,14.0,1.0,4.0,1.0,1.0,2.0,1.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,18.0,98.0,5.0,4.0,2.0,4.0,1.1006113741505328,150383507.0
51.0,2.0,15.0,1.0,3.0,2.0,1.0,98.0,6.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,6.0,5.0,4.0,2.0,7.0,1.5150900366002078,150384928.0
67.0,2.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,2.0,2.0,4.0,2.0,8.0,0.9492194674063523,150385485.0
28.0,1.0,14.0,1.0,4.0,2.0,1.0,2.0,7.0,6.0,1.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,2.0,99.0,99.0,99.0,99.0,99.0,1.0,18.0,99.0,99.0,4.0,2.0,5.0,1.583472564745674,150392325.0
36.0,1.0,14.0,1.0,4.0,1.0,1.0,1.0,4.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,98.0,99.0,2.0,2.0,1.0,1.0,1.0,19.0,4.0,4.0,4.0,2.0,7.0,2.0207297039675725,150394550.0
35.0,2.0,16.0,1.0,4.0,2.0,2.0,2.0,9.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,7.0,1.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,14.0,4.0,4.0,4.0,2.0,2.0,0.6545222684376989,150395470.0
38.0,2.0,14.0,1.0,4.0,2.0,1.0,1.0,4.0,8.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,6.0,0.8369043567611535,150395708.0
63.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,7.0,98.0,2.0,1.0,4.0,1.0,1.0,1.0,14.0,99.0,99.0,4.0,2.0,8.0,1.0030687900697501,150396138.0
46.0,2.0,16.0,1.0,2.0,1.0,1.0,1.0,5.0,9.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,98.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,4.0,2.0,7.0,1.5150900366002078,150396266.0
55.0,1.0,14.0,1.0,3.0,2.0,1.0,1.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,99.0,6.0,4.0,5.0,98.0,99.0,2.0,2.0,1.0,1.0,3.0,1.0,99.0,99.0,4.0,2.0,2.0,0.3131105732833272,150396827.0
66.0,2.0,14.0,2.0,5.0,1.0,1.0,1.0,9.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,19.0,5.0,5.0,4.0,2.0,3.0,0.7772961480915227,150397388.0
54.0,1.0,14.0,2.0,3.0,1.0,1.0,1.0,1.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,7.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,15.0,99.0,99.0,4.0,2.0,4.0,0.5669829180555003,150401113.0
41.0,1.0,14.0,1.0,5.0,3.0,98.0,3.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,20.0,6.0,6.0,4.0,2.0,2.0,0.5880310038190665,150401995.0
55.0,1.0,16.0,2.0,1.0,2.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,7.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,3.0,0.3391018220538222,150403087.0
60.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,6.0,7.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,8.0,1.0030687900697501,150403480.0
33.0,1.0,16.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,0.9148722392206764,150403817.0
47.0,2.0,14.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,7.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,4.0,1.073791948783699,150408231.0
57.0,1.0,15.0,2.0,4.0,2.0,1.0,2.0,1.0,9.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,4.0,1.0,98.0,99.0,3.0,2.0,1.0,2.0,1.0,1.0,99.0,99.0,4.0,2.0,8.0,0.822275183102014,150408272.0
43.0,2.0,16.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,19.0,3.0,1.0,4.0,2.0,1.0,0.16871126718579535,150409186.0
39.0,2.0,14.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,20.0,5.0,5.0,4.0,2.0,4.0,1.4111785233450416,150411772.0
37.0,2.0,16.0,1.0,5.0,1.0,1.0,1.0,1.0,7.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,19.0,5.0,5.0,4.0,2.0,7.0,0.8010586433013691,150412585.0
33.0,2.0,15.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,2.0,99.0,99.0,99.0,99.0,99.0,1.0,15.0,5.0,5.0,4.0,2.0,2.0,0.6845067909188847,150418058.0
21.0,2.0,15.0,2.0,2.0,3.0,1.0,2.0,5.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,7.0,4.0,2.0,3.0,99.0,2.0,1.0,1.0,1.0,1.0,98.0,4.0,4.0,2.0,6.0,1.1727993346375738,150418069.0
49.0,2.0,14.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,4.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,19.0,6.0,4.0,4.0,2.0,1.0,0.44334688620808604,150418084.0
26.0,1.0,14.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,19.0,6.0,6.0,4.0,2.0,8.0,0.39096329758585824,150418167.0
53.0,2.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,4.0,4.0,2.0,8.0,0.7181844208388178,150418170.0
29.0,2.0,14.0,1.0,4.0,3.0,1.0,2.0,7.0,5.0,6.0,3.0,99.0,99.0,99.0,99.0,1.0,99.0,99.0,6.0,2.0,,1.0,3.0,1.0,3.0,1.0,1.0,3.0,8.0,1.0,,2.0,3.0,3.0,1.0,1.0,1.0,3.0,11.0,6.0,6.0,4.0,2.0,7.0,1.0660763667801703,150418201.0
53.0,2.0,14.0,2.0,2.0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,8.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,2.0,4.0,0.745650107409605,150418208.0
40.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,4.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,0.6545222684376989,150418239.0
21.0,2.0,15.0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,4.0,4.0,4.0,4.0,1.0,18.0,99.0,99.0,4.0,2.0,8.0,0.5979773093827703,150418260.0
33.0,2.0,15.0,2.0,4.0,2.0,1.0,3.0,9.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,15.0,5.0,4.0,4.0,2.0,6.0,1.5941956247472409,150418262.0
26.0,1.0,14.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,6.0,4.0,2.0,8.0,0.39096329758585824,150418273.0
39.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,15.0,3.0,2.0,4.0,2.0,1.0,0.18365860672793982,150418295.0
22.0,2.0,15.0,1.0,3.0,2.0,1.0,1.0,5.0,6.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,98.0,2.0,2.0,2.0,2.0,2.0,3.0,19.0,6.0,5.0,4.0,2.0,7.0,1.237158830311169,150418307.0
33.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,98.0,2.0,2.0,2.0,2.0,2.0,3.0,19.0,4.0,4.0,4.0,2.0,1.0,0.48961829560308107,150418377.0
52.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,7.0,1.3945677976761648,150418383.0
55.0,2.0,14.0,2.0,3.0,2.0,1.0,1.0,6.0,9.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,99.0,4.0,2.0,7.0,1.7867556171196026,150418402.0
28.0,2.0,14.0,2.0,2.0,1.0,1.0,1.0,6.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,7.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,98.0,4.0,4.0,2.0,5.0,1.3754981881843855,150418406.0
42.0,2.0,16.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,5.0,5.0,4.0,2.0,1.0,0.22581175556024197,150418417.0
32.0,1.0,16.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,19.0,3.0,3.0,4.0,2.0,6.0,0.8567807037176491,150418443.0
67.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,99.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,6.0,2.0,99.0,2.0,99.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,8.0,0.9492194674063523,150418465.0
36.0,2.0,16.0,1.0,3.0,1.0,1.0,1.0,4.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,8.0,0.8931603033258801,150418469.0
46.0,1.0,15.0,1.0,4.0,2.0,1.0,1.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0,2.0,1.0964138192993704,150418617.0
50.0,1.0,15.0,2.0,3.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,7.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,10.0,99.0,99.0,4.0,2.0,6.0,0.9497681118792385,150418693.0
43.0,2.0,15.0,1.0,5.0,2.0,1.0,1.0,9.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,19.0,5.0,5.0,4.0,2.0,5.0,0.8647612822809605,150419004.0
34.0,2.0,16.0,2.0,6.0,2.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,18.0,98.0,5.0,4.0,2.0,4.0,0.8027233522802651,150419039.0
38.0,1.0,15.0,1.0,5.0,1.0,1.0,1.0,6.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,98.0,1.0,4.0,2.0,5.0,2.2453585653782504,150419057.0
27.0,2.0,14.0,2.0,4.0,2.0,1.0,2.0,9.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,6.0,5.0,4.0,2.0,8.0,0.7043037983362149,150419092.0
30.0,2.0,15.0,1.0,5.0,1.0,1.0,1.0,8.0,9.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,4.0,2.0,8.0,0.554048042159514,150419127.0
21.0,1.0,14.0,2.0,2.0,3.0,98.0,2.0,1.0,5.0,6.0,1.0,1.0,99.0,99.0,99.0,99.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,98.0,,,2.0,99.0,1.0,99.0,1.0,99.0,1.0,99.0,98.0,4.0,4.0,2.0,7.0,1.6098044224624561,150419248.0
68.0,1.0,16.0,1.0,3.0,2.0,1.0,1.0,4.0,5.0,9.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,7.0,8.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,6.0,0.6753111534606094,150420017.0
