IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P3,P4,P5_1,P5_2,P5_3,P_PCD_1,P_PCD_2,P_PCD_3,ORIENT,IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,AMOSTRA,FATOR_POND,ID,TIPO_COLETA
25.0,2.0,2.0,14.0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,1.0,,,1.0,1.0,1.0,19.0,98.0,6.0,8.0,3.0,0.7066019600384399,161171715.0,4.0
32.0,2.0,2.0,16.0,1.0,4.0,3.0,3.0,7.0,1.0,10.0,2.0,,,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,0.22879953264065156,161172696.0,4.0
57.0,4.0,1.0,14.0,2.0,4.0,5.0,,99.0,,,4.0,,,1.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,0.6705372168743089,161172838.0,4.0
58.0,4.0,2.0,16.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,4.0,,,1.0,1.0,1.0,15.0,98.0,3.0,4.0,3.0,1.1668122931181584,161177751.0,4.0
58.0,4.0,1.0,15.0,2.0,4.0,3.0,,6.0,5.0,7.0,4.0,,,1.0,2.0,1.0,1.0,99.0,99.0,8.0,3.0,0.3232221238273019,161182822.0,4.0
35.0,3.0,2.0,16.0,1.0,4.0,5.0,3.0,7.0,10.0,2.0,4.0,,,1.0,1.0,1.0,18.0,5.0,5.0,3.0,3.0,0.6065758638380376,161190283.0,4.0
46.0,4.0,2.0,16.0,1.0,4.0,5.0,1.0,6.0,7.0,2.0,4.0,,,1.0,1.0,1.0,16.0,4.0,4.0,4.0,3.0,0.983040543153189,161193279.0,4.0
42.0,3.0,2.0,14.0,2.0,4.0,1.0,1.0,6.0,5.0,1.0,4.0,,,1.0,1.0,1.0,11.0,99.0,2.0,8.0,3.0,0.7247465175984042,161193456.0,4.0
32.0,2.0,2.0,16.0,1.0,4.0,97.0,4.0,97.0,,,4.0,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.22879953264065156,161196495.0,4.0
56.0,4.0,2.0,12.0,1.0,4.0,3.0,1.0,6.0,7.0,10.0,2.0,,,1.0,1.0,3.0,15.0,5.0,4.0,7.0,3.0,1.7764779958299663,161199358.0,4.0
40.0,3.0,1.0,15.0,1.0,4.0,5.0,,6.0,9.0,3.0,4.0,,,1.0,2.0,1.0,10.0,4.0,99.0,4.0,3.0,1.2926205172055545,161201148.0,4.0
43.0,3.0,1.0,14.0,1.0,4.0,96.0,,6.0,10.0,2.0,4.0,,,2.0,2.0,1.0,19.0,4.0,3.0,1.0,3.0,0.3308853395324916,161201796.0,4.0
51.0,4.0,2.0,14.0,2.0,4.0,5.0,1.0,8.0,10.0,7.0,4.0,,,1.0,1.0,3.0,1.0,5.0,5.0,3.0,3.0,0.7003644038994481,161203219.0,4.0
36.0,3.0,1.0,16.0,1.0,4.0,3.0,,3.0,4.0,1.0,4.0,,,1.0,2.0,3.0,1.0,5.0,4.0,7.0,3.0,1.718767288536458,161217036.0,4.0
35.0,3.0,2.0,14.0,1.0,4.0,3.0,1.0,6.0,9.0,7.0,4.0,,,1.0,1.0,3.0,1.0,99.0,99.0,3.0,3.0,0.4474310151726325,161219875.0,4.0
28.0,2.0,1.0,16.0,1.0,4.0,97.0,,2.0,9.0,8.0,4.0,,,1.0,2.0,4.0,20.0,3.0,3.0,1.0,3.0,0.1766731311241027,161231383.0,4.0
24.0,1.0,2.0,15.0,1.0,4.0,3.0,4.0,5.0,6.0,9.0,4.0,,,1.0,1.0,4.0,19.0,5.0,5.0,3.0,3.0,0.8533192506333327,161232916.0,4.0
36.0,3.0,1.0,16.0,1.0,4.0,5.0,,7.0,3.0,9.0,4.0,,,1.0,2.0,2.0,19.0,4.0,4.0,2.0,3.0,0.36407454490996727,161235923.0,4.0
54.0,4.0,1.0,16.0,2.0,4.0,3.0,,6.0,1.0,3.0,4.0,,,1.0,2.0,3.0,4.0,5.0,3.0,7.0,3.0,0.7611367575781881,161237783.0,4.0
45.0,4.0,1.0,14.0,2.0,4.0,97.0,,6.0,10.0,8.0,4.0,,,1.0,2.0,3.0,19.0,4.0,4.0,7.0,3.0,0.7644392278633839,161241125.0,4.0
39.0,3.0,1.0,16.0,1.0,4.0,5.0,,10.0,7.0,9.0,4.0,,,1.0,2.0,1.0,1.0,4.0,3.0,8.0,3.0,0.40354845797627786,161243288.0,4.0
38.0,3.0,1.0,15.0,1.0,4.0,5.0,,7.0,2.0,6.0,3.0,,,1.0,2.0,3.0,99.0,4.0,4.0,4.0,3.0,1.2926205172055545,161254462.0,4.0
28.0,2.0,2.0,16.0,1.0,4.0,3.0,1.0,6.0,9.0,7.0,4.0,,,1.0,1.0,3.0,19.0,4.0,4.0,8.0,3.0,0.6323587564721384,161257209.0,4.0
22.0,1.0,1.0,16.0,1.0,4.0,2.0,,6.0,10.0,3.0,1.0,,,1.0,2.0,1.0,2.0,6.0,6.0,4.0,3.0,2.2158920485074427,161258702.0,4.0
44.0,3.0,1.0,16.0,1.0,4.0,5.0,,2.0,8.0,10.0,4.0,,,3.0,2.0,2.0,1.0,6.0,6.0,4.0,3.0,1.2926205172055545,161259620.0,4.0
48.0,4.0,2.0,14.0,1.0,4.0,3.0,4.0,2.0,7.0,10.0,4.0,,,1.0,1.0,1.0,6.0,5.0,5.0,6.0,3.0,0.8303641926054529,161260394.0,4.0
55.0,4.0,1.0,14.0,2.0,4.0,5.0,,4.0,7.0,1.0,2.0,,,1.0,2.0,1.0,1.0,99.0,5.0,8.0,3.0,0.33990552331470236,161262279.0,4.0
47.0,4.0,1.0,15.0,1.0,4.0,97.0,,10.0,3.0,6.0,1.0,,,3.0,2.0,1.0,19.0,99.0,99.0,4.0,3.0,0.826586997030591,161263654.0,4.0
29.0,2.0,2.0,14.0,1.0,4.0,5.0,3.0,1.0,6.0,2.0,4.0,,,3.0,1.0,3.0,1.0,6.0,6.0,2.0,3.0,0.4490926579667882,161264043.0,4.0
42.0,3.0,2.0,14.0,2.0,4.0,3.0,4.0,6.0,5.0,2.0,4.0,,,1.0,1.0,1.0,19.0,98.0,5.0,2.0,3.0,0.53242874998406,161264897.0,4.0
37.0,3.0,2.0,16.0,2.0,4.0,3.0,1.0,7.0,5.0,2.0,3.0,,,1.0,1.0,1.0,1.0,98.0,4.0,3.0,3.0,0.7481286340501357,161266263.0,4.0
19.0,1.0,1.0,16.0,2.0,4.0,97.0,,97.0,,,4.0,,,1.0,2.0,3.0,99.0,6.0,6.0,4.0,3.0,0.5392642668127599,161267897.0,4.0
56.0,4.0,2.0,16.0,1.0,4.0,3.0,1.0,6.0,9.0,8.0,2.0,,,1.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,0.7698248976734333,161268740.0,4.0
38.0,3.0,1.0,16.0,1.0,4.0,1.0,,7.0,2.0,9.0,4.0,,,1.0,2.0,1.0,1.0,99.0,5.0,6.0,3.0,0.7945508680220922,161268892.0,4.0
18.0,1.0,1.0,14.0,1.0,4.0,4.0,,2.0,10.0,7.0,2.0,,,1.0,2.0,1.0,3.0,6.0,99.0,4.0,3.0,3.1156226458998173,161270139.0,4.0
29.0,2.0,1.0,16.0,1.0,4.0,5.0,,1.0,9.0,10.0,4.0,,,1.0,2.0,1.0,19.0,4.0,4.0,6.0,3.0,0.6462502799540961,161270438.0,4.0
29.0,2.0,2.0,16.0,1.0,4.0,5.0,1.0,6.0,2.0,4.0,4.0,,,1.0,1.0,3.0,99.0,6.0,1.0,4.0,3.0,0.9365089386083099,161270679.0,4.0
48.0,4.0,1.0,13.0,1.0,4.0,5.0,,7.0,8.0,9.0,4.0,,,1.0,2.0,1.0,10.0,1.0,1.0,8.0,3.0,0.40626411582114297,161270688.0,4.0
46.0,4.0,2.0,16.0,2.0,4.0,97.0,99.0,99.0,,,98.0,,,99.0,99.0,1.0,1.0,5.0,5.0,8.0,3.0,0.9322850090510936,161271515.0,4.0
42.0,3.0,1.0,12.0,1.0,4.0,4.0,,2.0,4.0,10.0,98.0,,,1.0,4.0,2.0,99.0,5.0,3.0,1.0,3.0,0.3308853395324916,161271862.0,4.0
52.0,4.0,2.0,14.0,1.0,4.0,1.0,1.0,6.0,2.0,7.0,4.0,,,1.0,1.0,1.0,16.0,5.0,5.0,4.0,3.0,0.7823357899901843,161272836.0,4.0
32.0,2.0,1.0,16.0,1.0,4.0,4.0,,9.0,2.0,6.0,1.0,,,5.0,2.0,2.0,5.0,1.0,1.0,4.0,3.0,1.383507411992299,161273513.0,4.0
40.0,3.0,2.0,16.0,1.0,4.0,3.0,1.0,7.0,10.0,4.0,4.0,,,1.0,1.0,3.0,19.0,5.0,5.0,3.0,3.0,0.6065758638380376,161273820.0,4.0
16.0,1.0,1.0,12.0,1.0,6.0,5.0,,1.0,2.0,3.0,4.0,,,1.0,2.0,2.0,6.0,6.0,5.0,1.0,2.0,0.5389643362630695,161274481.0,4.0
37.0,3.0,2.0,15.0,1.0,4.0,3.0,3.0,2.0,4.0,7.0,4.0,,,1.0,1.0,1.0,1.0,4.0,4.0,6.0,3.0,0.7129535961756904,161275389.0,4.0
59.0,4.0,1.0,13.0,1.0,4.0,3.0,,6.0,9.0,2.0,1.0,,,1.0,2.0,1.0,15.0,99.0,99.0,3.0,3.0,0.46631647180817104,161275456.0,4.0
45.0,4.0,1.0,16.0,1.0,4.0,5.0,,6.0,1.0,2.0,1.0,,,3.0,2.0,3.0,2.0,5.0,5.0,3.0,3.0,0.3668527396388495,161276354.0,4.0
57.0,4.0,1.0,14.0,1.0,4.0,5.0,,5.0,8.0,10.0,1.0,,,1.0,2.0,1.0,1.0,6.0,5.0,5.0,3.0,1.7388267807490565,161276595.0,4.0
40.0,3.0,1.0,10.0,2.0,4.0,5.0,,6.0,7.0,8.0,4.0,,,1.0,2.0,3.0,1.0,5.0,5.0,7.0,2.0,1.2670121050391476,161277100.0,4.0
57.0,4.0,2.0,6.0,1.0,6.0,1.0,1.0,1.0,2.0,4.0,4.0,,,1.0,1.0,3.0,2.0,6.0,6.0,7.0,2.0,1.1681791443779552,161277101.0,4.0
33.0,2.0,2.0,16.0,1.0,4.0,3.0,1.0,5.0,1.0,7.0,4.0,,,1.0,1.0,1.0,1.0,4.0,4.0,6.0,3.0,0.9215490949828257,161277103.0,4.0
26.0,2.0,2.0,16.0,2.0,4.0,3.0,1.0,6.0,10.0,9.0,4.0,,,1.0,1.0,3.0,2.0,98.0,5.0,7.0,3.0,0.9538619268960228,161279415.0,4.0
45.0,4.0,1.0,11.0,1.0,6.0,5.0,,1.0,2.0,5.0,4.0,,,1.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,0.1966954446602387,161279631.0,4.0
35.0,3.0,2.0,16.0,1.0,4.0,3.0,1.0,6.0,8.0,4.0,4.0,,,1.0,1.0,1.0,16.0,6.0,5.0,4.0,3.0,1.6227521564867433,161280448.0,4.0
36.0,3.0,2.0,16.0,2.0,4.0,3.0,1.0,99.0,,,4.0,,,1.0,99.0,3.0,1.0,99.0,99.0,7.0,3.0,1.4696705036024478,161280454.0,4.0
48.0,4.0,2.0,14.0,1.0,4.0,3.0,1.0,2.0,6.0,7.0,4.0,,,1.0,1.0,1.0,1.0,5.0,5.0,8.0,3.0,0.7700541130286991,161281155.0,4.0
30.0,2.0,1.0,16.0,1.0,4.0,97.0,,4.0,6.0,9.0,4.0,,,2.0,2.0,1.0,19.0,4.0,4.0,3.0,3.0,0.5586144489386338,161281934.0,4.0
