IDADE,FX_IDADE,SEXO,p1,p901a,p901b,p901c,p901d,p901e,p901f,p901g,p901h,p901i,p901j,p901k,p901l,p901m,p901n,p901o,p901p,p901q,p901r,p901s,p901t,p906,pea,carro,empreg,maqlav,dvd,banhe,gelad,freezer,comput,lavlou,microon,motocic,secadora,agua,rua,escola,escolac,CLASSE2,RCLASSE2,rendaf,cor,METROP,REGIAO,PESO,nquest
40.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,1.0,3.0,3.0,1.0,96.0,1.0,96.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,8.0,8.0,30.0,3.0,4.0,3.0,1.0,1.0,1.374276652934249,185721235.0
48.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,2.0,4.0,99.0,5.0,2.0,5.0,5.0,4.0,1.0,2.0,1.0,96.0,2.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,2.0,19.0,5.0,1.0,1.0,1.0,2.0,0.4741221449445861,185721275.0
25.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,1.0,5.0,1.0,1.0,96.0,1.0,1.0,3.0,1.0,96.0,2.0,96.0,1.0,96.0,1.0,1.0,1.0,6.0,7.0,41.0,2.0,4.0,3.0,1.0,3.0,0.43205516141437966,185721308.0
44.0,3.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,96.0,1.0,1.0,2.0,1.0,1.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,7.0,7.0,29.0,3.0,97.0,1.0,1.0,1.0,1.3050142873588273,185721341.0
36.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,96.0,1.0,1.0,2.0,2.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,7.0,7.0,36.0,3.0,3.0,3.0,3.0,2.0,0.5566713040452365,185721383.0
65.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,5.0,99.0,99.0,1.0,5.0,5.0,2.0,1.0,5.0,5.0,2.0,5.0,4.0,1.0,5.0,12.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,7.0,5.0,26.0,4.0,2.0,1.0,3.0,2.0,1.2617720727392072,185721384.0
32.0,2.0,2.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,2.0,1.0,4.0,2.0,15.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,1.0,96.0,2.0,2.0,2.0,2.0,7.0,6.0,9.0,98.0,3.0,3.0,1.8340654507224627,185721387.0
28.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,96.0,2.0,2.0,1.0,1.0,96.0,96.0,96.0,1.0,3.0,1.0,2.0,2.0,5.0,5.0,26.0,4.0,1.0,3.0,3.0,1.0,0.9131920312443699,185721394.0
17.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,4.0,2.0,96.0,96.0,1.0,96.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,4.0,5.0,24.0,4.0,3.0,3.0,3.0,4.0,1.2705329183660057,185721397.0
69.0,5.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,99.0,1.0,1.0,1.0,99.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,96.0,96.0,1.0,96.0,1.0,1.0,1.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,17.0,5.0,9.0,2.0,1.0,1.0,0.7034061828632253,185721401.0
64.0,5.0,2.0,2.0,1.0,99.0,5.0,99.0,99.0,99.0,1.0,1.0,99.0,1.0,1.0,5.0,99.0,1.0,1.0,1.0,5.0,99.0,1.0,1.0,99.0,12.0,96.0,96.0,1.0,96.0,2.0,2.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,20.0,5.0,9.0,3.0,3.0,2.0,3.437992278091672,185721424.0
28.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,3.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,7.0,5.0,25.0,4.0,3.0,2.0,1.0,1.0,0.6894667289498071,185721444.0
74.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,96.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,2.0,1.0,5.0,5.0,19.0,5.0,3.0,1.0,3.0,5.0,1.552248245164699,185721447.0
30.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0,5.0,1.0,5.0,5.0,4.0,2.0,5.0,2.0,5.0,1.0,2.0,5.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,96.0,1.0,96.0,1.0,1.0,1.0,1.0,96.0,96.0,2.0,1.0,1.0,1.0,6.0,6.0,30.0,3.0,4.0,1.0,3.0,2.0,0.3568985089130567,185721484.0
20.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,5.0,5.0,2.0,1.0,4.0,10.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,6.0,5.0,16.0,6.0,9.0,2.0,3.0,3.0,1.1809991795350592,185721516.0
56.0,4.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,11.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,2.0,5.0,5.0,15.0,6.0,9.0,2.0,2.0,1.0,1.4675441344362619,185721519.0
64.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,16.0,96.0,96.0,1.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,2.0,19.0,5.0,9.0,4.0,3.0,1.0,0.9631753660754717,185721527.0
25.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,2.0,5.0,5.0,26.0,4.0,3.0,3.0,3.0,1.0,1.3131266858088049,185721531.0
26.0,2.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,96.0,1.0,2.0,2.0,1.0,96.0,3.0,96.0,1.0,1.0,96.0,1.0,1.0,5.0,3.0,38.0,2.0,2.0,1.0,1.0,1.0,0.6784355368483295,185721536.0
28.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,2.0,5.0,2.0,1.0,3.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,25.0,4.0,3.0,2.0,3.0,1.0,1.4557806025054418,185721538.0
50.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,2.0,2.0,5.0,3.0,96.0,96.0,96.0,2.0,2.0,2.0,96.0,2.0,96.0,96.0,96.0,96.0,1.0,1.0,7.0,7.0,32.0,3.0,4.0,3.0,3.0,1.0,0.988961578060689,185721558.0
42.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,2.0,2.0,2.0,2.0,8.0,6.0,1.0,3.0,3.0,3.0,1.3988918987660035,185721601.0
29.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,5.0,2.0,1.0,2.0,4.0,1.0,5.0,4.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,2.0,5.0,2.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,96.0,1.0,1.0,7.0,1.0,22.0,5.0,2.0,1.0,3.0,1.0,1.0934758771978208,185721627.0
48.0,4.0,1.0,5.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,96.0,1.0,96.0,2.0,2.0,1.0,2.0,96.0,2.0,96.0,1.0,1.0,1.0,7.0,7.0,44.0,2.0,4.0,1.0,3.0,1.0,1.5765699137804416,185721653.0
20.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,99.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,96.0,2.0,96.0,1.0,1.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,29.0,3.0,1.0,98.0,3.0,1.0,0.8090373155321401,185721654.0
32.0,2.0,2.0,3.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,3.0,7.0,1.0,96.0,1.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,6.0,6.0,23.0,4.0,2.0,3.0,1.0,1.0,0.8408256546748661,185721667.0
58.0,4.0,1.0,5.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,12.0,1.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,7.0,7.0,28.0,4.0,4.0,3.0,3.0,1.0,1.5621368210615738,185721674.0
50.0,4.0,2.0,5.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,99.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,11.0,1.0,96.0,1.0,96.0,2.0,1.0,2.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,5.0,5.0,29.0,3.0,3.0,1.0,1.0,1.0,1.085975339006801,185721679.0
42.0,3.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,99.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,1.0,96.0,2.0,1.0,1.0,1.0,8.0,6.0,1.0,1.0,3.0,5.0,0.9912006176850062,185721764.0
27.0,2.0,2.0,1.0,4.0,2.0,5.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,11.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,2.0,2.0,5.0,1.0,5.0,6.0,9.0,2.0,3.0,3.0,1.010523122766943,185721777.0
44.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,7.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,4.0,4.0,13.0,6.0,9.0,3.0,1.0,1.0,0.6974718868768935,185721783.0
22.0,1.0,1.0,99.0,2.0,3.0,2.0,2.0,2.0,99.0,2.0,2.0,99.0,3.0,3.0,99.0,2.0,2.0,99.0,2.0,2.0,5.0,3.0,2.0,96.0,10.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,2.0,14.0,6.0,9.0,1.0,2.0,2.0,1.3202114970634964,185721794.0
36.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,3.0,96.0,96.0,1.0,2.0,1.0,1.0,1.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,4.0,4.0,22.0,5.0,3.0,3.0,2.0,2.0,0.9896734595801799,185721795.0
17.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,96.0,7.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,2.0,2.0,5.0,20.0,5.0,9.0,1.0,2.0,2.0,0.9372352916117905,185721796.0
22.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,2.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,3.0,1.0,96.0,96.0,4.0,1.0,2.0,2.0,1.0,2.0,96.0,2.0,96.0,96.0,1.0,1.0,6.0,5.0,39.0,2.0,1.0,3.0,2.0,1.0,0.9947311480296812,185721838.0
43.0,3.0,2.0,3.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,1.0,1.0,2.0,96.0,96.0,1.0,96.0,1.0,1.0,5.0,7.0,33.0,3.0,4.0,3.0,1.0,1.0,0.807306456457505,185721876.0
52.0,4.0,1.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,7.0,96.0,96.0,96.0,1.0,2.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,21.0,5.0,1.0,1.0,3.0,3.0,1.0448190582225378,185721897.0
48.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,10.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,3.0,96.0,96.0,96.0,96.0,1.0,2.0,6.0,6.0,23.0,4.0,9.0,3.0,1.0,1.0,0.7070616743852303,185721908.0
19.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,4.0,3.0,15.0,6.0,2.0,1.0,3.0,1.0,0.783794119272146,185721911.0
63.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,5.0,2.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,9.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,1.0,96.0,1.0,1.0,2.0,2.0,15.0,6.0,99.0,2.0,3.0,3.0,1.3975338521222866,185721913.0
63.0,5.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,4.0,1.0,1.0,3.0,5.0,96.0,96.0,96.0,1.0,2.0,1.0,96.0,1.0,96.0,96.0,96.0,96.0,1.0,1.0,7.0,7.0,26.0,4.0,2.0,3.0,1.0,5.0,0.6100950994689431,185721928.0
59.0,4.0,2.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,99.0,5.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,96.0,1.0,96.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,27.0,4.0,2.0,3.0,3.0,4.0,1.8298801734879928,185721950.0
23.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,10.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,5.0,15.0,6.0,9.0,3.0,3.0,3.0,1.105488442491988,185721986.0
17.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,7.0,1.0,96.0,1.0,2.0,2.0,1.0,1.0,1.0,96.0,2.0,96.0,96.0,2.0,1.0,4.0,4.0,30.0,3.0,4.0,3.0,3.0,4.0,0.8216352966073217,185722001.0
20.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,96.0,96.0,2.0,96.0,1.0,2.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,2.0,5.0,5.0,24.0,4.0,3.0,3.0,3.0,2.0,1.2134163168196865,185722010.0
22.0,1.0,2.0,99.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,99.0,2.0,4.0,4.0,5.0,2.0,5.0,5.0,2.0,5.0,4.0,1.0,96.0,4.0,4.0,96.0,2.0,3.0,4.0,1.0,96.0,1.0,96.0,1.0,3.0,96.0,1.0,1.0,5.0,5.0,53.0,1.0,99.0,1.0,3.0,1.0,0.6870395887445278,185722028.0
23.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,16.0,96.0,96.0,1.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,1.0,14.0,6.0,9.0,2.0,3.0,1.0,0.7878837896903716,185722029.0
51.0,4.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,11.0,1.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,1.0,18.0,5.0,2.0,3.0,2.0,2.0,1.433392078855375,185722042.0
31.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,96.0,2.0,2.0,3.0,1.0,1.0,3.0,96.0,2.0,1.0,96.0,1.0,1.0,8.0,8.0,50.0,1.0,5.0,2.0,3.0,1.0,0.9933760561900696,185722050.0
30.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,96.0,96.0,1.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,2.0,5.0,5.0,16.0,6.0,9.0,3.0,1.0,4.0,1.763561106085424,185722054.0
32.0,2.0,2.0,3.0,5.0,1.0,5.0,5.0,2.0,1.0,5.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,3.0,16.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,5.0,17.0,5.0,2.0,2.0,1.0,5.0,0.6153169235274496,185722087.0
46.0,4.0,2.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,99.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,7.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,19.0,5.0,9.0,3.0,1.0,3.0,0.8614240061675181,185722115.0
18.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,4.0,99.0,5.0,1.0,5.0,5.0,2.0,1.0,2.0,1.0,5.0,13.0,1.0,96.0,96.0,96.0,1.0,1.0,1.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,2.0,19.0,5.0,1.0,3.0,3.0,3.0,0.8876892036242965,185722179.0
41.0,3.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,96.0,1.0,1.0,2.0,1.0,1.0,1.0,96.0,1.0,1.0,96.0,1.0,2.0,6.0,6.0,31.0,3.0,2.0,3.0,2.0,3.0,1.1680256906104067,185722195.0
18.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,96.0,1.0,96.0,1.0,1.0,96.0,4.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,7.0,36.0,3.0,3.0,3.0,1.0,5.0,0.45703766128372875,185722203.0
18.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,96.0,96.0,96.0,2.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,4.0,3.0,24.0,4.0,4.0,3.0,1.0,4.0,0.8291538612087487,185722219.0
26.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,96.0,1.0,2.0,96.0,1.0,96.0,3.0,1.0,1.0,96.0,96.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,32.0,3.0,2.0,4.0,3.0,1.0,0.8581152353151351,185722220.0
52.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,12.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,4.0,17.0,5.0,9.0,1.0,1.0,2.0,0.5478677016096591,185722230.0
31.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,5.0,2.0,1.0,5.0,10.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,5.0,15.0,6.0,9.0,3.0,1.0,3.0,0.5378146460843075,185722250.0
19.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,99.0,4.0,5.0,2.0,2.0,1.0,99.0,5.0,1.0,1.0,2.0,1.0,96.0,13.0,96.0,96.0,1.0,96.0,2.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,4.0,5.0,28.0,4.0,2.0,2.0,3.0,2.0,0.5672760649587019,185722262.0
28.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,5.0,7.0,96.0,96.0,96.0,96.0,2.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,5.0,21.0,5.0,1.0,2.0,2.0,1.0,0.8457906551356609,185722291.0
72.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,6.0,3.0,96.0,1.0,96.0,3.0,1.0,1.0,2.0,96.0,96.0,96.0,96.0,1.0,1.0,7.0,7.0,43.0,2.0,5.0,1.0,1.0,4.0,0.5547189691184935,185722304.0
52.0,4.0,2.0,1.0,5.0,1.0,2.0,1.0,99.0,2.0,2.0,1.0,99.0,1.0,5.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,96.0,1.0,96.0,2.0,1.0,1.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,3.0,26.0,4.0,2.0,3.0,3.0,2.0,1.7498139167990463,185722308.0
24.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,99.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,1.0,96.0,1.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,4.0,20.0,5.0,9.0,3.0,3.0,1.0,0.780649196519096,185722321.0
24.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,4.0,96.0,96.0,1.0,96.0,2.0,1.0,1.0,96.0,96.0,1.0,1.0,96.0,1.0,1.0,4.0,4.0,24.0,4.0,3.0,2.0,1.0,1.0,0.9113430331970298,185722323.0
46.0,4.0,2.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,10.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,17.0,5.0,9.0,1.0,2.0,3.0,1.1141430077077445,185722332.0
