IDADE,FX_IDADE,SEXO,p1,p901a,p901b,p901c,p901d,p901e,p901f,p901g,p901h,p901i,p901j,p901k,p901l,p901m,p901n,p901o,p901p,p901q,p901r,p901s,p901t,p906,pea,carro,empreg,maqlav,dvd,banhe,gelad,freezer,comput,lavlou,microon,motocic,secadora,agua,rua,escola,escolac,CLASSE2,RCLASSE2,rendaf,cor,METROP,REGIAO,PESO,nquest
57.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,2.0,2.0,2.0,2.0,6.0,6.0,9.0,3.0,3.0,3.0,2.0750117478449135,185714988.0
38.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,2.0,1.0,5.0,1.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,2.0,96.0,96.0,96.0,96.0,1.0,1.0,8.0,8.0,24.0,4.0,2.0,3.0,3.0,1.0,1.1235833776851838,185715016.0
45.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,96.0,1.0,1.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,2.0,1.0,4.0,4.0,16.0,6.0,9.0,2.0,1.0,3.0,1.0727789399885337,185715056.0
62.0,5.0,2.0,5.0,1.0,1.0,2.0,4.0,1.0,99.0,3.0,2.0,99.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,99.0,2.0,2.0,1.0,1.0,12.0,96.0,1.0,1.0,96.0,2.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,2.0,5.0,26.0,4.0,97.0,4.0,1.0,3.0,0.7739564209533806,185715072.0
47.0,4.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,5.0,5.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,5.0,20.0,5.0,9.0,3.0,3.0,1.0,0.9169373692034991,185715151.0
48.0,4.0,1.0,4.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,96.0,96.0,96.0,1.0,1.0,96.0,1.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,5.0,21.0,5.0,9.0,3.0,1.0,3.0,1.0859323055829129,185715197.0
66.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,2.0,1.0,5.0,12.0,96.0,96.0,1.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,4.0,5.0,18.0,5.0,2.0,3.0,3.0,1.0,0.9061812202525502,185715206.0
24.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,96.0,96.0,1.0,1.0,2.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,2.0,1.0,5.0,2.0,17.0,5.0,99.0,3.0,3.0,3.0,1.2342598141534438,185715280.0
26.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,96.0,96.0,96.0,1.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,2.0,4.0,4.0,14.0,6.0,1.0,3.0,3.0,3.0,1.0649823532981548,185715291.0
39.0,3.0,1.0,3.0,5.0,4.0,5.0,2.0,1.0,1.0,4.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,20.0,5.0,9.0,2.0,1.0,3.0,0.5044189502840599,185715328.0
