IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2_1,P2_2,P2_3,P3,P4_1,P4_2,P4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,P7E,P8,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P11_1,P11_2,P11_3,P12,P_RACA,P_RELIGIAO,REND1,REND2,REGIAO,FATOR_POND,TIPO_COLETA,AMOSTRA,ID
48.0,4.0,2.0,14.0,1.0,4.0,2.0,2.0,5.0,6.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,98.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,1.0,3.0,,,,,,,9.0,2.0,6.0,1.0,1.0,6.0,5.0,5.0,6.0,0.8303641926054529,4.0,3.0,161260394.0
55.0,4.0,1.0,14.0,2.0,4.0,2.0,5.0,,,2.0,2.0,,,2.0,2.0,2.0,3.0,99.0,1.0,3.0,6.0,,,3.0,99.0,4.0,1.0,2.0,5.0,6.0,,,,,,6.0,,,,,,,,7.0,1.0,5.0,2.0,1.0,1.0,99.0,5.0,8.0,0.33990552331470236,4.0,3.0,161262279.0
47.0,4.0,1.0,15.0,1.0,4.0,1.0,6.0,9.0,,3.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,7.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,6.0,,,,1.0,6.0,5.0,,,,,,6.0,1.0,9.0,1.0,1.0,19.0,99.0,99.0,4.0,0.826586997030591,4.0,3.0,161263654.0
29.0,2.0,2.0,14.0,1.0,4.0,1.0,1.0,5.0,7.0,3.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,99.0,99.0,98.0,,,99.0,2.0,1.0,2.0,1.0,2.0,6.0,3.0,2.0,,,,99.0,,,,,,,,2.0,5.0,6.0,1.0,3.0,1.0,6.0,6.0,2.0,0.4490926579667882,4.0,3.0,161264043.0
42.0,3.0,2.0,14.0,2.0,4.0,1.0,5.0,6.0,7.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,,2.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,2.0,,,,4.0,6.0,8.0,,,,,,2.0,5.0,6.0,1.0,1.0,19.0,98.0,5.0,2.0,0.53242874998406,4.0,3.0,161264897.0
37.0,3.0,2.0,16.0,2.0,4.0,1.0,5.0,8.0,9.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,,,,3.0,5.0,8.0,,,,,,4.0,6.0,2.0,1.0,1.0,1.0,98.0,4.0,3.0,0.7481286340501357,4.0,3.0,161266263.0
19.0,1.0,1.0,16.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,99.0,4.0,7.0,8.0,1.0,2.0,2.0,3.0,1.0,99.0,3.0,,,,,,1.0,,,,,,,,9.0,5.0,2.0,1.0,3.0,99.0,6.0,6.0,4.0,0.5392642668127599,4.0,3.0,161267897.0
56.0,4.0,2.0,16.0,1.0,4.0,1.0,2.0,4.0,7.0,1.0,4.0,5.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,7.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,3.0,,,,,1.0,6.0,4.0,,,,,,2.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,0.7698248976734333,4.0,3.0,161268740.0
38.0,3.0,1.0,16.0,1.0,4.0,2.0,1.0,3.0,6.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,,4.0,1.0,1.0,3.0,2.0,2.0,2.0,,,,,,8.0,,,,,,,,4.0,6.0,5.0,2.0,1.0,1.0,99.0,5.0,6.0,0.7945508680220922,4.0,3.0,161268892.0
18.0,1.0,1.0,14.0,1.0,4.0,1.0,1.0,5.0,7.0,1.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,4.0,3.0,3.0,99.0,99.0,1.0,5.0,,,,,,3.0,,,,,,,,1.0,2.0,5.0,1.0,1.0,3.0,6.0,99.0,4.0,3.1156226458998173,4.0,3.0,161270139.0
29.0,2.0,1.0,16.0,1.0,4.0,2.0,8.0,,,3.0,6.0,,,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,,,,,8.0,6.0,3.0,,,,,,4.0,1.0,5.0,1.0,1.0,19.0,4.0,4.0,6.0,0.6462502799540961,4.0,3.0,161270438.0
29.0,2.0,2.0,16.0,1.0,4.0,2.0,3.0,,,3.0,4.0,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,2.0,7.0,5.0,,,,,,5.0,3.0,2.0,2.0,3.0,99.0,6.0,1.0,4.0,0.9365089386083099,4.0,3.0,161270679.0
48.0,4.0,1.0,13.0,1.0,4.0,1.0,1.0,2.0,6.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,3.0,2.0,8.0,,,,,,7.0,3.0,6.0,1.0,1.0,10.0,1.0,1.0,8.0,0.40626411582114297,4.0,3.0,161270688.0
46.0,4.0,2.0,16.0,2.0,4.0,98.0,99.0,,,98.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,99.0,,,,,,,,99.0,,,99.0,1.0,1.0,5.0,5.0,8.0,0.9322850090510936,4.0,3.0,161271515.0
42.0,3.0,1.0,12.0,1.0,4.0,3.0,7.0,,,1.0,1.0,,,2.0,2.0,3.0,1.0,3.0,3.0,2.0,6.0,,,2.0,2.0,2.0,1.0,2.0,6.0,6.0,,,,,,6.0,,,,,,,,1.0,9.0,3.0,1.0,2.0,99.0,5.0,3.0,1.0,0.3308853395324916,4.0,3.0,161271862.0
52.0,4.0,2.0,14.0,1.0,4.0,1.0,4.0,5.0,9.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,7.0,8.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0,5.0,,,,,8.0,1.0,6.0,,,,,,2.0,3.0,9.0,1.0,1.0,16.0,5.0,5.0,4.0,0.7823357899901843,4.0,3.0,161272836.0
32.0,2.0,1.0,16.0,1.0,4.0,2.0,5.0,8.0,,2.0,4.0,6.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,,2.0,2.0,1.0,2.0,3.0,6.0,1.0,6.0,,,,,4.0,,,,,,,,2.0,4.0,6.0,2.0,2.0,5.0,1.0,1.0,4.0,1.383507411992299,4.0,3.0,161273513.0
40.0,3.0,2.0,16.0,1.0,4.0,1.0,4.0,5.0,7.0,1.0,1.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,2.0,1.0,6.0,4.0,3.0,6.0,,,,5.0,6.0,1.0,,,,,,9.0,2.0,5.0,2.0,3.0,19.0,5.0,5.0,3.0,0.6065758638380376,4.0,3.0,161273820.0
16.0,1.0,1.0,12.0,1.0,6.0,1.0,5.0,,,3.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,,,1.0,2.0,1.0,99.0,1.0,1.0,2.0,,,,,,5.0,,,,,,,,2.0,5.0,9.0,1.0,2.0,6.0,6.0,5.0,1.0,0.5389643362630695,4.0,2.0,161274481.0
37.0,3.0,2.0,15.0,1.0,4.0,1.0,1.0,6.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,4.0,6.0,2.0,5.0,,,,6.0,1.0,3.0,,,,,,2.0,9.0,5.0,1.0,1.0,1.0,4.0,4.0,6.0,0.7129535961756904,4.0,3.0,161275389.0
59.0,4.0,1.0,13.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,7.0,8.0,1.0,1.0,1.0,4.0,3.0,5.0,5.0,4.0,2.0,,,,8.0,3.0,5.0,2.0,4.0,6.0,1.0,,9.0,5.0,3.0,1.0,1.0,15.0,99.0,99.0,3.0,0.46631647180817104,4.0,3.0,161275456.0
45.0,4.0,1.0,16.0,1.0,4.0,98.0,1.0,4.0,6.0,98.0,1.0,2.0,6.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,2.0,7.0,8.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,99.0,,,,,,,,2.0,4.0,3.0,1.0,3.0,2.0,5.0,5.0,3.0,0.3668527396388495,4.0,3.0,161276354.0
57.0,4.0,1.0,14.0,1.0,4.0,1.0,2.0,4.0,7.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,3.0,6.0,5.0,3.0,6.0,4.0,,,,,2.0,6.0,5.0,1.0,1.0,1.0,6.0,5.0,5.0,1.7388267807490565,4.0,3.0,161276595.0
40.0,3.0,1.0,10.0,2.0,4.0,1.0,1.0,3.0,7.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,3.0,8.0,,,,,,,3.0,99.0,,1.0,3.0,1.0,5.0,5.0,7.0,1.2670121050391476,4.0,2.0,161277100.0
57.0,4.0,2.0,6.0,1.0,6.0,1.0,1.0,3.0,,1.0,2.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,,,1.0,1.0,1.0,1.0,1.0,5.0,4.0,,,,,,5.0,2.0,,,,,,,8.0,9.0,99.0,1.0,3.0,2.0,6.0,6.0,7.0,1.1681791443779552,4.0,2.0,161277101.0
33.0,2.0,2.0,16.0,1.0,4.0,1.0,3.0,6.0,9.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,7.0,8.0,2.0,3.0,3.0,2.0,3.0,4.0,6.0,,,,,,8.0,5.0,6.0,,,,,,3.0,2.0,6.0,1.0,1.0,1.0,4.0,4.0,6.0,0.9215490949828257,4.0,3.0,161277103.0
26.0,2.0,2.0,16.0,2.0,4.0,1.0,3.0,5.0,7.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,7.0,99.0,2.0,2.0,4.0,3.0,5.0,3.0,5.0,1.0,2.0,,,1.0,8.0,6.0,,,,,,2.0,5.0,3.0,1.0,3.0,2.0,98.0,5.0,7.0,0.9538619268960228,4.0,3.0,161279415.0
45.0,4.0,1.0,11.0,1.0,6.0,2.0,5.0,,,3.0,1.0,,,99.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,2.0,1.0,4.0,1.0,2.0,1.0,,,,,,8.0,,,,,,,,2.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,0.1966954446602387,4.0,2.0,161279631.0
35.0,3.0,2.0,16.0,1.0,4.0,1.0,1.0,4.0,9.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,6.0,,,,,,,,2.0,8.0,9.0,1.0,1.0,16.0,6.0,5.0,4.0,1.6227521564867433,4.0,3.0,161280448.0
36.0,3.0,2.0,16.0,2.0,4.0,1.0,1.0,5.0,6.0,97.0,98.0,,,2.0,3.0,99.0,3.0,99.0,2.0,3.0,98.0,,,2.0,99.0,1.0,4.0,1.0,1.0,99.0,,,,,,99.0,,,,,,,,7.0,9.0,3.0,1.0,3.0,1.0,99.0,99.0,7.0,1.4696705036024478,4.0,3.0,161280454.0
48.0,4.0,2.0,14.0,1.0,4.0,2.0,1.0,8.0,9.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,6.0,,,6.0,8.0,5.0,3.0,4.0,1.0,,,2.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,8.0,0.7700541130286991,4.0,3.0,161281155.0
30.0,2.0,1.0,16.0,1.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,2.0,1.0,,,,2.0,8.0,5.0,6.0,,,,,2.0,8.0,9.0,1.0,1.0,19.0,4.0,4.0,3.0,0.5586144489386338,4.0,3.0,161281934.0
29.0,2.0,2.0,14.0,1.0,4.0,2.0,1.0,5.0,6.0,3.0,1.0,6.0,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,99.0,99.0,1.0,2.0,99.0,6.0,3.0,,,,,,99.0,,,,,,,,5.0,6.0,99.0,2.0,3.0,99.0,4.0,4.0,5.0,1.2104277827069245,4.0,3.0,161281993.0
48.0,4.0,1.0,16.0,1.0,4.0,1.0,6.0,,,3.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,,1.0,2.0,2.0,3.0,1.0,1.0,3.0,6.0,1.0,,,,1.0,,,,,,,,5.0,2.0,8.0,1.0,1.0,20.0,4.0,4.0,8.0,0.3863236733254084,4.0,3.0,161283616.0
27.0,2.0,2.0,14.0,2.0,5.0,1.0,1.0,5.0,9.0,1.0,2.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0,,,,,3.0,8.0,,,,,,,6.0,3.0,9.0,1.0,2.0,1.0,98.0,4.0,7.0,1.117349947496726,4.0,2.0,161283855.0
27.0,2.0,1.0,14.0,1.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,5.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,,,1.0,1.0,4.0,1.0,1.0,2.0,5.0,,,,,,2.0,,,,,,,,4.0,99.0,,3.0,3.0,18.0,2.0,2.0,7.0,1.1230291549083258,4.0,2.0,161283856.0
61.0,5.0,1.0,5.0,2.0,4.0,1.0,99.0,,,1.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.0,4.0,5.0,99.0,99.0,99.0,99.0,99.0,1.0,1.0,2.0,5.0,,,,8.0,,,,,,,,1.0,2.0,3.0,1.0,3.0,19.0,6.0,6.0,6.0,2.572546684683063,4.0,3.0,161284834.0
26.0,2.0,1.0,16.0,2.0,4.0,2.0,1.0,5.0,9.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,,,,,,6.0,8.0,,,,,,,8.0,3.0,1.0,1.0,1.0,1.0,98.0,99.0,6.0,1.2688194665056274,4.0,3.0,161286121.0
63.0,5.0,1.0,16.0,2.0,4.0,2.0,5.0,,,1.0,3.0,,,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,,99.0,99.0,99.0,99.0,99.0,4.0,5.0,,,,,,8.0,,,,,,,,5.0,9.0,6.0,2.0,1.0,15.0,99.0,99.0,1.0,0.261786121927339,4.0,3.0,161286237.0
64.0,5.0,2.0,11.0,2.0,4.0,2.0,1.0,4.0,5.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,8.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,,,,4.0,3.0,5.0,,,,,,2.0,5.0,3.0,2.0,3.0,14.0,99.0,99.0,2.0,0.39166240236105393,4.0,3.0,161288353.0
29.0,2.0,1.0,16.0,1.0,4.0,2.0,1.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,,,,1.0,2.0,8.0,4.0,,,,,5.0,1.0,2.0,1.0,1.0,99.0,3.0,3.0,2.0,0.3989048760602668,4.0,3.0,161288441.0
37.0,3.0,2.0,16.0,1.0,4.0,2.0,2.0,4.0,7.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,6.0,,,,3.0,1.0,6.0,5.0,8.0,4.0,7.0,2.0,2.0,3.0,8.0,2.0,4.0,19.0,3.0,3.0,2.0,0.6867906372525365,4.0,3.0,161289962.0
62.0,5.0,1.0,16.0,2.0,4.0,1.0,5.0,8.0,9.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,5.0,,,4.0,8.0,1.0,,,,,,9.0,2.0,6.0,1.0,1.0,1.0,99.0,99.0,1.0,0.261786121927339,4.0,3.0,161290439.0
47.0,4.0,1.0,12.0,2.0,5.0,1.0,1.0,5.0,6.0,2.0,6.0,,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,6.0,,,,,,,,3.0,4.0,6.0,1.0,1.0,1.0,99.0,6.0,5.0,1.0192290740249892,4.0,2.0,161292230.0
35.0,3.0,1.0,14.0,1.0,4.0,1.0,1.0,5.0,6.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,,,,3.0,6.0,5.0,,,,,,3.0,1.0,6.0,1.0,1.0,20.0,5.0,4.0,5.0,3.1066848271809624,4.0,2.0,161292231.0
33.0,2.0,2.0,14.0,2.0,4.0,1.0,1.0,5.0,6.0,3.0,3.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,2.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0,,,,,3.0,1.0,,,,,,,3.0,6.0,9.0,2.0,3.0,11.0,5.0,5.0,5.0,1.44750935561198,4.0,2.0,161292232.0
72.0,5.0,1.0,8.0,2.0,5.0,1.0,1.0,3.0,5.0,3.0,2.0,6.0,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,99.0,4.0,3.0,,,,,3.0,4.0,,,,,,,5.0,1.0,7.0,1.0,3.0,1.0,4.0,4.0,5.0,1.0965254548672,4.0,2.0,161292233.0
63.0,5.0,1.0,11.0,1.0,5.0,1.0,1.0,5.0,6.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,6.0,8.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,5.0,,,,,3.0,1.0,,,,,,,7.0,9.0,8.0,1.0,1.0,99.0,6.0,6.0,5.0,1.8136513147131847,4.0,2.0,161292234.0
35.0,3.0,2.0,14.0,1.0,5.0,1.0,1.0,,,1.0,5.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,2.0,1.0,1.0,1.0,1.0,6.0,2.0,,,,,,8.0,,,,,,,,3.0,2.0,99.0,1.0,1.0,1.0,5.0,5.0,5.0,0.7240788110624651,4.0,2.0,161292235.0
36.0,3.0,2.0,14.0,1.0,5.0,2.0,1.0,6.0,7.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,8.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,,,,,3.0,1.0,4.0,,,,,,5.0,3.0,2.0,2.0,2.0,19.0,6.0,6.0,5.0,0.7240788110624651,4.0,2.0,161292236.0
20.0,1.0,1.0,14.0,2.0,5.0,1.0,1.0,6.0,7.0,1.0,3.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,3.0,8.0,,,,,,,5.0,99.0,,2.0,1.0,11.0,98.0,5.0,5.0,0.9339083944867675,4.0,2.0,161292237.0
28.0,2.0,1.0,16.0,1.0,4.0,1.0,1.0,5.0,7.0,1.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,,,,4.0,3.0,8.0,,,,,,5.0,8.0,9.0,1.0,2.0,1.0,5.0,4.0,6.0,0.6462502799540961,4.0,3.0,161292738.0
48.0,4.0,1.0,14.0,1.0,4.0,1.0,5.0,,,3.0,1.0,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,7.0,,,3.0,3.0,3.0,3.0,3.0,6.0,3.0,,,,,,8.0,,,,,,,,7.0,6.0,5.0,99.0,1.0,1.0,4.0,4.0,2.0,0.5343928073863287,4.0,3.0,161294260.0
42.0,3.0,2.0,13.0,1.0,4.0,1.0,1.0,4.0,7.0,1.0,2.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,7.0,2.0,1.0,1.0,4.0,1.0,5.0,5.0,,,,,,4.0,2.0,7.0,,,,,,3.0,6.0,2.0,1.0,1.0,10.0,4.0,4.0,3.0,0.4474310151726325,4.0,3.0,161294364.0
46.0,4.0,1.0,11.0,1.0,4.0,98.0,99.0,,,98.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.0,4.0,6.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,99.0,,,,,,,,99.0,,,99.0,3.0,1.0,4.0,4.0,4.0,0.8697583098988694,4.0,3.0,161294402.0
25.0,2.0,2.0,16.0,1.0,4.0,1.0,1.0,5.0,8.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,,,2.0,2.0,2.0,2.0,2.0,1.0,4.0,6.0,3.0,2.0,,,6.0,3.0,,,,,,,2.0,5.0,9.0,1.0,1.0,1.0,4.0,3.0,1.0,0.22879953264065156,4.0,3.0,161294837.0
37.0,3.0,2.0,12.0,1.0,4.0,2.0,1.0,6.0,9.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,,,8.0,7.0,2.0,4.0,6.0,1.0,5.0,3.0,5.0,9.0,3.0,2.0,3.0,19.0,98.0,5.0,4.0,1.291439197646093,4.0,3.0,161295284.0
61.0,5.0,2.0,11.0,1.0,4.0,1.0,5.0,6.0,7.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,7.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,4.0,3.0,,,,6.0,1.0,7.0,4.0,8.0,,,,6.0,5.0,9.0,2.0,1.0,15.0,6.0,6.0,3.0,0.641634332959532,4.0,3.0,161295405.0
29.0,2.0,2.0,16.0,1.0,4.0,3.0,8.0,,,1.0,3.0,6.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,3.0,,,,,,,,5.0,4.0,8.0,3.0,1.0,1.0,6.0,6.0,4.0,0.9365089386083099,4.0,3.0,161295483.0
39.0,3.0,2.0,14.0,1.0,4.0,2.0,1.0,5.0,6.0,1.0,4.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,,,,,,1.0,6.0,8.0,,,,,,5.0,8.0,9.0,1.0,2.0,16.0,6.0,6.0,8.0,0.623112923494985,4.0,3.0,161296829.0
26.0,2.0,2.0,15.0,1.0,4.0,1.0,1.0,5.0,9.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,2.0,1.0,3.0,2.0,1.0,5.0,4.0,3.0,1.0,,,,6.0,,,,,,,,2.0,8.0,9.0,1.0,1.0,19.0,4.0,4.0,2.0,0.5095818214765889,4.0,3.0,161298601.0
30.0,2.0,2.0,16.0,1.0,4.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,8.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,2.0,1.0,,,,2.0,6.0,5.0,,,,,,5.0,2.0,9.0,1.0,3.0,1.0,4.0,4.0,8.0,0.6323587564721384,4.0,3.0,161298650.0
56.0,4.0,1.0,16.0,2.0,4.0,98.0,99.0,,,98.0,98.0,,,99.0,99.0,99.0,99.0,1.0,2.0,2.0,98.0,,,99.0,99.0,2.0,99.0,1.0,99.0,99.0,,,,,,99.0,,,,,,,,6.0,99.0,,99.0,3.0,99.0,99.0,6.0,2.0,0.26422627813462946,4.0,3.0,161298850.0
41.0,3.0,2.0,13.0,1.0,4.0,98.0,5.0,6.0,8.0,98.0,98.0,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,98.0,,,99.0,4.0,4.0,2.0,99.0,99.0,99.0,,,,,,99.0,,,,,,,,9.0,3.0,2.0,2.0,3.0,19.0,99.0,99.0,5.0,0.7468532554819446,4.0,3.0,161299017.0
62.0,5.0,1.0,16.0,2.0,4.0,3.0,1.0,4.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,7.0,4.0,1.0,2.0,3.0,2.0,1.0,3.0,6.0,1.0,,,,4.0,3.0,6.0,,,,,,3.0,8.0,9.0,3.0,1.0,1.0,99.0,99.0,6.0,1.9247749657585804,4.0,3.0,161300117.0
57.0,4.0,1.0,16.0,1.0,4.0,1.0,5.0,9.0,,1.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,2.0,5.0,,,,,,4.0,,,,,,,,2.0,9.0,5.0,1.0,1.0,15.0,5.0,5.0,4.0,0.826586997030591,4.0,3.0,161302148.0
30.0,2.0,1.0,16.0,1.0,4.0,3.0,8.0,,,1.0,1.0,,,3.0,1.0,2.0,2.0,3.0,3.0,2.0,5.0,,,1.0,2.0,3.0,4.0,3.0,3.0,2.0,,,,,,4.0,,,,,,,,3.0,6.0,8.0,2.0,1.0,6.0,3.0,2.0,4.0,1.383507411992299,4.0,3.0,161313242.0
37.0,3.0,2.0,16.0,2.0,4.0,1.0,6.0,8.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,2.0,1.0,2.0,4.0,2.0,4.0,2.0,1.0,3.0,5.0,,,6.0,2.0,4.0,,,,,,1.0,2.0,9.0,1.0,1.0,11.0,98.0,6.0,4.0,1.926112995095132,4.0,3.0,161315811.0
