IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2_1,P2_2,P2_3,P3,P4_1,P4_2,P4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,P7E,P8,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P11_1,P11_2,P11_3,P12,P_RACA,P_RELIGIAO,REND1,REND2,REGIAO,FATOR_POND,TIPO_COLETA,AMOSTRA,ID
26.0,2.0,2.0,15.0,1.0,4.0,1.0,5.0,7.0,9.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,7.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,5.0,,,,,5.0,6.0,4.0,,,,,,6.0,2.0,5.0,1.0,3.0,16.0,5.0,4.0,3.0,0.5127156832163831,4.0,3.0,161152575.0
57.0,4.0,1.0,14.0,1.0,4.0,1.0,1.0,5.0,9.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,2.0,1.0,,,,4.0,1.0,3.0,,,,,,1.0,2.0,7.0,1.0,2.0,1.0,99.0,99.0,4.0,1.1622105727079546,4.0,3.0,161152968.0
54.0,4.0,1.0,14.0,1.0,4.0,2.0,4.0,6.0,8.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,,,2.0,2.0,2.0,2.0,2.0,4.0,99.0,,,,,,99.0,,,,,,,,2.0,1.0,3.0,2.0,1.0,8.0,5.0,5.0,4.0,1.1622105727079546,4.0,3.0,161154598.0
40.0,3.0,2.0,16.0,1.0,4.0,1.0,1.0,5.0,6.0,1.0,98.0,,,1.0,1.0,1.0,1.0,99.0,2.0,99.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,,,,99.0,,,,,,,,5.0,2.0,3.0,1.0,3.0,99.0,99.0,6.0,3.0,0.6065758638380376,4.0,3.0,161156987.0
42.0,3.0,1.0,16.0,1.0,4.0,2.0,5.0,,,3.0,5.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,,3.0,3.0,3.0,3.0,3.0,4.0,2.0,,,,,,7.0,1.0,,,,,,,8.0,9.0,6.0,3.0,2.0,99.0,5.0,5.0,5.0,1.8500595639310249,4.0,3.0,161160366.0
31.0,2.0,1.0,14.0,2.0,4.0,1.0,1.0,5.0,6.0,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,5.0,2.0,,,,6.0,4.0,8.0,,,,,,4.0,7.0,9.0,1.0,3.0,1.0,6.0,6.0,7.0,0.6780927414549983,4.0,3.0,161161309.0
42.0,3.0,1.0,14.0,1.0,4.0,1.0,2.0,4.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,4.0,2.0,,,6.0,2.0,1.0,4.0,3.0,5.0,,,2.0,8.0,1.0,1.0,3.0,1.0,98.0,6.0,4.0,1.8174701961104263,4.0,3.0,161165119.0
27.0,2.0,1.0,14.0,1.0,4.0,2.0,1.0,5.0,9.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,7.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,,,,,1.0,,,,,,,,5.0,8.0,6.0,1.0,3.0,2.0,4.0,4.0,5.0,1.7915723317643486,4.0,3.0,161167440.0
33.0,2.0,2.0,11.0,2.0,3.0,2.0,2.0,,,3.0,3.0,4.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,,1.0,1.0,1.0,1.0,1.0,5.0,6.0,,,,,,2.0,,,,,,,,5.0,1.0,8.0,1.0,3.0,99.0,99.0,99.0,4.0,3.064696742297402,4.0,3.0,161167542.0
30.0,2.0,1.0,16.0,1.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,8.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,,,,6.0,,,,,,,,5.0,1.0,4.0,1.0,1.0,18.0,3.0,3.0,6.0,0.6462502799540961,4.0,3.0,161167636.0
