IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4,P5,P6,P7_1,P7_2,P8,P9,P10A,P10B,P10C,P10D,P10E,P10F,P10G,P10H,P10I,P10J,P10K,P10L,P10M,P11_1,P11_2,P11_3,P12,P13,P14,P15,P16,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_98,P18,P19,P20_1,P20_2,P20_3,P20_4,P20_5,P20_6,P20_7,P20_8,P20_9,P20_10,P20_11,P20_12,P20_13,P20_97,P20_99,P21A,P21B,P22_1,P22_2,P22_3,P22_4,P22_5,P22_6,P22_7,P22_8,P22_9,P22_10,P22_11,P22_12,P22_13,P22_14,P22_15,P22_99,P23_1,P23_2,P23_3,P23_4,P23_5,P23_6,P23_7,P23_8,P23_9,P23_10,P23_11,P23_12,P23_13,P23_14,P23_15,P23_16,P23_17,P23_99,RACA_COR,RELIGIAO,REND1,REND2,REGIAO_SP,TIPO_COLETA,AMOSTRA,FATOR_POND,ID,Nquest
46.0,4.0,2.0,16.0,1.0,3.0,5.0,4.0,2.0,1.0,2.0,5.0,9.0,7.0,5.0,9.0,99.0,99.0,99.0,99.0,99.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,2.0,99.0,,,99.0,99.0,3.0,99.0,1.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,5.0,5.0,,,,,,,,8.0,9.0,10.0,,12.0,,14.0,15.0,,,,,,,,,,9.0,,11.0,,,14.0,15.0,,17.0,,1.0,99.0,6.0,6.0,1.0,4.0,2.0,0.43276388091253837,4838335.0,161.0
35.0,3.0,2.0,16.0,1.0,4.0,7.0,4.0,2.0,2.0,1.0,13.0,3.0,15.0,7.0,7.0,2.0,99.0,2.0,99.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,15.0,14.0,,4.0,4.0,3.0,3.0,1.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,5.0,5.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,15.0,,,,3.0,1.0,5.0,3.0,5.0,4.0,2.0,1.781210325307444,4838550.0,194.0
43.0,3.0,2.0,16.0,2.0,3.0,8.0,3.0,2.0,2.0,99.0,9.0,6.0,,7.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,97.0,,,3.0,99.0,2.0,4.0,3.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,5.0,5.0,,,,,,,,8.0,9.0,10.0,11.0,,,,,,,,,,,6.0,,,9.0,,11.0,,,14.0,,,,,1.0,15.0,99.0,5.0,2.0,4.0,2.0,1.1229714972322704,4838600.0,199.0
59.0,5.0,1.0,15.0,2.0,3.0,7.0,3.0,2.0,1.0,4.0,4.0,9.0,16.0,1.0,1.0,2.0,2.0,1.0,99.0,2.0,99.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,97.0,,,5.0,5.0,3.0,5.0,2.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,5.0,2.0,,,,4.0,,,,,9.0,,,,,14.0,15.0,,,,,,,,,8.0,9.0,,,,13.0,,15.0,16.0,,,1.0,1.0,3.0,3.0,3.0,4.0,2.0,0.7157095739076186,4838943.0,216.0
66.0,5.0,2.0,14.0,1.0,2.0,5.0,4.0,3.0,1.0,11.0,13.0,9.0,11.0,5.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,1.0,1.0,2.0,2.0,97.0,,,5.0,5.0,2.0,5.0,3.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,5.0,5.0,,,,,,,,8.0,9.0,10.0,11.0,12.0,,14.0,15.0,,,,,,,,,8.0,9.0,,11.0,12.0,13.0,,15.0,16.0,,,1.0,19.0,3.0,3.0,5.0,4.0,2.0,1.3945391874132183,4838959.0,218.0
64.0,5.0,1.0,14.0,2.0,4.0,1.0,5.0,1.0,1.0,10.0,10.0,11.0,9.0,10.0,10.0,2.0,2.0,2.0,1.0,99.0,1.0,99.0,2.0,1.0,2.0,2.0,1.0,2.0,97.0,,,5.0,4.0,2.0,5.0,3.0,,,,,,,99.0,1.0,3.0,,,,,,,,,,,,,,97.0,,3.0,3.0,,,,,,,,8.0,9.0,10.0,,,,14.0,,,,,,,,,,,9.0,,,,13.0,,15.0,,,,1.0,99.0,4.0,4.0,3.0,4.0,2.0,0.6628555755417062,4839359.0,241.0
52.0,4.0,1.0,14.0,1.0,4.0,8.0,3.0,1.0,1.0,11.0,2.0,4.0,1.0,10.0,10.0,99.0,99.0,1.0,99.0,99.0,1.0,99.0,99.0,99.0,99.0,1.0,1.0,2.0,17.0,13.0,,2.0,2.0,2.0,99.0,2.0,,,,,,,99.0,2.0,3.0,,,,,,,,,,,,,,97.0,,3.0,3.0,,,,4.0,5.0,,7.0,8.0,9.0,,11.0,,,14.0,,,,,,4.0,5.0,,,8.0,9.0,,,,,,15.0,,,,1.0,10.0,4.0,4.0,1.0,4.0,2.0,0.29089756594556293,4840008.0,282.0
36.0,3.0,2.0,16.0,2.0,3.0,4.0,4.0,3.0,1.0,9.0,4.0,9.0,12.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,99.0,1.0,2.0,2.0,1.0,99.0,11.0,14.0,12.0,4.0,99.0,3.0,99.0,2.0,,,,,,,99.0,2.0,3.0,,,,,,,,,,,,,,97.0,,99.0,99.0,,2.0,,,,,,,9.0,10.0,11.0,12.0,,14.0,,,,2.0,,,,,,8.0,,,11.0,,,,15.0,,,,1.0,15.0,99.0,4.0,5.0,4.0,2.0,1.8528031160682412,4840341.0,289.0
63.0,5.0,1.0,16.0,1.0,2.0,7.0,3.0,2.0,2.0,10.0,12.0,4.0,1.0,8.0,7.0,99.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,3.0,13.0,2.0,3.0,3.0,5.0,5.0,,,,,,,99.0,1.0,99.0,,,,,,,,,,,,,,97.0,,4.0,5.0,1.0,,,,,,,8.0,9.0,10.0,11.0,12.0,,14.0,15.0,,,,,,,,,,9.0,,11.0,12.0,13.0,,15.0,,17.0,,1.0,1.0,4.0,2.0,5.0,4.0,2.0,0.5758504881819568,4840422.0,294.0
47.0,4.0,1.0,16.0,1.0,4.0,6.0,4.0,2.0,1.0,12.0,9.0,3.0,15.0,3.0,10.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,17.0,5.0,10.0,5.0,5.0,1.0,5.0,3.0,,,,,,,99.0,2.0,3.0,,,,,,,,,,,,,,97.0,,5.0,5.0,1.0,,,4.0,,,,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,,,,,,,11.0,,13.0,14.0,15.0,,,,1.0,19.0,5.0,5.0,4.0,4.0,2.0,0.12061948381722035,4840439.0,296.0
