DS_OCUPACAO,Percentage
ECONOMISTA,0.05299795363003535
TRABALHADOR METALÚRGICO E SIDERÚRGICO,0.05105109002729936
MASSAGISTA,0.04953686278072691
"ENCANADOR, SOLDADOR, CHAPEADOR E CALDEIREIRO",0.04867159006839981
TRABALHADOR DE FABRICAÇÃO DE ROUPAS,0.0478063173560727
ATLETA PROFISSIONAL E TÉCNICO EM DESPORTOS,0.046724726465663814
BIÓLOGO,0.04650840828758204
FUNILEIRO,0.0449941810410096
PRODUTOR DE ESPETÁCULOS PÚBLICOS,0.04239836290402828
AGENTE POSTAL,0.04088413565745584
TÉCNICO DE MECÂNICA,0.03915359023280162
ARTISTA PLÁSTICO E ASSEMELHADOS,0.03807199934239274
CATADOR DE RECICLÁVEIS,0.037639362986229184
TRABALHADOR DE FABRICAÇÃO E PREPARAÇÃO DE ALIMENTOS E BEBIDAS,0.03677409027390208
BIOMÉDICO,0.03590881756157497
DEPUTADO,0.03352931760267542
MONTADOR DE ESTRUTURA METÁLICA,0.03223140853418476
DIRETOR DE EMPRESAS,0.03158245399993943
LAVADOR DE VEÍCULOS,0.030068226753366994
"EMBALADOR, EMPACOTADOR E ASSEMELHADOS",0.028986635862958104
TÉCNICO EM EDIFICAÇÕES,0.028770317684876333
AUXILIAR DE LABORATÓRIO,0.027688726794467444
GUIA DE TURISMO,0.02682345408214034
COMUNICÓLOGO,0.02574186319173145
DECORADOR,0.02552554501364968
TORNEIRO MECÂNICO,0.02552554501364968
PROTÉTICO,0.02379499958899546
"MARINHEIRO CIVIL, CANOEIRO, EMBARCADO E ASSEMELHADOS",0.023578681410913686
DIGITADOR,0.023362363232831907
AGENTE DE SERVIÇOS FUNERÁRIOS E EMBALSAMADOR,0.0224970905205048
ESCULTOR E PINTOR,0.021631817808177693
ESCRITOR E CRÍTICO,0.02119918145201414
MEMBRO DAS FORÇAS ARMADAS,0.020766545095850585
TAXISTA E MOTORISTA PARTICULAR,0.020117590561605257
ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS,0.019901272383523478
"TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS",0.019901272383523478
LANTERNEIRO E PINTOR DE VEÍCULOS,0.0196849542054417
SERVENTUÁRIO DE JUSTIÇA,0.0196849542054417
DESENHISTA,0.01903599967119637
"PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA, FAXINEIRO E ZELADOR",0.018819681493114592
RELAÇÕES-PÚBLICAS,0.017738090602705706
AGENTE DE VIAGEM,0.01752177242462393
TRABALHADOR DE FABRICAÇÃO DE CALÇADOS E ARTEFATOS DE COURO,0.017305454246542153
"OPERADOR DE EQUIPAMENTO DE RÁDIO, TELEVISÃO, SOM E CINEMA",0.017305454246542153
"ENCANADOR,SOLDADOR,CHAPEADOR,CALDEIREIRO,MONTADOR DE ESTRUTURA METÁLIC",0.017089136068460378
ZOOTECNISTA,0.017089136068460378
OPERADOR DE COMPUTADOR,0.017089136068460378
FONOAUDIÓLOGO,0.01665649971229682
SOCIÓLOGO,0.01622386335613327
CHAVEIRO,0.014925954287642608
TELEFONISTA,0.014709636109560833
"ESCULTOR, PINTOR, ARTISTA PLÁSTICO E ASSEMELHADOS",0.014709636109560833
COBRADOR DE TRANSPORTE COLETIVO,0.014276999753397277
AGENCIADOR DE PROPAGANDA,0.01341172704107017
HISTORIADOR,0.013195408862988391
TAPECEIRO,0.013195408862988391
"TÉCNICO DE MINERAÇÃO, METALURGIA E GEOLOGIA",0.013195408862988391
ASTRÔNOMO,0.01276277250682484
GARIMPEIRO,0.01254645432874306
COVEIRO,0.01254645432874306
"BOMBEIRO E INSTALADOR DE GÁS, ÁGUA, ESGOTO E ASSEMELHADOS",0.012330136150661284
LEITURISTA,0.011464863438334177
GEÓGRAFO,0.011464863438334177
PROGRAMADOR DE COMPUTADOR,0.011464863438334177
QUÍMICO,0.011464863438334177
TÉCNICO DE QUÍMICA,0.011464863438334177
TRABALHADOR DE HOTELARIA,0.010383272547925293
"ESTIVADOR, CARREGADOR E ASSEMELHADOS",0.010383272547925293
CIENTISTA POLÍTICO,0.010166954369843516
NÃO DIVULGÁVEL,0.010166954369843516
TRABALHADOR DE ARTES GRÁFICAS,0.009734318013679962
CERAMISTA E OLEIRO,0.009734318013679962
TRABALHADOR FLORESTAL,0.009734318013679962
TRABALHADOR DE FABRICAÇÃO DE PRODUTOS TÊXTEIS (EXCETO ROUPAS),0.009085363479434632
MONTADOR DE MÁQUINAS,0.008869045301352853
"SENADOR, DEPUTADO E VEREADOR",0.008652727123271076
BIBLIOTECÁRIO,0.0084364089451893
