tema,ocorrencias,freq_por_10k
economia,74,65.42303951905225
educacao,58,51.27751746087879
corrupcao,43,38.01609053134118
armas,22,19.450092829988506
moralidade_sexualidade,17,15.0296171868093
democracia,13,11.493236672265935
saude,10,8.840951286358413
fake_news,6,5.3045707718150465
religiao,2,1.7681902572716823
