Número,Título,Data,Local,Instituto de Pesquisa,Link
4635,CONFIANÇA NAS INSTITUIÇÕES BRASILEIRAS (ICS),07/2015,BRASIL,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4479
4644,PERFIL DOS USUÁRIOS DE CRACK,04/2017,SÃO PAULO/CAP,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4488
4666,AVALIAÇÃO DA CONJUNTURA ECONÔMICA E SOCIAL E COPA DO MUNDO,03/2014,BRASIL,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4510
4683,CONJUNTURA E AVALIAÇÃO NACIONAL II,12/2015,BRASIL,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4528
4710,OPINIÃO SOBRE O CORONAVÍRUS - 9ª ONDA,01/2021,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4573
4703,OPINIÃO SOBRE O CORONAVÍRUS – 2ª ONDA,04/2020,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4547
4713,OPINIÃO SOBRE O CORONAVÍRUS – 12ª ONDA,07/2021,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4600
4722,CONFIANÇA NAS INSTITUIÇÕES BRASILEIRAS (ICS),09/2020,BRASIL,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4592
4745,"AVALIAÇÃO DO GOVERNO JAIR BOLSONARO/ARMA DE FOGO/AUXILIO EMERGENCIAL/PANDEMIA: EDUCAÇÃO, VACINA E MULHERES",02/2021,BRASIL,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4593
4747,"PANDEMIA DO CORONAVÍRUS: EDUCAÇÃO, SAÚDE E VACINA",04/2021,SÃO PAULO/CAP,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4595
4748,DEMOCRACIA E ELEIÇÕES,09/2021,BRASIL,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4602
4746,MEIO AMBIENTE E MUDANÇAS CLIMÁTICAS,04/2021,SÃO PAULO/CAP,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4610
4749,IGUALDADE DE GÊNERO/ VIOLÊNCIA COM A MULHER,12/2020,SÃO PAULO/CAP,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4603
4752,LGBTQIA+/ DIVERSIDADE,04/2021,SÃO PAULO/CAP,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4606
4813,AVALIAÇÃO GOVERNO LULA-2023 / PERCEPÇÕES SOBRE AS MANIFESTAÇÕES DE 2013,06/2023,BRASIL,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4649
4817,MEIO AMBIENTE E MUDANÇAS CLIMÁTICAS,11/2021,SÃO PAULO/CAP,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4652
4820,A CARA DA DEMOCRACIA 2018 - PAINEL A,03/2018,BRASIL,INCT-INSTITUTO DA DEMOCRACIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4684
4824,A CARA DA DEMOCRACIA 2019,11/2019,BRASIL,INCT-INSTITUTO DA DEMOCRACIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4688
4825,A CARA DA DEMOCRACIA 2020,05/2020,BRASIL,INCT-INSTITUTO DA DEMOCRACIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4689
4829,PERCEPÇÃO DOS BRASILEIROS SOBRE O RACISMO NO BRASIL,04/2023,BRASIL,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4691
4836,AVALIAÇÃO DOS BRASILEIROS SOBRE O GOVERNO FEDERAL / OPINIÃO SOBRE O ATO CONVOCADO PELO EX-PRESIDENTE JAIR BOLSONARO...,03/2024,BRASIL,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4701
4841,CONTEXTO DAS ELEIÇÕES PARA PREFEITOS NO PAÍS,03/2024,BRASIL,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4695
4842,OPINIÃO DOS BRASILEIROS SOBRE ATUAÇÃO GOVERNO FEDERAL EM DIVERSAS ÁREAS,04/2024,BRASIL,IPEC-INTELIGÊNCIA EM PESQUISA E CONSULTORIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4697
