wave,count,mean,std,min,max
wave-2-1991-br,1782,1.74,0.252,1.0,2.5
wave-3-1997-br,1143,1.686,0.28,1.0,2.75
wave-5-2006-br,1500,1.145,0.287,0.5,2.333
wave-6-2014-br,1486,1.342,0.55,0.667,4.333
wave-7-2018-br,1762,1.543,0.599,0.5,4.5
