,saliencia,religiosidade_individual,frequencia,organizacao
saliencia,1.0,-0.23682459835018332,-0.1890577847764657,0.2999965771970651
religiosidade_individual,-0.23682459835155484,1.0,0.24006545001906646,-0.2999891914658307
frequencia,-0.1890577847765779,0.24006545001938911,1.0,-0.39991112025555686
organizacao,0.29999657719707096,-0.2999891914657865,-0.39991112025615716,1.0
