variável_dependente;n_observações;r_quadrado;r_quadrado_ajustado;f_estatística;f_pvalor;log_likelihood;aic;bic
y_moral_inv;7186;0.07477449216752696;0.07361409228312166;61.051123545917385;2.5029645958750727e-108;-7800.730572078321;15621.461144156641;15690.260043833376
y_intitucional_4vars;7186;0.025504028980617544;0.024281835037031296;21.887518281148143;4.873887618881985e-37;-7244.380217362479;14508.760434724958;14577.559334401692
