Variável_Dependente;Variável;Nome_Legível;Coeficiente;Erro_Padrão;t_estatística;p_valor;IC_95_inf;IC_95_sup;Significância
y_moral_inv;const;Constante;-0.04550273634799683;0.03071051455240394;-1.4816663612181318;0.13847300579703314;-0.10570439432298434;0.014698921626990685;
y_moral_inv;freq_inv_z;Frequência a serviços religiosos;0.11074386183754335;0.009954821556717605;11.124645600785518;1.6270242154764006e-28;0.09122947820398633;0.13025824547110038;***
y_moral_inv;pert_r_z;Pertencimento a org. religiosa;0.001364302711699115;0.008501555478457002;0.16047683452237266;0.8725099861537957;-0.015301251175263902;0.01802985659866213;
y_moral_inv;import_relig_z;Importância da religião;0.0625922634235743;0.009660132044027207;6.479441806623612;9.815343595977458e-11;0.04365555807090477;0.08152896877624383;***
y_moral_inv;relig_r;Autoidentificação religiosa (1=Religioso);0.03375932135514916;0.025634831819407528;1.3169316495999313;0.18790359487410863;-0.016492502814221405;0.08401114552451973;
y_moral_inv;GrupoEv;Evangélico;0.22683316287244987;0.059348956997855494;3.822024418738247;0.00013347974191367282;0.110491718828574;0.34317460691632573;***
y_moral_inv;ameaca_tipo_moral;Ameaça moral;-0.023056669109027046;0.019567341285367888;-1.178324064203266;0.23870651509513144;-0.06141442392721717;0.015301085709163074;
y_moral_inv;ameaca_tipo_moral_x_GrupoEv;Ameaça moral × Evangélico;-0.09775010310268151;0.06419938623763712;-1.522601832061989;0.1279024203437579;-0.22359981773013685;0.028099611524773832;
y_moral_inv;dummy_sex;Sexo (1=Masculino);0.0299507206586927;0.017741271765678735;1.6881946826739715;0.09141732149751211;-0.00482739981389604;0.06472884113128144;.
y_moral_inv;dummy_ethnic;Raça/Etnia (1=Branco);0.0010594642330877136;0.018278254294391855;0.05796309735185045;0.9537796372253878;-0.03477130022815738;0.036890228694332804;
y_moral_inv;escol_z;Escolaridade;-0.10312328811321304;0.008732005231184855;-11.80980603915879;6.847699562194524e-32;-0.12024059142203837;-0.08600598480438772;***
y_intitucional_4vars;const;Constante;0.05963807522067216;0.028018496204179184;2.128525199427964;0.03332753711098136;0.004713566463932818;0.11456258397741151;*
y_intitucional_4vars;freq_inv_z;Frequência a serviços religiosos;-0.044017449218153766;0.009163893907861553;-4.803356483687783;1.5919368758915293e-06;-0.06198138159769016;-0.026053516838617365;***
y_intitucional_4vars;pert_r_z;Pertencimento a org. religiosa;-0.008654214806947605;0.007470594062134566;-1.1584372989575669;0.24672418117125494;-0.023298780525023245;0.005990350911128034;
y_intitucional_4vars;import_relig_z;Importância da religião;-0.04180132366374174;0.008637882019782496;-4.839302454931459;1.3301706398274096e-06;-0.05873411774297786;-0.02486852958450562;***
y_intitucional_4vars;relig_r;Autoidentificação religiosa (1=Religioso);-0.08608092141119003;0.022539460114499494;-3.8191208207251917;0.00013505732599286994;-0.13026490492727721;-0.04189693789510284;***
y_intitucional_4vars;GrupoEv;Evangélico;0.036477154787624894;0.07140866882896205;0.5108225007666076;0.6094910683371071;-0.10350487807459613;0.17645918764984592;
y_intitucional_4vars;ameaca_tipo_moral;Ameaça moral;-0.02277250308076019;0.01794099777112218;-1.2692996995638;0.20437536365855014;-0.05794214537718225;0.012397139215661872;
y_intitucional_4vars;ameaca_tipo_moral_x_GrupoEv;Ameaça moral × Evangélico;0.07542750137480503;0.07507951021406124;1.0046349684454736;0.31510653164381336;-0.07175046228724274;0.2226054650368528;
y_intitucional_4vars;dummy_sex;Sexo (1=Masculino);-0.029810074113222947;0.016011822107599532;-1.8617540160575783;0.0626786275620069;-0.06119796363989309;0.0015778154134471999;.
y_intitucional_4vars;dummy_ethnic;Raça/Etnia (1=Branco);0.03190385836282296;0.016947730621977544;1.8824855713395958;0.059810546984243075;-0.0013186876357314525;0.06512640436137737;.
y_intitucional_4vars;escol_z;Escolaridade;0.0559350041970985;0.007915003414883437;7.066958946842381;1.732698397946141e-12;0.040419265193748846;0.07145074320044816;***
