variável_dependente;reset_f_statistic;reset_f_pvalue;reset_df;especificação_correta;interpretação
y_moral_inv;7.8354971613141995;0.0003988394454691149;7176.0;Não;Rejeita H0 (modelo mal especificado)
y_intitucional_4vars;1.1207239804881013;0.3261007366610905;7176.0;Sim;Não rejeita H0 (modelo bem especificado)
