Y_moral_inv;Y_institucional_4var;Y_global;wave;year;year_dummy
-0.4197613573829222;0.806318331929114;0.19327848727309588;wave-2-1991-br;1991;1991
-0.5365987175133752;0.5637567895195238;0.013579036003074307;wave-2-1991-br;1991;1991
-0.4276997290386346;0.0531198138338389;-0.18728995760239786;wave-2-1991-br;1991;1991
-0.3969476523247337;0.0551494381449864;-0.17089910708987366;wave-2-1991-br;1991;1991
0.6587567157565967;0.5691282064905581;0.6139424611235773;wave-2-1991-br;1991;1991
0.2705555969045729;0.5655524327831899;0.4180540148438814;wave-2-1991-br;1991;1991
-0.5396253421541166;0.0528858327863573;-0.24336975468387967;wave-2-1991-br;1991;1991
0.7558069954696025;-0.430441608769157;0.16268269335022276;wave-2-1991-br;1991;1991
-0.7455746103418631;0.8114557678526668;0.03294057875540185;wave-2-1991-br;1991;1991
-0.639131495374608;-0.7025762906675468;-0.6708538930210775;wave-2-1991-br;1991;1991
0.7558069954696025;-0.430441608769157;0.16268269335022276;wave-2-1991-br;1991;1991
0.3676058766175789;-0.6913654946305152;-0.16187980900646817;wave-2-1991-br;1991;1991
-1.6538072390225071;0.3138097186477155;-0.6699987601873958;wave-2-1991-br;1991;1991
0.7558069954696025;-0.4306755898166385;0.162565702826482;wave-2-1991-br;1991;1991
0.7558069954696025;0.3227569093261181;0.5392819523978603;wave-2-1991-br;1991;1991
-0.1176455219474507;-0.6857600966119994;-0.40170280927972507;wave-2-1991-br;1991;1991
0.7558069954696025;-0.439622780495041;0.15809210748728075;wave-2-1991-br;1991;1991
0.7558069954696025;-0.6857600966119994;0.035023449428801534;wave-2-1991-br;1991;1991
0.7558069954696025;0.3012867542619449;0.5285468748657737;wave-2-1991-br;1991;1991
-1.024876740719146;-0.439622780495041;-0.7322497606070935;wave-2-1991-br;1991;1991
0.173505317191567;0.0620670045122413;0.11778616085190416;wave-2-1991-br;1991;1991
-0.0205952422344447;0.5507658630387899;0.26508531040217265;wave-2-1991-br;1991;1991
0.7558069954696025;0.8211049016735139;0.7884559485715582;wave-2-1991-br;1991;1991
-1.249729376859059;0.0584912308048731;-0.5956190730270929;wave-2-1991-br;1991;1991
-0.1909983841369872;0.3138097186477155;0.06140566725536416;wave-2-1991-br;1991;1991
-1.2774548289322183;-0.1843042926521986;-0.7308795607922085;wave-2-1991-br;1991;1991
0.0764550374785611;1.3133795339074308;0.6949172856929959;wave-2-1991-br;1991;1991
0.1972027347150364;1.3077741358889148;0.7524884353019756;wave-2-1991-br;1991;1991
0.7558069954696025;1.5595168500243892;1.1576619227469958;wave-2-1991-br;1991;1991
-1.3745051086452242;0.0676724025307571;-0.6534163530572336;wave-2-1991-br;1991;1991
-1.269516457276506;-0.184070311604717;-0.7267933844406116;wave-2-1991-br;1991;1991
0.7558069954696025;-1.439192595754756;-0.34169280014257675;wave-2-1991-br;1991;1991
-1.0476904457773348;0.0674384214832756;-0.4901260121470296;wave-2-1991-br;1991;1991
0.2705555969045729;-0.6857600966119994;-0.20760224985371326;wave-2-1991-br;1991;1991
0.7558069954696025;-0.694707287290402;0.03054985408960026;wave-2-1991-br;1991;1991
-0.7218771928183938;-0.193251483330601;-0.45756433807449737;wave-2-1991-br;1991;1991
-0.2572965871360922;0.0710141951906438;-0.09314119597272422;wave-2-1991-br;1991;1991
-0.4821492232760049;-0.439622780495041;-0.460886001885523;wave-2-1991-br;1991;1991
0.336853799903678;1.0672422177904723;0.7020480088470752;wave-2-1991-br;1991;1991
-1.5304859708348788;0.0526518517388757;-0.7389170595480016;wave-2-1991-br;1991;1991
-0.5846820011372378;0.8098941056364821;0.11260605224962217;wave-2-1991-br;1991;1991
-1.6008122083836736;1.5595168500243892;-0.020647679179642164;wave-2-1991-br;1991;1991
-0.9902143268992232;0.0531198138338389;-0.46854725653269214;wave-2-1991-br;1991;1991
0.7558069954696025;-0.1968272570379693;0.2794898692158166;wave-2-1991-br;1991;1991
0.7558069954696025;0.5566052421047873;0.6562061187871949;wave-2-1991-br;1991;1991
-0.8189274725313996;-0.193251483330601;-0.5060894779310003;wave-2-1991-br;1991;1991
-0.1909983841369872;0.559947034764674;0.1844743253138434;wave-2-1991-br;1991;1991
0.5617064360435907;0.8098941056364821;0.6858002708400364;wave-2-1991-br;1991;1991
-2.302094158967623;-0.4340173824765252;-1.3680557707220742;wave-2-1991-br;1991;1991
0.7558069954696025;1.0616368197719563;0.9087219076207794;wave-2-1991-br;1991;1991
-0.9530960395718144;-0.4360470067876728;-0.6945715231797436;wave-2-1991-br;1991;1991
0.7558069954696025;-0.7000787042614363;0.027864145604083124;wave-2-1991-br;1991;1991
-0.3430689092206193;-0.1751231209263145;-0.2590960150734669;wave-2-1991-br;1991;1991
0.7558069954696025;1.3133795339074308;1.0345932646885165;wave-2-1991-br;1991;1991
0.7558069954696025;-0.4447602164185937;0.1555233895255044;wave-2-1991-br;1991;1991
-0.1176455219474507;-1.1838741079119135;-0.650759814929682;wave-2-1991-br;1991;1991
0.7558069954696025;-0.439622780495041;0.15809210748728075;wave-2-1991-br;1991;1991
