Freq_inv;Freq_inv_z;wave;year
4.0;-0.27362624097859817;wave-2-1991-br;1991
4.0;-0.27362624097859817;wave-2-1991-br;1991
1.0;-1.4895912320605489;wave-2-1991-br;1991
1.0;-1.4895912320605489;wave-2-1991-br;1991
1.0;-1.4895912320605489;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
3.0;-0.6789479046725817;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
6.0;0.537017086409369;wave-2-1991-br;1991
8.0;1.347660413797336;wave-2-1991-br;1991
4.0;-0.27362624097859817;wave-2-1991-br;1991
6.0;0.537017086409369;wave-2-1991-br;1991
6.0;0.537017086409369;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
7.0;0.9423387501033524;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
8.0;1.347660413797336;wave-2-1991-br;1991
6.0;0.537017086409369;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
8.0;1.347660413797336;wave-2-1991-br;1991
8.0;1.347660413797336;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
6.0;0.537017086409369;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
1.0;-1.4895912320605489;wave-2-1991-br;1991
8.0;1.347660413797336;wave-2-1991-br;1991
1.0;-1.4895912320605489;wave-2-1991-br;1991
7.0;0.9423387501033524;wave-2-1991-br;1991
7.0;0.9423387501033524;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
3.0;-0.6789479046725817;wave-2-1991-br;1991
4.0;-0.27362624097859817;wave-2-1991-br;1991
7.0;0.9423387501033524;wave-2-1991-br;1991
7.0;0.9423387501033524;wave-2-1991-br;1991
6.0;0.537017086409369;wave-2-1991-br;1991
1.0;-1.4895912320605489;wave-2-1991-br;1991
1.0;-1.4895912320605489;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
6.0;0.537017086409369;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
2.0;-1.0842695683665653;wave-2-1991-br;1991
