Categoria,Indice,Cronbach_Alpha,Ordinal_Alpha,Pearson,Spearman,Kendall,Polychoric,N
Evangélicos,Religiosidade Subjetiva,-0.5683457886948218,,-0.3021282518003381,-0.3085559193642263,-0.299396386681286,-0.43813849104850633,1420
Evangélicos,Religiosidade Institucional,0.09892299524984227,0.1730356277537976,0.054165602915343364,0.05096879921490049,0.047679916376293374,0.09471209750032235,1405
Católicos,Religiosidade Subjetiva,-0.24268518878287004,-0.46456978217536754,-0.13461041691124578,-0.14906635861155218,-0.14160681500124295,-0.1884993419684437,3630
Católicos,Religiosidade Institucional,-0.11752682478718812,-0.2578543612740152,-0.05808048465640459,-0.05744254017693777,-0.05451033291430959,-0.11420327444349354,3668
Outras,Religiosidade Subjetiva,-0.3072320868273928,-0.6141467830583651,-0.1704383045156825,-0.17941931426480565,-0.17056706142448713,-0.23493201951722745,2367
Outras,Religiosidade Institucional,0.07036424124386542,0.11916568811278994,0.040666635760642104,0.03435629773448076,0.03252427008932314,0.06335788716722224,2322
