wave,count,mean,std,min,max
wave-2-1991-br,1782,0.583,0.194,0.0,1.0
wave-3-1997-br,1143,0.304,0.125,0.0,0.917
wave-5-2006-br,1500,0.212,0.171,0.0,0.778
wave-6-2014-br,1486,0.14,0.119,0.0,0.833
wave-7-2018-br,1762,0.38,0.173,0.0,1.0
