Variável_Dependente;Variável;Nome_Legível;Coeficiente;Erro_Padrão;t_estatística;p_valor;IC_95_inf;IC_95_sup;Significância
y_moral_inv;const;Constante;-0.0390336534585921;0.03196743104408409;-1.221044425020061;0.22210931629366856;-0.10169923665886962;0.023631929741685424;
y_moral_inv;freq_inv_z;Frequência a serviços religiosos;0.11073294717406067;0.0099428350317754;11.136959108763177;1.4203104897179643e-28;0.09124206111971625;0.13022383322840508;***
y_moral_inv;pert_r_z;Pertencimento a org. religiosa;0.0012484518345677984;0.008503333494632172;0.1468191075130592;0.8832789268412202;-0.015420587096109481;0.017917490765245077;
y_moral_inv;import_relig_z;Importância da religião;0.06300173809435164;0.009659806711345417;6.522049558233528;7.406368087417452e-11;0.0440656709348218;0.08193780525388147;***
y_moral_inv;relig_r;Autoidentificação religiosa (1=Religioso);0.03157294265739085;0.025758862697431533;1.2257118269642802;0.2203473620062788;-0.01892201739380616;0.08206790270858785;
y_moral_inv;GrupoEv;Evangélico;0.13845496975495092;0.024560587761159974;5.637282425866987;1.793131690036508e-08;0.09030898161870636;0.18660095789119546;***
y_moral_inv;ano_ord;Ano da pesquisa;-0.009732143770825225;0.006366064913360139;-1.5287534612474445;0.1263696492307827;-0.022211506592829784;0.0027472190511793337;
y_moral_inv;dummy_sex;Sexo (1=Masculino);0.03108732354324436;0.01768781977683789;1.7575554214970606;0.07886581820197819;-0.0035860144653183726;0.0657606615518071;.
y_moral_inv;dummy_ethnic;Raça/Etnia (1=Branco);0.0012138710233641071;0.018395319597060606;0.06598803662851674;0.947389188298765;-0.034846375078852056;0.03727411712558027;
y_moral_inv;escol_z;Escolaridade;-0.10305251059531846;0.008729848450455381;-11.804616217586556;7.274346785598418e-32;-0.12016558557602026;-0.08593943561461666;***
y_intitucional_4vars;const;Constante;0.060386118465996556;0.028766997772317664;2.0991456579492564;0.035838908707537684;0.003994327400978215;0.1167779095310149;*
y_intitucional_4vars;freq_inv_z;Frequência a serviços religiosos;-0.04367963383656555;0.009164875916717432;-4.765982020213778;1.916351327458812e-06;-0.06164549082042101;-0.025713776852710084;***
y_intitucional_4vars;pert_r_z;Pertencimento a org. religiosa;-0.00861388198985529;0.007467157325909221;-1.1535691045328873;0.24871529054824085;-0.023251710348068715;0.006023946368358133;
y_intitucional_4vars;import_relig_z;Importância da religião;-0.041696933520466314;0.008639169983707898;-4.826497637979124;1.4182724216238299e-06;-0.058632251990343026;-0.0247616150505896;***
y_intitucional_4vars;relig_r;Autoidentificação religiosa (1=Religioso);-0.08742527270439954;0.02262406776323784;-3.8642596733403565;0.00011240864772969589;-0.1317751111005714;-0.043075434308227654;***
y_intitucional_4vars;GrupoEv;Evangélico;0.10433687025718821;0.02322927622108242;4.491610899288123;7.179295738928791e-06;0.0588006449750551;0.14987309553932132;***
y_intitucional_4vars;ano_ord;Ano da pesquisa;-0.006428341519444293;0.005764107221947459;-1.1152362841148566;0.26478652734213687;-0.017727689915446074;0.004871006876557488;
y_intitucional_4vars;dummy_sex;Sexo (1=Masculino);-0.02995932847281154;0.01597084343107209;-1.8758764120449731;0.06071281500554783;-0.06126688698222973;0.0013482300366066471;.
y_intitucional_4vars;dummy_ethnic;Raça/Etnia (1=Branco);0.0314708211387258;0.016947370248990953;1.8569737178309167;0.0633558395817108;-0.0017510176414844772;0.06469265991893608;.
y_intitucional_4vars;escol_z;Escolaridade;0.055898318602968566;0.007914271440142501;7.062977183148281;1.7827253704321113e-12;0.04038401485056831;0.07141262235536883;***
