Freq_z;wave;year;year_dummy
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
-0.8768540365632984;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
-0.8768540365632984;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
-0.8768540365632984;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
-0.8768540365632984;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
-0.8768540365632984;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
-0.8768540365632984;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
-0.8768540365632984;wave-2-1991-br;1991;1991
-0.8768540365632984;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
-10.325403655041292;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
0.30421466574645084;wave-2-1991-br;1991;1991
