,saliencia,religiosidade_individual,frequencia,organizacao
saliencia,1.0,-0.17556807944920605,-0.16293384903268684,0.2621894656073489
religiosidade_individual,-0.17556807944920605,1.0,0.15713430569366554,-0.13552443653889087
frequencia,-0.16293384903268684,0.15713430569366554,1.0,-0.27073341992770583
organizacao,0.2621894656073489,-0.13552443653889087,-0.27073341992770583,1.0
