variável_dependente;n_observações;r_quadrado;r_quadrado_ajustado;f_estatística;f_pvalor;log_likelihood;aic;bic
y_moral_inv;7186;0.07528021030754395;0.07360405898768863;42.307777659635235;5.227515045864582e-105;-7798.766140670781;15625.532281341562;15721.850740888991
y_intitucional_4vars;7186;0.026492796658486806;0.024728213049529657;15.729023808998864;5.914690400811291e-36;-7240.732746333232;14509.465492666464;14605.783952213893
