Indice,Cronbach_Alpha,Ordinal_Alpha,Pearson,Spearman,Kendall,Polychoric,N
Religiosidade Subjetiva,-0.31178479063667774,-0.620628565317774,-0.1714475172856456,-0.18429439936393366,-0.17556807944920605,-0.236824315178186,7417
Religiosidade Institucional,0.005758450509015578,0.010005661176549406,0.003077345133096523,0.0041512899441209,0.003938526044323756,0.005027984744150027,7395
