,saliencia,religiosidade_individual,frequencia,organizacao
saliencia,1.0,-0.17144751728564536,-0.1556262213270008,0.07987117617614167
religiosidade_individual,-0.17144751728564536,1.0,0.11535240646694421,0.024667699731012478
frequencia,-0.1556262213270008,0.11535240646694421,1.0,0.0030773451330970334
organizacao,0.07987117617614167,0.024667699731012478,0.0030773451330970334,1.0
