,saliencia,religiosidade_individual,frequencia,organizacao
saliencia,1.0,-0.236824315178186,-0.20126181408097502,0.13715329981620705
religiosidade_individual,-0.2368243151793672,1.0,0.2391924498844124,0.0624079739375179
frequencia,-0.20126181408237404,0.23919244988452257,1.0,0.005027984744150027
organizacao,0.13715329981687194,0.06240797393744532,0.005027984744151086,1.0
