wave,n,vif_saliencia,vif_religiosidade_individual,vif_frequencia,vif_organizacao,vif_max,vif_mean,condition_number,determinant,high_correlations_count
wave-2-1991-br,1650,1.0329293177869052,1.0556733664308973,1.0379303221992808,1.0136345722195312,1.0556733664308973,1.0350418946591535,1.6640279599922305,0.9313609950660239,0
wave-3-1997-br,1136,1.0169678538701024,1.2012568090018059,1.2110965260869202,1.0073954138276577,1.2110965260869202,1.1091791506966215,2.44544842178651,0.8180968162204858,0
wave-5-2006-br,1438,1.0046065533245834,1.0400049174706503,1.0395764063749806,1.0041584679015534,1.0400049174706503,1.022086586267942,1.4946938886602665,0.9575138007384724,0
wave-6-2014-br,1402,1.0141622837717164,1.001408036023806,1.0083211858243226,1.0067462126285203,1.0141622837717164,1.0076594295620913,1.271941551384144,0.9848057212001019,0
wave-7-2018-br,1557,1.0023692898852126,1.0021018345905905,1.0022490573899216,1.0018977091400068,1.0023692898852126,1.0021544727514329,1.1140727038577833,0.9957066145042469,0
Todas as ondas,7183,1.054024057249137,1.039291465879279,1.0320317251533668,1.0078854534173634,1.054024057249137,1.0333081754247864,1.6199326806468612,0.9350069572172084,0
