wave;year;year_dummy;aborto_z;homossex_z;prost_z;congresso_z;justica_z;igreja_z;imprensa_z;Y_global
wave-2-1991-br;1991;1991;-0.6004373366082436;-0.4416117452470804;-0.2172349902934425;0.4344139478897296;0.5453012775325089;0.8596849918697804;1.3858731104244368;0.2808556079382413
wave-2-1991-br;1991;1991;-1.473889854025297;0.5002818873445383;-0.6361881858593671;1.4556878992610995;-0.461669579009388;-0.1248642725980531;1.3858731104244368;0.09217585793399566
wave-2-1991-br;1991;1991;-0.3092864974692259;0.5002818873445383;-1.4740945769912162;-0.5868600034816401;-0.461669579009388;-0.1248642725980531;1.3858731104244368;-0.1529457045400783
wave-2-1991-br;1991;1991;-1.473889854025297;0.5002818873445383;-0.2172349902934425;-1.60813395485301;1.552272134074406;-1.1094135370658869;1.3858731104244368;-0.13860645777060793
wave-2-1991-br;1991;1991;0.8553168590868451;0.5002818873445383;0.6206714008384064;1.4556878992610995;0.5453012775325089;-0.1248642725980531;0.400387921766677;0.6075404247474318
wave-2-1991-br;1991;1991;-0.3092864974692259;0.5002818873445383;0.6206714008384064;0.4344139478897296;1.552272134074406;-0.1248642725980531;0.400387921766677;0.43912521740663973
wave-2-1991-br;1991;1991;-0.0181356583302081;-1.3835053778386992;-0.2172349902934425;-0.5868600034816401;-0.461669579009388;0.8596849918697804;0.400387921766677;-0.20104752790241723
wave-2-1991-br;1991;1991;1.1464676982258628;0.5002818873445383;0.6206714008384064;0.4344139478897296;-0.461669579009388;-1.1094135370658869;-0.5850972668910829;0.07795065019031132
wave-2-1991-br;1991;1991;-1.473889854025297;-1.3835053778386992;0.6206714008384064;0.4344139478897296;1.552272134074406;1.8442342563376144;-0.5850972668910829;0.14415703434072538
wave-2-1991-br;1991;1991;-0.8915881757472613;0.0293350710487288;-1.0551413814252917;-0.5868600034816401;-3.4825821486350788;1.8442342563376144;-0.5850972668910829;-0.6753856641134303
wave-2-1991-br;1991;1991;1.1464676982258628;0.5002818873445383;0.6206714008384064;0.4344139478897296;-0.461669579009388;-1.1094135370658869;-0.5850972668910829;0.07795065019031132
wave-2-1991-br;1991;1991;-0.0181356583302081;0.5002818873445383;0.6206714008384064;-0.5868600034816401;-1.468640435551285;-0.1248642725980531;-0.5850972668910829;-0.2375206212384749
wave-2-1991-br;1991;1991;-1.473889854025297;0.5002818873445383;-3.987813750386763;0.4344139478897296;0.5453012775325089;-0.1248642725980531;0.400387921766677;-0.5294546917823799
wave-2-1991-br;1991;1991;1.1464676982258628;0.5002818873445383;0.6206714008384064;0.4344139478897296;-0.461669579009388;-0.1248642725980531;-1.5705824555488426;0.07781694673460761
wave-2-1991-br;1991;1991;1.1464676982258628;0.5002818873445383;0.6206714008384064;1.4556878992610995;0.5453012775325089;-0.1248642725980531;-0.5850972668910829;0.5083498033876115
wave-2-1991-br;1991;1991;-1.473889854025297;0.5002818873445383;0.6206714008384064;-0.5868600034816401;-0.461669579009388;-1.1094135370658869;-0.5850972668910829;-0.44228242175576427
wave-2-1991-br;1991;1991;1.1464676982258628;0.5002818873445383;0.6206714008384064;-0.5868600034816401;-0.461669579009388;-0.1248642725980531;-0.5850972668910829;0.07270426634694906
wave-2-1991-br;1991;1991;1.1464676982258628;0.5002818873445383;0.6206714008384064;-0.5868600034816401;-0.461669579009388;-1.1094135370658869;-0.5850972668910829;-0.0679456285770272
wave-2-1991-br;1991;1991;1.1464676982258628;0.5002818873445383;0.6206714008384064;-1.60813395485301;1.552272134074406;-0.1248642725980531;1.3858731104244368;0.496081143350941
wave-2-1991-br;1991;1991;-1.473889854025297;-1.3835053778386992;-0.2172349902934425;-0.5868600034816401;-0.461669579009388;-0.1248642725980531;-0.5850972668910829;-0.6904459063053717
wave-2-1991-br;1991;1991;-0.6004373366082436;0.5002818873445383;0.6206714008384064;0.4344139478897296;-0.461669579009388;-0.1248642725980531;0.400387921766677;0.1098262813748095
