wave,cronbach_alpha,interpretacao,n
wave-2-1991-br,-0.12136925647634081,Inadequada,1650
wave-3-1997-br,0.108647132942748,Inadequada,1136
wave-5-2006-br,0.07006778072853193,Inadequada,1438
wave-6-2014-br,0.13004264747094765,Inadequada,1402
wave-7-2018-br,-0.06109750230937975,Inadequada,1557
Todas as ondas,-0.03102278471961502,Inadequada,7183
