Variável_Dependente;Variável;Nome_Legível;Coeficiente;Erro_Padrão;t_estatística;p_valor;IC_95_inf;IC_95_sup;Significância
y_moral_inv;const;Constante;-0.030281730884338453;0.03301372150269647;-0.9172468145363474;0.3590441629649601;-0.09499835773408832;0.03443489596541141;
y_moral_inv;freq_inv_z;Frequência a serviços religiosos;0.11683093475743049;0.010717543025171382;10.900906530819574;1.8720922529714884e-27;0.0958213908122105;0.13784047870265048;***
y_moral_inv;pert_r_z;Pertencimento a org. religiosa;0.0035262192340570027;0.009202977666076875;0.38316068581313745;0.7016119818341093;-0.014514330101571011;0.021566768569685018;
y_moral_inv;import_relig_z;Importância da religião;0.06390641532372075;0.010229712925249873;6.247136727168691;4.419396585774969e-10;0.043853162190492914;0.08395966845694859;***
y_moral_inv;relig_r;Autoidentificação religiosa (1=Religioso);0.021736517107933624;0.027369015984752647;0.7942016300492168;0.4271043369782843;-0.03191482282311314;0.07538785703898039;
y_moral_inv;GrupoEv;Evangélico;0.10929515294078823;0.07440123534767253;1.4689964814436012;0.14187760269573602;-0.036553202409349034;0.25514350829092547;
y_moral_inv;freq_inv_z_x_GrupoEv;Frequência a serviços religiosos × Evangélico;-0.04671442556963466;0.028555979545571437;-1.6358894463796918;0.1019066068509841;-0.10269256400606913;0.009263712866799806;
y_moral_inv;pert_r_z_x_GrupoEv;Pertencimento × Evangélico;-0.014948747493364691;0.023731965533611538;-0.6298992585419362;0.5287805643570699;-0.06147039630912812;0.03157290132239873;
y_moral_inv;import_relig_z_x_GrupoEv;Importância × Evangélico;-0.010459689385444308;0.030841609446768337;-0.3391421385935584;0.7345125847841538;-0.07091833624987617;0.049998957478987555;
y_moral_inv;relig_r_x_GrupoEv;Autoidentificação × Evangélico;0.0623333817767915;0.08092634676538404;0.7702483093361924;0.4411779823228983;-0.09630611560616954;0.22097287915975256;
y_moral_inv;dummy_sex;Sexo (1=Masculino);0.03209899962814983;0.017705303423502895;1.812959589584894;0.06987984169736988;-0.0026086147444633195;0.06680661400076297;.
y_moral_inv;dummy_ethnic;Raça/Etnia (1=Branco);0.00020491321588910925;0.01840602119599513;0.011132944687344772;0.9911176884556996;-0.0358763145679132;0.036286140999691414;
y_moral_inv;escol_z;Escolaridade;-0.10291976372234159;0.008735909754695818;-11.781230188077329;9.556182751078421e-32;-0.12004472225637303;-0.08579480518831015;***
y_moral_inv;ano_ord;Ano Ordinal (coorte temporal);-0.009634720671144802;0.006368344309774657;-1.5129082540899434;0.1303470269502988;-0.02211855295623729;0.0028491116139476875;
y_intitucional_4vars;const;Constante;0.060875920405902825;0.029671889464880353;2.0516361277887465;0.04024127354248791;0.0027102695486117406;0.11904157126319391;*
y_intitucional_4vars;freq_inv_z;Frequência a serviços religiosos;-0.04506160101807101;0.009936461615995344;-4.534974597550152;5.8546747933373135e-06;-0.06453999513237013;-0.02558320690377189;***
y_intitucional_4vars;pert_r_z;Pertencimento a org. religiosa;-0.00615473215672715;0.008132251260062567;-0.7568300535613058;0.4491765459385092;-0.022096342078010672;0.009786877764556374;
y_intitucional_4vars;import_relig_z;Importância da religião;-0.04788560279720508;0.009160599937650307;-5.227343528058025;1.7681674182572366e-07;-0.06584307929182975;-0.02992812630258041;***
y_intitucional_4vars;relig_r;Autoidentificação religiosa (1=Religioso);-0.08762544759560663;0.02405705260051849;-3.6424016296043713;0.0002720119311422354;-0.13478436290072898;-0.04046653229048427;***
y_intitucional_4vars;GrupoEv;Evangélico;0.05843496253773596;0.06499001365253297;0.8991375636594973;0.3686095779932195;-0.06896462378783465;0.18583454886330658;
y_intitucional_4vars;freq_inv_z_x_GrupoEv;Frequência a serviços religiosos × Evangélico;0.016642446673899386;0.025972937973484246;0.6407610371568149;0.5216984232549947;-0.034272168780295584;0.06755706212809436;
y_intitucional_4vars;pert_r_z_x_GrupoEv;Pertencimento × Evangélico;-0.013520564179193164;0.020655642643152797;-0.6545700084366602;0.5127656292245862;-0.05401171320550083;0.026970584847114495;
y_intitucional_4vars;import_relig_z_x_GrupoEv;Importância × Evangélico;0.05975819932870138;0.02809531448905985;2.126980972288844;0.033455699217658695;0.0046831002107073985;0.11483329844669535;*
y_intitucional_4vars;relig_r_x_GrupoEv;Autoidentificação × Evangélico;0.02267846605466659;0.07083704679101509;0.3201497956510393;0.7488641052344759;-0.11618302897363425;0.16153996108296742;
y_intitucional_4vars;dummy_sex;Sexo (1=Masculino);-0.03047124881277423;0.015965486599751905;-1.9085700033250308;0.05635746327654237;-0.06176830929916727;0.0008258116736188092;.
y_intitucional_4vars;dummy_ethnic;Raça/Etnia (1=Branco);0.030835304379090635;0.016954666148231896;1.8186913330821481;0.06900022173778435;-0.0024008396402253676;0.06407144839840664;.
y_intitucional_4vars;escol_z;Escolaridade;0.05516371460504729;0.007927536263520949;6.958494136303931;3.743270742891938e-12;0.03962340642857462;0.07070402278151997;***
y_intitucional_4vars;ano_ord;Ano Ordinal (coorte temporal);-0.006506909607416681;0.005770453194694919;-1.1276254026978028;0.25951587610484866;-0.017818699043954944;0.004804879829121584;
