wave,ordinal_alpha,interpretacao,n
wave-2-1991-br,-0.006128577035198186,Inadequada,1650
wave-3-1997-br,0.4846828436900913,Inadequada,1136
wave-5-2006-br,0.2766764796153833,Inadequada,1438
wave-6-2014-br,0.32853154591425304,Inadequada,1402
wave-7-2018-br,-0.08075245643578792,Inadequada,1557
Todas as ondas,0.044722013609684454,Inadequada,7183
