aborto_z;homossex_z;prost_z;Y_moral;wave;year;year_dummy
0.6431833728084076;0.478588089717625;0.2371762748964527;0.4529825791408284;wave-2-1991-br;1991;1991
1.522809443679154;-0.4966480176314977;0.6645252353266639;0.5635622204581067;wave-2-1991-br;1991;1991
0.3499746825181589;-0.4966480176314977;1.519223156187086;0.4575166070245823;wave-2-1991-br;1991;1991
1.522809443679154;-0.4966480176314977;0.2371762748964527;0.4211125669813696;wave-2-1991-br;1991;1991
-0.8228600786428361;-0.4966480176314977;-0.6175216459639694;-0.645676580746101;wave-2-1991-br;1991;1991
0.3499746825181589;-0.4966480176314977;-0.6175216459639694;-0.2547316603591027;wave-2-1991-br;1991;1991
0.0567659922279101;1.4538241970667478;0.2371762748964527;0.5825888213970368;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
1.522809443679154;1.4538241970667478;-0.6175216459639694;0.7863706649273108;wave-2-1991-br;1991;1991
0.9363920630986564;-0.0090299639569363;1.091874195756875;0.6730787649661983;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.0567659922279101;-0.4966480176314977;-0.6175216459639694;-0.3524678904558523;wave-2-1991-br;1991;1991
1.522809443679154;-0.4966480176314977;-1.4722195668243916;-0.1486860469255785;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
1.522809443679154;-0.4966480176314977;-0.6175216459639694;0.1362132600278956;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
1.522809443679154;1.4538241970667478;0.2371762748964527;1.0712699718807848;wave-2-1991-br;1991;1991
0.6431833728084076;-0.4966480176314977;-0.6175216459639694;-0.1569954302623531;wave-2-1991-br;1991;1991
1.229600753388905;-0.4966480176314977;-0.6175216459639694;0.038477029931146;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.9363920630986564;1.4538241970667478;1.519223156187086;1.3031464721174968;wave-2-1991-br;1991;1991
0.0567659922279101;-0.4966480176314977;1.091874195756875;0.2173307234510958;wave-2-1991-br;1991;1991
1.229600753388905;-0.4966480176314977;3.2286189979079305;1.3205239112217793;wave-2-1991-br;1991;1991
0.9363920630986564;-0.4966480176314977;-0.6175216459639694;-0.0592592001656035;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;1.091874195756875;-0.1736141969359025;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
1.522809443679154;-0.4966480176314977;3.2286189979079305;1.4182601413185292;wave-2-1991-br;1991;1991
1.522809443679154;0.478588089717625;1.9465721166172971;1.3159898833380252;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.6431833728084076;2.42906030441587;0.2371762748964527;1.1031399840402434;wave-2-1991-br;1991;1991
0.3499746825181589;-0.4966480176314977;-0.6175216459639694;-0.2547316603591027;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-0.2364426980623385;1.4538241970667478;1.091874195756875;0.7697518982537614;wave-2-1991-br;1991;1991
1.522809443679154;-0.4966480176314977;-0.1901726855337583;0.2786629135046326;wave-2-1991-br;1991;1991
0.9363920630986564;-0.4966480176314977;1.091874195756875;0.5105394137413445;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;0.6645252353266639;-0.3160638504126395;wave-2-1991-br;1991;1991
1.522809443679154;3.8919144654395543;-0.6175216459639694;1.5990674210515798;wave-2-1991-br;1991;1991
0.3499746825181589;-0.0090299639569363;1.519223156187086;0.6200559582494362;wave-2-1991-br;1991;1991
1.522809443679154;1.9414422507413092;1.519223156187086;1.6611582835358496;wave-2-1991-br;1991;1991
1.522809443679154;0.478588089717625;1.091874195756875;1.0310905763845513;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.0567659922279101;1.4538241970667478;1.091874195756875;0.8674881283505109;wave-2-1991-br;1991;1991
0.0567659922279101;-0.4966480176314977;1.091874195756875;0.2173307234510958;wave-2-1991-br;1991;1991
-0.5296513883525873;-0.4966480176314977;-0.6175216459639694;-0.5479403506493514;wave-2-1991-br;1991;1991
0.0567659922279101;3.8919144654395543;3.2286189979079305;2.392433151858465;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.9363920630986564;0.9662061433921864;1.091874195756875;0.998157467415906;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-1.1160687689330848;2.9166783580904316;-0.6175216459639694;0.3943626477311258;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
1.522809443679154;-0.4966480176314977;-0.6175216459639694;0.1362132600278956;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.6431833728084076;-0.4966480176314977;0.6645252353266639;0.2703535301678579;wave-2-1991-br;1991;1991
0.0567659922279101;1.4538241970667478;-0.6175216459639694;0.2976895144435628;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-0.5296513883525873;-0.4966480176314977;-0.6175216459639694;-0.5479403506493514;wave-2-1991-br;1991;1991
-0.5296513883525873;0.478588089717625;0.2371762748964527;0.0620376587538301;wave-2-1991-br;1991;1991
0.6431833728084076;-0.4966480176314977;1.519223156187086;0.555252837121332;wave-2-1991-br;1991;1991
0.0567659922279101;-0.4966480176314977;-0.6175216459639694;-0.3524678904558523;wave-2-1991-br;1991;1991
0.9363920630986564;-0.4966480176314977;-0.6175216459639694;-0.0592592001656035;wave-2-1991-br;1991;1991
-0.8228600786428361;-0.0090299639569363;-0.1901726855337583;-0.3406875760445102;wave-2-1991-br;1991;1991
0.6431833728084076;-0.4966480176314977;-0.1901726855337583;-0.0145457767856161;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.0567659922279101;1.4538241970667478;1.091874195756875;0.8674881283505109;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.0567659922279101;-0.0090299639569363;-0.6175216459639694;-0.1899285392309985;wave-2-1991-br;1991;1991
0.0567659922279101;1.4538241970667478;-0.6175216459639694;0.2976895144435628;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
1.522809443679154;-0.4966480176314977;-0.6175216459639694;0.1362132600278956;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
0.3499746825181589;-0.4966480176314977;-0.1901726855337583;-0.1122820068823657;wave-2-1991-br;1991;1991
-1.1160687689330848;-0.4966480176314977;-0.6175216459639694;-0.7434128108428505;wave-2-1991-br;1991;1991
