wave,n,vif_saliencia,vif_religiosidade_individual,vif_frequencia,vif_organizacao,vif_max,vif_mean,condition_number,determinant,high_correlations_count
wave-2-1991-br,1650,1.0328894809545017,1.0556536497368814,1.0379247066869557,1.0136272627122063,1.0556536497368814,1.0350237750226363,1.6638529811325018,0.931396916113292,0
wave-3-1997-br,1136,1.017334411856438,1.1582867280622684,1.167982687117782,1.0075552638310235,1.167982687117782,1.087789772716878,2.232694206419625,0.8482039534203581,0
wave-5-2006-br,1438,1.0045451120040239,1.0422574392629596,1.04169320001013,1.0040565818831655,1.0422574392629596,1.0231380832900698,1.50933459595617,0.9555869995675649,0
wave-6-2014-br,1449,1.0117128961306234,1.0366208587492696,1.0428710921436968,1.0057682402852555,1.0428710921436968,1.0242432718272114,1.5128807187938502,0.9534299433461384,0
wave-7-2018-br,1629,1.0027845746578448,1.0067397231671467,1.006726046708302,1.0027417575531823,1.0067397231671467,1.0047480255216188,1.1914035923137003,0.9905775544824642,0
Todas as ondas,7302,1.1203929389397065,1.0477099204292515,1.0825557443194076,1.1592859166902159,1.1592859166902159,1.1024861300946454,2.334976840258084,0.8103067301295274,0
