,saliencia,religiosidade_individual,frequencia,organizacao
saliencia,1.0,-0.17279087576035465,-0.1587763599876855,0.2997761881516303
religiosidade_individual,-0.17279087576035465,1.0,0.11826455720198899,-0.1491816272048117
frequencia,-0.1587763599876855,0.11826455720198899,1.0,-0.2580038074682637
organizacao,0.2997761881516303,-0.1491816272048117,-0.2580038074682637,1.0
