id_;id_usuario;ano_onda;nome_onda;y_moral_inv;aborto_z;homossex_z;prost_z;y_intitucional_4vars;congresso_z;justica_z;igreja_z;imprensa_z;freq_inv_z;pert_r_z;import_relig_z;relig_r;D_relig;D_N_relig;GrupoEv;GrupoCat;dummy_ethnic;dummy_sex;escol_z;ano_ord;ameaca_tipo_inst;ameaca_tipo_moral
1;1.0;1991;Wave 2;-0.4197613573829222;-0.6004373366082436;-0.4416117452470804;-0.2172349902934425;0.806318331929114;0.4344139478897296;0.5453012775325089;0.8596849918697804;1.3858731104244368;-0.2736262409785981;-0.2385530322527711;-0.4239101415292919;1.0;1.0;0.0;0.0;1.0;0.0;1;0.0533816453072845;0;1;0
2;2.0;1991;Wave 2;-0.5365987175133752;-1.473889854025297;0.5002818873445383;-0.6361881858593671;0.5637567895195238;1.4556878992610995;-0.461669579009388;-0.1248642725980531;1.3858731104244368;-0.2736262409785981;-0.2385530322527711;0.7232926463536323;0.0;0.0;1.0;0.0;0.0;1.0;1;0.0533816453072845;0;1;0
3;3.0;1991;Wave 2;-0.4276997290386346;-0.3092864974692259;0.5002818873445383;-1.4740945769912162;0.0531198138338389;-0.5868600034816401;-0.461669579009388;-0.1248642725980531;1.3858731104244368;-1.4895912320605489;-0.2385530322527711;-2.7183157172951407;1.0;1.0;0.0;;;1.0;1;0.0533816453072845;0;1;0
4;1.0;1991;Wave 2;-0.3969476523247337;-1.473889854025297;0.5002818873445383;-0.2172349902934425;0.0551494381449864;-1.60813395485301;1.552272134074406;-1.1094135370658869;1.3858731104244368;-1.4895912320605489;-0.2385530322527711;0.7232926463536323;1.0;1.0;0.0;0.0;0.0;1.0;0;-0.9574622764689528;0;1;0
5;3.0;1991;Wave 2;0.6587567157565967;0.8553168590868451;0.5002818873445383;0.6206714008384064;0.5691282064905581;1.4556878992610995;0.5453012775325089;-0.1248642725980531;0.400387921766677;-1.4895912320605489;-0.2385530322527711;-0.4239101415292919;1.0;1.0;0.0;1.0;0.0;1.0;1;0.0533816453072845;0;1;0
6;2.0;1991;Wave 2;0.2705555969045729;-0.3092864974692259;0.5002818873445383;0.6206714008384064;0.5655524327831898;0.4344139478897296;1.552272134074406;-0.1248642725980531;0.400387921766677;-1.0842695683665653;-0.2385530322527711;0.7232926463536323;1.0;1.0;0.0;0.0;1.0;0.0;1;-0.9574622764689528;0;1;0
7;2.0;1991;Wave 2;-0.5396253421541166;-0.0181356583302081;-1.3835053778386992;-0.2172349902934425;0.0528858327863573;-0.5868600034816401;-0.461669579009388;0.8596849918697804;0.400387921766677;-1.0842695683665653;-0.2385530322527711;-0.4239101415292919;0.0;0.0;1.0;0.0;1.0;1.0;0;-0.9574622764689528;0;1;0
8;2.0;1991;Wave 2;0.7558069954696025;1.1464676982258628;0.5002818873445383;0.6206714008384064;-0.430441608769157;0.4344139478897296;-0.461669579009388;-1.1094135370658869;-0.5850972668910829;-0.6789479046725817;-0.2385530322527711;-0.4239101415292919;1.0;1.0;0.0;0.0;1.0;1.0;1;-0.9574622764689528;0;1;0
9;1.0;1991;Wave 2;-0.7455746103418631;-1.473889854025297;-1.3835053778386992;0.6206714008384064;0.8114557678526668;0.4344139478897296;1.552272134074406;1.8442342563376144;-0.5850972668910829;-1.0842695683665653;-0.2385530322527711;-1.5711129294122164;1.0;1.0;0.0;0.0;1.0;1.0;1;0.0533816453072845;0;1;0
10;1.0;1991;Wave 2;-0.639131495374608;-0.8915881757472613;0.0293350710487288;-1.0551413814252917;-0.7025762906675468;-0.5868600034816401;-3.4825821486350788;1.8442342563376144;-0.5850972668910829;0.537017086409369;4.189587628939293;-0.4239101415292919;1.0;1.0;0.0;0.0;1.0;1.0;1;2.075069488859759;0;1;0
11;1.0;1991;Wave 2;0.7558069954696025;1.1464676982258628;0.5002818873445383;0.6206714008384064;-0.430441608769157;0.4344139478897296;-0.461669579009388;-1.1094135370658869;-0.5850972668910829;1.347660413797336;-0.2385530322527711;-0.4239101415292919;1.0;1.0;0.0;0.0;1.0;1.0;0;0.0533816453072845;0;1;0
12;1.0;1991;Wave 2;0.3676058766175789;-0.0181356583302081;0.5002818873445383;0.6206714008384064;-0.6913654946305152;-0.5868600034816401;-1.468640435551285;-0.1248642725980531;-0.5850972668910829;-0.2736262409785981;-0.2385530322527711;0.7232926463536323;1.0;1.0;0.0;0.0;1.0;0.0;0;0.0533816453072845;0;1;0
13;3.0;1991;Wave 2;-1.6538072390225071;-1.473889854025297;0.5002818873445383;-3.987813750386763;0.3138097186477156;0.4344139478897296;0.5453012775325089;-0.1248642725980531;0.400387921766677;0.537017086409369;-0.2385530322527711;-1.5711129294122164;1.0;1.0;0.0;0.0;1.0;1.0;0;0.0533816453072845;0;1;0
14;1.0;1991;Wave 2;0.7558069954696025;1.1464676982258628;0.5002818873445383;0.6206714008384064;-0.4306755898166385;0.4344139478897296;-0.461669579009388;-0.1248642725980531;-1.5705824555488426;0.537017086409369;-0.2385530322527711;0.7232926463536323;1.0;1.0;0.0;0.0;1.0;1.0;0;-0.9574622764689528;0;1;0
