wave,indice,n,cronbach_alpha,ordinal_alpha,pearson_corr,spearman_corr,kendall_corr,polychoric_corr
wave-2-1991-br,Religiosidade Subjetiva,1661,-0.28058204930191044,-0.5449203362695735,-0.15051156038685903,-0.1509261821541435,-0.14316746432852256,-0.21412078346952715
wave-3-1997-br,Religiosidade Subjetiva,1140,0.06302021921118439,0.27975010500483677,0.04601745278202579,0.039668960675085956,0.03781176334245059,0.16262178292742951
wave-5-2006-br,Religiosidade Subjetiva,1460,0.04281553886428702,0.07904185036267708,0.029960001761471317,0.025049150397023,0.02418968417646523,0.041147096503690146
wave-6-2014-br,Religiosidade Subjetiva,1481,-0.004328583490263327,-0.014514148896853306,-0.0026186673871364877,-0.003400401835872324,-0.0032950716550723246,-0.0072047887600101
wave-7-2018-br,Religiosidade Subjetiva,1675,-0.07452514417066558,-0.09546691047212444,-0.045559250975433965,-0.045559250975433986,-0.04555925097543399,-0.04555877737559455
Todas as ondas,Religiosidade Subjetiva,7417,-0.31178479063667774,-0.620628565317774,-0.1714475172856456,-0.18429439936393366,-0.17556807944920605,-0.236824315178186
