Variável_Dependente;Variável;Nome_Legível;Coeficiente;Erro_Padrão;t_estatística;p_valor;IC_95_inf;IC_95_sup;Significância
y_moral_inv;const;Constante;-0.03903365345859199;0.031967431044084095;-1.2210444250200572;0.22210931629367012;-0.10169923665886954;0.02363192974168555;
y_moral_inv;freq_inv_z;Frequência a serviços religiosos;0.11073294717406054;0.00994283503177541;11.136959108763156;1.4203104897182797e-28;0.09124206111971611;0.13022383322840497;***
y_moral_inv;pert_r_z;Pertencimento a org. religiosa;0.0012484518345679215;0.008503333494632177;0.14681910751307362;0.8832789268412089;-0.015420587096109368;0.017917490765245212;
y_moral_inv;import_relig_z;Importância da religião;0.0630017380943516;0.009659806711345423;6.522049558233519;7.406368087417884e-11;0.04406567093482174;0.08193780525388145;***
y_moral_inv;relig_r;Autoidentificação religiosa (1=Religioso);0.03157294265739083;0.025758862697431543;1.2257118269642788;0.22034736200627936;-0.018922017393806195;0.08206790270858785;
y_moral_inv;GrupoEv;Evangélico;0.138454969754951;0.024560587761159998;5.637282425866984;1.7931316900365277e-08;0.0903089816187064;0.1866009578911956;***
y_moral_inv;dummy_sex;Sexo (1=Masculino);0.03108732354324431;0.017687819776837883;1.7575554214970583;0.07886581820197855;-0.0035860144653184073;0.06576066155180703;.
y_moral_inv;dummy_ethnic;Raça/Etnia (1=Branco);0.001213871023364262;0.01839531959706053;0.06598803662852544;0.9473891882987581;-0.03484637507885175;0.03727411712558027;
y_moral_inv;escol_z;Escolaridade;-0.10305251059531838;0.008729848450455388;-11.804616217586537;7.274346785600395e-32;-0.1201655855760202;-0.08593943561461656;***
y_moral_inv;ano_ord;Ano Ordinal (coorte temporal);-0.009732143770825319;0.006366064913360171;-1.5287534612474516;0.12636964923078095;-0.02221150659282994;0.0027472190511793025;
y_intitucional_4vars;const;Constante;0.06038611846599677;0.02876699777231767;2.0991456579492636;0.035838908707537045;0.003994327400978416;0.11677790953101513;*
y_intitucional_4vars;freq_inv_z;Frequência a serviços religiosos;-0.043679633836565486;0.009164875916717436;-4.7659820202137695;1.9163513274589044e-06;-0.06164549082042096;-0.025713776852710014;***
y_intitucional_4vars;pert_r_z;Pertencimento a org. religiosa;-0.008613881989855337;0.007467157325909229;-1.1535691045328924;0.2487152905482388;-0.023251710348068774;0.0060239463683581;
y_intitucional_4vars;import_relig_z;Importância da religião;-0.041696933520466335;0.008639169983707907;-4.826497637979121;1.4182724216238457e-06;-0.05863225199034307;-0.024761615050589603;***
y_intitucional_4vars;relig_r;Autoidentificação religiosa (1=Religioso);-0.08742527270439956;0.022624067763237846;-3.8642596733403565;0.00011240864772969589;-0.13177511110057147;-0.04307543430822767;***
y_intitucional_4vars;GrupoEv;Evangélico;0.10433687025718831;0.023229276221082444;4.491610899288122;7.179295738928804e-06;0.05880064497505515;0.1498730955393215;***
y_intitucional_4vars;dummy_sex;Sexo (1=Masculino);-0.02995932847281152;0.015970843431072083;-1.8758764120449727;0.06071281500554788;-0.06126688698222969;0.001348230036606654;.
y_intitucional_4vars;dummy_ethnic;Raça/Etnia (1=Branco);0.031470821138725576;0.016947370248990876;1.856973717830912;0.06335583958171148;-0.0017510176414845535;0.0646926599189357;.
y_intitucional_4vars;escol_z;Escolaridade;0.0558983186029686;0.007914271440142506;7.06297718314828;1.7827253704321311e-12;0.040384014850568334;0.07141262235536887;***
y_intitucional_4vars;ano_ord;Ano Ordinal (coorte temporal);-0.006428341519444319;0.005764107221947484;-1.1152362841148562;0.26478652734213715;-0.017727689915446147;0.00487100687655751;
