,saliencia,religiosidade_individual,frequencia,organizacao
saliencia,1.0,-0.17556807944920605,-0.15657844197393794,0.07237571874005237
religiosidade_individual,-0.17556807944920605,1.0,0.15565730353656473,0.03690552582497856
frequencia,-0.15657844197393794,0.15565730353656473,1.0,0.003938526044323756
organizacao,0.07237571874005237,0.03690552582497856,0.003938526044323756,1.0
