wave,indice,n,cronbach_alpha,ordinal_alpha,pearson_corr,spearman_corr,kendall_corr,polychoric_corr
wave-2-1991-br,Religiosidade Institucional,1769,-0.055394202214952504,-0.11600617645808117,-0.0548226194763848,-0.05482261947638483,-0.054822619476384817,-0.05482317478499066
wave-3-1997-br,Religiosidade Institucional,1139,-0.014426277586421676,-0.0988817542080193,-0.022750873290056456,-0.023377041364774503,-0.02261547550169397,-0.04711163647488604
wave-5-2006-br,Religiosidade Institucional,1472,0.0030801528634538666,0.006710015434539795,0.004606578067658888,-0.0005487393346933378,-0.0005436239720435998,0.0033663016854030923
wave-6-2014-br,Religiosidade Institucional,1406,0.019869913537229777,0.004385695554089663,0.0100533938477874,0.010660662700840722,0.009759210212908048,0.0021976669260784284
wave-7-2018-br,Religiosidade Institucional,1609,-0.04752715791365292,-0.18397447064332736,-0.023213407282071098,-0.053301374962394954,-0.04823055750929231,-0.0842383796680254
Todas as ondas,Religiosidade Institucional,7395,0.005758450509015578,0.010005661176549406,0.003077345133096523,0.0041512899441209,0.003938526044323756,0.005027984744150027
